<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BULG.US,D,20250811,000000,17.03,17.425,14.7783,14.7783,4484,0
BULG.US,D,20250812,000000,15.695,16.67,15.4,16.2641,7151,0
BULG.US,D,20250813,000000,16.64,17.2,14.9641,14.9641,11032,0
BULG.US,D,20250814,000000,15.13,15.85,14.51,15.8105,6660,0
BULG.US,D,20250815,000000,15.75,17.12,15,16.9182,18010,0
BULG.US,D,20250818,000000,18.4728,18.4728,16.1,16.8597,36867,0
BULG.US,D,20250819,000000,16.93,17.49,14.6908,14.6908,38056,0
BULG.US,D,20250820,000000,14.52,14.52,12.98,13.5235,44212,0
BULG.US,D,20250821,000000,13,13.66,12.75,13.3274,34621,0
BULG.US,D,20250822,000000,12.75,15.4102,12.49,15.4102,22350,0
BULG.US,D,20250825,000000,15.56,15.625,14.5,14.58,14261,0
BULG.US,D,20250826,000000,14.54,14.951,14.14,14.6111,14942,0
BULG.US,D,20250827,000000,14,14.1204,13.301,13.5087,27689,0
BULG.US,D,20250828,000000,13.75,14.2,13.22,13.9544,83927,0
BULG.US,D,20250829,000000,14.15,14.15,11.832,11.832,73653,0
BULG.US,D,20250902,000000,11.08,11.727,10.72,11.727,55474,0
BULG.US,D,20250903,000000,11.834,11.834,10.74,10.9028,11331,0
BULG.US,D,20250904,000000,11.8094,11.8094,10.75,11.3731,4263,0
BULG.US,D,20250905,000000,11,11,10.2,10.6348,12974,0
BULG.US,D,20250908,000000,10.57,11.6,10.57,11.3959,14683,0
BULG.US,D,20250909,000000,11.56,11.5681,11.2204,11.5681,4523,0
BULG.US,D,20250910,000000,11.84,11.92,10.68,10.7072,9586,0
BULG.US,D,20250911,000000,10.98,11.7,10.98,11.6939,29107,0
BULG.US,D,20250912,000000,11.82,11.82,10.9,11.2541,38887,0
BULG.US,D,20250915,000000,11.3,11.42,10.741,10.8717,17074,0
BULG.US,D,20250916,000000,10.87,10.9,10.145,10.7184,26572,0
BULG.US,D,20250917,000000,10.65,10.65,10,10.028,36699,0
BULG.US,D,20250918,000000,10.45,10.53,9.91,10.2256,23243,0
BULG.US,D,20250919,000000,10.27,11.33,10.11,11.1118,76125,0
BULG.US,D,20250922,000000,11.01,13.01,11.01,12.3888,189667,0
BULG.US,D,20250923,000000,12.58,13.21,11.78,12.2384,163851,0
BULG.US,D,20250924,000000,12.8,13.36,11.98,12.1705,135826,0
BULG.US,D,20250925,000000,11.56,13.5696,10.99,13.304,278750,0
BULG.US,D,20250926,000000,14.3,14.65,12.69,14.2893,355640,0
BULG.US,D,20250929,000000,14.58,15.26,13.72,14.97,149257,0
BULG.US,D,20250930,000000,14.68,15.66,13.21,13.48,181118,0
BULG.US,D,20251001,000000,13.3,13.355,12.18,12.2984,217854,0
BULG.US,D,20251002,000000,12.59,12.9,12.07,12.758,121503,0
BULG.US,D,20251003,000000,13.07,13.7796,12.28,12.31,198548,0
BULG.US,D,20251006,000000,12.38,12.85,11.41,11.48,341718,0
BULG.US,D,20251007,000000,11.4,11.4,10.01,10.09,419252,0
BULG.US,D,20251008,000000,8.96,9.7775,7.85,9.73,1769558,0
BULG.US,D,20251009,000000,10.42,10.6394,9.235,9.5458,1010519,0
BULG.US,D,20251010,000000,9.6,9.99,7.72,7.82,1630278,0
BULG.US,D,20251013,000000,8.08,8.3,7.5,8.26,1044430,0
BULG.US,D,20251014,000000,7.8,8.4999,7.31,8.26,711065,0
BULG.US,D,20251015,000000,8.3,8.5398,7.811,8.08,771431,0
BULG.US,D,20251016,000000,8.2,8.53,7.54,8.25,806545,0
BULG.US,D,20251017,000000,7.74,7.86,7.2,7.21,627208,0
BULG.US,D,20251020,000000,7.22,7.82,7.03,7.82,635446,0
BULG.US,D,20251021,000000,7.62,7.99,7.27,7.37,785895,0
BULG.US,D,20251022,000000,7.12,7.245,6.5502,6.94,954715,0
BULG.US,D,20251023,000000,7.03,7.479,6.83,7.26,529815,0
BULG.US,D,20251024,000000,7.46,7.92,7.365,7.8043,718316,0
BULG.US,D,20251027,000000,8.12,8.399,7.8378,7.84,766105,0
BULG.US,D,20251028,000000,7.87,7.87,7.35,7.47,333617,0
BULG.US,D,20251029,000000,7.41,7.47,6.875,7.06,466150,0
BULG.US,D,20251030,000000,6.93,7.035,6.73,6.8,443446,0
BULG.US,D,20251031,000000,6.935,7.135,6.701,6.85,400676,0
BULG.US,D,20251103,000000,6.87,6.87,6.1803,6.27,658587,0
BULG.US,D,20251104,000000,5.78,6.02,5.29,5.47,630786,0
BULG.US,D,20251105,000000,5.51,5.755,5.38,5.75,665838,0
