<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EXUS.US,D,20250618,000000,25.04,25.04,24.94,24.94,203,0
EXUS.US,D,20250620,000000,24.96,24.96,24.8201,24.8201,1022,0
EXUS.US,D,20250624,000000,25.56,25.975,25.54,25.6583,1308,0
EXUS.US,D,20250625,000000,26.6,26.6,25.5,25.515,1393,0
EXUS.US,D,20250626,000000,25.83,25.83,25.74,25.74,250,0
EXUS.US,D,20250627,000000,26.64,26.64,25.76,25.9784,10651,0
EXUS.US,D,20250630,000000,27.13,27.13,25.8973,26.0859,1948,0
EXUS.US,D,20250701,000000,27.14,27.14,25.745,25.745,541,0
EXUS.US,D,20250702,000000,25.7204,26.31,25.7204,26.0013,1903,0
EXUS.US,D,20250703,000000,27.11,27.11,25.98,25.98,2103,0
EXUS.US,D,20250707,000000,25.71,25.72,25.6709,25.6709,642,0
EXUS.US,D,20250709,000000,27.13,27.13,25.8803,26.03,467,0
EXUS.US,D,20250714,000000,25.6248,25.6248,25.59,25.59,194,0
EXUS.US,D,20250718,000000,25.59,25.6154,25.57,25.6154,671,0
EXUS.US,D,20250724,000000,27.25,27.25,26.0541,26.0541,225,0
EXUS.US,D,20250725,000000,26.03,26.1222,26.03,26.1222,232,0
EXUS.US,D,20250728,000000,27.08,27.08,25.6,25.6618,3086,0
EXUS.US,D,20250729,000000,25.7272,25.77,25.7231,25.7231,2517,0
EXUS.US,D,20250730,000000,25.72,25.72,25.3068,25.3068,400,0
EXUS.US,D,20250731,000000,25.26,25.26,24.9651,24.9651,100,0
EXUS.US,D,20250801,000000,25.09,25.09,24.79,24.8165,805,0
EXUS.US,D,20250806,000000,25.14,25.24,25.14,25.1826,1000,0
EXUS.US,D,20250812,000000,25.4131,25.4243,25.4131,25.4243,198,0
EXUS.US,D,20250814,000000,25.64,25.64,25.5656,25.5656,300,0
EXUS.US,D,20250819,000000,25.6,26.06,25.6,25.631,857,0
EXUS.US,D,20250822,000000,25.92,26.22,25.92,26.0047,979,0
EXUS.US,D,20250825,000000,25.85,26.35,25.7432,25.7599,967,0
EXUS.US,D,20250829,000000,25.67,25.88,25.67,25.7974,812,0
EXUS.US,D,20250904,000000,26.59,26.59,25.6108,25.6108,143,0
EXUS.US,D,20250909,000000,26.04,26.095,26.0399,26.095,1605,0
EXUS.US,D,20250911,000000,26.35,26.55,26.35,26.4343,952,0
EXUS.US,D,20250912,000000,26.2496,27.07,26.2496,26.5299,1106,0
EXUS.US,D,20250915,000000,26.32,26.3597,26.32,26.3597,364,0
EXUS.US,D,20250924,000000,26.0411,26.2243,26.04,26.2243,608,0
EXUS.US,D,20250926,000000,25.85,25.85,25.84,25.8411,329,0
EXUS.US,D,20250929,000000,25.984,25.984,25.9418,25.9418,208,0
EXUS.US,D,20250930,000000,25.91,26.48,25.84,25.9512,9751,0
EXUS.US,D,20251002,000000,27.06,27.06,25.9832,25.9832,283,0
EXUS.US,D,20251009,000000,26,26.0047,26,26.0047,228,0
EXUS.US,D,20251010,000000,25.2806,25.75,25.2806,25.3222,4138,0
EXUS.US,D,20251016,000000,25.54,25.86,25.54,25.5736,1963,0
EXUS.US,D,20251022,000000,25.85,26.02,25.85,25.9002,1800,0
EXUS.US,D,20251023,000000,25.95,26.06,25.95,25.973,370,0
EXUS.US,D,20251027,000000,26.1,26.3049,26.1,26.3049,706,0
EXUS.US,D,20251029,000000,26.15,26.2347,26.15,26.2347,1446,0
EXUS.US,D,20251030,000000,26.92,26.92,26.06,26.2432,864,0
EXUS.US,D,20251105,000000,25.94,25.94,25.94,25.94,100,0
