<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FRDD.US,D,20250728,000000,24.77,24.8422,24.77,24.8422,296,0
FRDD.US,D,20250731,000000,25.51,25.51,25.2753,25.2753,315,0
FRDD.US,D,20250801,000000,25.94,25.94,25.8856,25.8856,214,0
FRDD.US,D,20250807,000000,25.02,25.03,24.823,24.823,423,0
FRDD.US,D,20250829,000000,23.46,23.4815,23.46,23.4815,456,0
FRDD.US,D,20250905,000000,23.53,23.612,23.53,23.612,100,0
FRDD.US,D,20250910,000000,24.37,24.37,24.251,24.251,101,0
FRDD.US,D,20250911,000000,23.662,23.662,23.5697,23.5697,122,0
FRDD.US,D,20251003,000000,22.25,22.25,21.7971,21.7971,104,0
FRDD.US,D,20251008,000000,23.51,23.51,23.3595,23.3595,330,0
FRDD.US,D,20251009,000000,23.34,23.8662,23.34,23.8662,1406,0
FRDD.US,D,20251010,000000,23.76,24.0569,23.69,24.0569,1276,0
FRDD.US,D,20251021,000000,22.06,22.18,21.7957,21.7957,1144,0
FRDD.US,D,20251022,000000,21.9,22.0646,21.9,22.0646,1217,0
FRDD.US,D,20251023,000000,22.29,22.29,22.17,22.2441,5594,0
FRDD.US,D,20251024,000000,20.94,20.94,19.395,19.5966,14032,0
FRDD.US,D,20251027,000000,19.71,20.4206,19.71,20.4206,3583,0
FRDD.US,D,20251028,000000,20.53,20.5505,20.33,20.5505,1635,0
FRDD.US,D,20251029,000000,20.31,20.48,20.21,20.4047,1165,0
FRDD.US,D,20251031,000000,20.58,20.67,20.58,20.6013,1804,0
FRDD.US,D,20251103,000000,20.76,20.81,20.76,20.7918,1051,0
FRDD.US,D,20251105,000000,20.81,20.89,20.81,20.83,1086,0
