<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JPX.US,D,20250728,000000,20.12,20.27,20.08,20.1301,1851,0
JPX.US,D,20250729,000000,20.3,20.41,19.99,19.99,3687,0
JPX.US,D,20250730,000000,20.2,20.3694,20.17,20.3694,13789,0
JPX.US,D,20250731,000000,20.33,20.35,19.8571,19.8571,1575,0
JPX.US,D,20250801,000000,18.65,18.95,18.4,18.8991,1648,0
JPX.US,D,20250804,000000,19.19,19.5539,19.19,19.5539,1024,0
JPX.US,D,20250805,000000,19.511,19.511,18.71,19.1626,755,0
JPX.US,D,20250806,000000,19.3,19.4399,19.141,19.2053,25602,0
JPX.US,D,20250807,000000,19.44,19.47,18.607,18.607,45374,0
JPX.US,D,20250808,000000,18.76,18.939,18.76,18.7894,14068,0
JPX.US,D,20250811,000000,18.986,19,18.8888,18.8888,999,0
JPX.US,D,20250812,000000,19.52,19.97,19.3116,19.3116,3860,0
JPX.US,D,20250813,000000,19.34,19.44,18.585,19.0147,6024,0
JPX.US,D,20250814,000000,19.03,19.4528,19.03,19.4528,388,0
JPX.US,D,20250815,000000,19.06,19.069,18.9771,18.9771,5736,0
JPX.US,D,20250818,000000,18.83,19.13,18.83,19.1075,1769,0
JPX.US,D,20250819,000000,19.14,19.14,18.8809,18.9572,536,0
JPX.US,D,20250820,000000,18.72,19.26,18.7,19.1943,5639,0
JPX.US,D,20250821,000000,19.0522,19.25,19.033,19.033,20576,0
JPX.US,D,20250822,000000,19.28,19.755,18.979,19.6672,7658,0
JPX.US,D,20250825,000000,19.59,19.625,19.5106,19.5106,1688,0
JPX.US,D,20250826,000000,19.341,20.04,19.34,20.02,2875,0
JPX.US,D,20250827,000000,19.91,20.22,19.91,20.1229,4969,0
JPX.US,D,20250828,000000,20.149,20.2789,20.149,20.2789,4658,0
JPX.US,D,20250829,000000,20.45,20.45,20.22,20.3374,2698,0
JPX.US,D,20250902,000000,19.78,20.0561,19.7,20.0519,1871,0
JPX.US,D,20250903,000000,20.051,20.1,19.749,20.0048,2455,0
JPX.US,D,20250904,000000,20.45,20.65,20.45,20.6428,2360,0
JPX.US,D,20250905,000000,20.64,20.64,19.381,19.381,11865,0
JPX.US,D,20250908,000000,19.38,19.38,19,19.1674,5547,0
JPX.US,D,20250909,000000,19.47,19.86,19.41,19.7745,11009,0
JPX.US,D,20250910,000000,19.57,20.2299,19.52,20.162,4556,0
JPX.US,D,20250911,000000,20.62,20.83,20.52,20.7825,11053,0
JPX.US,D,20250912,000000,20.647,20.9828,20.647,20.9828,982,0
JPX.US,D,20250915,000000,21.215,21.3,21.1885,21.2893,4782,0
JPX.US,D,20250916,000000,21.18,21.42,21.0306,21.2566,9901,0
JPX.US,D,20250917,000000,21.31,21.6996,21.31,21.5661,28279,0
JPX.US,D,20250918,000000,21.5,21.81,21.3881,21.7872,18546,0
JPX.US,D,20250919,000000,21.6,22.19,21.3,21.9869,22602,0
JPX.US,D,20250922,000000,21.32,21.809,21.32,21.6944,4928,0
JPX.US,D,20250923,000000,22.05,22.0501,21.6881,21.6881,3195,0
JPX.US,D,20250924,000000,21.9485,22.09,21.77,21.7881,2945,0
JPX.US,D,20250925,000000,21.72,21.82,21.72,21.7917,5119,0
JPX.US,D,20250926,000000,22.1,22.344,22.041,22.1621,3285,0
JPX.US,D,20250929,000000,22.06,22.06,21.875,22.0584,5678,0
JPX.US,D,20250930,000000,22.2694,22.2694,21.35,22.0534,7229,0
JPX.US,D,20251001,000000,21.184,21.64,21.11,21.3822,6751,0
JPX.US,D,20251002,000000,20.989,20.989,20.8,20.9387,7195,0
JPX.US,D,20251003,000000,21.1601,21.429,21.1401,21.2325,10372,0
JPX.US,D,20251006,000000,21.55,21.61,21.1906,21.3324,34370,0
JPX.US,D,20251007,000000,21.47,21.47,20.77,21.1056,14893,0
JPX.US,D,20251008,000000,20.854,21.14,20.5501,20.6451,9617,0
JPX.US,D,20251009,000000,20.75,20.89,20.55,20.785,4967,0
JPX.US,D,20251010,000000,20.93,21.4,20.1994,20.1994,48174,0
JPX.US,D,20251013,000000,20.88,21.29,20.88,21.1377,78904,0
JPX.US,D,20251014,000000,20.84,20.84,19.27,20.3205,125122,0
JPX.US,D,20251015,000000,20.94,21.6,20.81,20.83,55271,0
JPX.US,D,20251016,000000,20.8,21.13,19.621,19.7893,47827,0
JPX.US,D,20251017,000000,19.82,19.82,19.23,19.6775,20183,0
JPX.US,D,20251020,000000,19.77,20.4324,19.77,20.2713,19036,0
JPX.US,D,20251021,000000,20.44,20.44,19.5818,19.5818,12008,0
JPX.US,D,20251022,000000,19.57,19.5792,18.81,19.118,57347,0
JPX.US,D,20251023,000000,19.27,19.35,19.2,19.22,17430,0
JPX.US,D,20251024,000000,19.21,20.259,19.21,19.9543,63695,0
JPX.US,D,20251027,000000,20.21,20.4391,20.13,20.4391,10837,0
JPX.US,D,20251028,000000,20.58,20.94,20.38,20.5914,10552,0
JPX.US,D,20251029,000000,20.7,20.9299,20.45,20.5975,6775,0
JPX.US,D,20251030,000000,20.6,21.54,20.6,21.1387,14827,0
JPX.US,D,20251031,000000,20.89,21.531,20.89,21.4154,9619,0
JPX.US,D,20251103,000000,21.328,21.328,21.04,21.1013,2995,0
JPX.US,D,20251104,000000,20.66,21.4215,20.66,21.0945,6492,0
JPX.US,D,20251105,000000,20.69,21.5375,20.69,21.5375,3209,0
