<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PYPG.US,D,20250404,000000,13.97,14,13.3478,13.3478,304,0
PYPG.US,D,20250407,000000,12.53,14.37,12.53,13.3876,485,0
PYPG.US,D,20250408,000000,14.41,14.41,12.55,12.8739,7925,0
PYPG.US,D,20250409,000000,12.79,15.8543,12.79,15.8543,18362,0
PYPG.US,D,20250410,000000,14.63,14.74,13.731,14.1823,6179,0
PYPG.US,D,20250411,000000,14.51,15.16,14.51,15.0596,3084,0
PYPG.US,D,20250414,000000,15.67,15.67,14.8,14.936,2240,0
PYPG.US,D,20250415,000000,15.15,15.15,14.8,14.8,527,0
PYPG.US,D,20250416,000000,13.92,13.9991,13.86,13.9991,694,0
PYPG.US,D,20250417,000000,14.325,14.39,14.2059,14.25,618,0
PYPG.US,D,20250421,000000,13.77,13.9524,13.669,13.9524,1674,0
PYPG.US,D,20250422,000000,14.171,14.501,14.171,14.4677,437,0
PYPG.US,D,20250423,000000,15.5099,15.5099,14.91,14.985,1563,0
PYPG.US,D,20250424,000000,15.7,16.055,15.6,16.055,3798,0
PYPG.US,D,20250425,000000,16.23,16.3353,16.0704,16.3353,1993,0
PYPG.US,D,20250428,000000,16.46,16.46,15.83,16.1089,5782,0
PYPG.US,D,20250429,000000,15.9201,16.86,15.9201,16.8165,16981,0
PYPG.US,D,20250430,000000,15.56,16.5587,15.5501,16.5587,2952,0
PYPG.US,D,20250501,000000,16.4999,16.55,16.3,16.3316,1551,0
PYPG.US,D,20250502,000000,16.86,17.46,16.86,17.2502,10457,0
PYPG.US,D,20250505,000000,17.715,18.31,17.715,17.8979,5600,0
PYPG.US,D,20250506,000000,17.9,17.9,17.6753,17.6753,2901,0
PYPG.US,D,20250507,000000,17.78,17.9426,17.55,17.9426,3513,0
PYPG.US,D,20250508,000000,18.4,19.1,18.4,18.865,1444,0
PYPG.US,D,20250509,000000,19,19.3,18.7164,18.7164,3931,0
PYPG.US,D,20250512,000000,20.73,20.73,19.7263,19.7263,5742,0
PYPG.US,D,20250513,000000,19.6662,19.9099,19.6,19.8393,5388,0
PYPG.US,D,20250514,000000,20.1,20.1,19.86,20.009,2026,0
PYPG.US,D,20250515,000000,19.9,19.924,19.3583,19.3583,3416,0
PYPG.US,D,20250516,000000,19.481,19.6796,19.481,19.6796,2372,0
PYPG.US,D,20250519,000000,19.38,19.85,19.38,19.81,1448,0
PYPG.US,D,20250520,000000,19.66,19.96,19.66,19.96,6690,0
PYPG.US,D,20250522,000000,19.43,19.52,19.22,19.36,8092,0
PYPG.US,D,20250523,000000,18.23,18.5,18.23,18.46,12017,0
PYPG.US,D,20250527,000000,19.33,19.3406,19.25,19.31,2985,0
PYPG.US,D,20250528,000000,19.4,19.4,19.26,19.26,836,0
PYPG.US,D,20250529,000000,18.91,19.1,18.68,18.96,4137,0
PYPG.US,D,20250530,000000,18.55,18.66,18.23,18.62,10018,0
PYPG.US,D,20250602,000000,18.44,18.97,18.369,18.97,627,0
PYPG.US,D,20250603,000000,18.63,19.24,18.63,19.24,5193,0
PYPG.US,D,20250604,000000,19.17,20.0399,19.1617,19.98,14482,0
PYPG.US,D,20250605,000000,19.81,20.2,19.77,19.77,1657,0
PYPG.US,D,20250606,000000,20.02,20.33,19.88,20.33,2587,0
PYPG.US,D,20250609,000000,20.215,20.34,20,20.34,2963,0
PYPG.US,D,20250610,000000,20.62,20.84,20.605,20.77,2143,0
PYPG.US,D,20250611,000000,21.14,21.14,20.55,20.81,2703,0
PYPG.US,D,20250612,000000,21,21.069,20.88,20.88,3137,0
PYPG.US,D,20250613,000000,19.99,20.5,18.58,18.72,18115,0
PYPG.US,D,20250616,000000,19.453,19.5,19.32,19.49,4005,0
PYPG.US,D,20250617,000000,19.0855,19.0855,18.57,18.64,1047,0
PYPG.US,D,20250618,000000,18.3738,18.805,17,17.51,16948,0
PYPG.US,D,20250620,000000,18.03,18.3894,18.03,18.26,5428,0
PYPG.US,D,20250623,000000,18.67,19.29,18.355,19.29,22517,0
PYPG.US,D,20250624,000000,20.031,20.17,19.59,20.07,15550,0
PYPG.US,D,20250625,000000,20,20.12,19.5587,19.745,10389,0
PYPG.US,D,20250626,000000,19.6,19.795,19,19.795,27221,0
PYPG.US,D,20250627,000000,19.88,20.05,19.64,20,7688,0
PYPG.US,D,20250630,000000,20.21,20.49,20.161,20.395,39216,0
PYPG.US,D,20250701,000000,20.3,21.15,20.3,20.91,13586,0
PYPG.US,D,20250702,000000,20.9822,21.7789,20.9822,21.44,31652,0
PYPG.US,D,20250703,000000,21.74,22.04,21.64,21.64,14282,0
PYPG.US,D,20250707,000000,21.539,21.68,21.1924,21.42,14834,0
PYPG.US,D,20250708,000000,21.42,21.42,20.4101,20.76,23832,0
PYPG.US,D,20250709,000000,20.83,21.1,20.4692,20.5894,4548,0
PYPG.US,D,20250710,000000,20.371,21.32,20.36,21.1,4701,0
PYPG.US,D,20250711,000000,20.67,20.67,18.4084,18.72,24942,0
PYPG.US,D,20250714,000000,19.59,20.035,19.59,20.02,14682,0
PYPG.US,D,20250715,000000,19.67,19.84,19.48,19.48,10239,0
PYPG.US,D,20250716,000000,19.48,19.48,18.805,19.4329,11155,0
PYPG.US,D,20250717,000000,19.4,20.0694,19.28,19.9564,25229,0
PYPG.US,D,20250718,000000,19.9011,20.0585,19.62,20.0032,12974,0
PYPG.US,D,20250721,000000,21.1,21.14,20.4048,20.4048,21702,0
PYPG.US,D,20250722,000000,20.6,21.1083,20.49,21.088,12854,0
PYPG.US,D,20250723,000000,21.61,21.69,21.05,21.3724,22922,0
PYPG.US,D,20250724,000000,21.99,22.501,21.9,22.0725,30125,0
PYPG.US,D,20250725,000000,22.07,22.6,22.036,22.1717,27473,0
PYPG.US,D,20250728,000000,22.47,22.8,22.11,22.3094,97535,0
PYPG.US,D,20250729,000000,18.47,19.3692,17.86,18.32,555441,0
PYPG.US,D,20250730,000000,18.86,18.86,17.39,17.4392,295390,0
PYPG.US,D,20250731,000000,17.38,17.57,16.8311,16.9649,89042,0
PYPG.US,D,20250801,000000,16.7,16.7,15.9,16.2,75246,0
PYPG.US,D,20250804,000000,16.51,16.8,16.2825,16.5657,31610,0
PYPG.US,D,20250805,000000,16.8,16.82,16.3,16.4809,36225,0
PYPG.US,D,20250806,000000,16.8,17.315,16.74,17.25,36409,0
PYPG.US,D,20250807,000000,17.57,17.5785,16.38,16.6273,82873,0
PYPG.US,D,20250808,000000,16.685,16.685,16.2701,16.3591,59159,0
PYPG.US,D,20250811,000000,16.37,16.71,15.9922,16.0446,49033,0
PYPG.US,D,20250812,000000,16.18,16.825,16.18,16.4666,44033,0
PYPG.US,D,20250813,000000,16.58,17.78,16.58,17.71,75612,0
PYPG.US,D,20250814,000000,17.18,17.351,16.58,17.07,77349,0
PYPG.US,D,20250815,000000,17.22,17.4991,17.05,17.12,33256,0
PYPG.US,D,20250818,000000,17.08,17.3799,17.08,17.218,43931,0
PYPG.US,D,20250819,000000,17.18,17.5682,16.9108,16.9298,96862,0
PYPG.US,D,20250820,000000,16.87,16.92,16.3475,16.4683,46620,0
PYPG.US,D,20250821,000000,16.22,16.34,15.952,16.2008,43161,0
PYPG.US,D,20250822,000000,16.45,17.38,16.37,17.2907,49319,0
PYPG.US,D,20250825,000000,17.2,17.23,16.91,17.1133,29731,0
PYPG.US,D,20250826,000000,17.19,17.4273,17.08,17.4273,14406,0
PYPG.US,D,20250827,000000,16.7954,17.31,16.7954,17.08,64780,0
PYPG.US,D,20250828,000000,17.36,17.47,17.111,17.3578,20037,0
PYPG.US,D,20250829,000000,17.35,17.63,17.24,17.3575,19415,0
PYPG.US,D,20250902,000000,16.67,16.9154,16.5,16.9154,39537,0
PYPG.US,D,20250903,000000,16.77,17.11,16.735,17.0864,20783,0
PYPG.US,D,20250904,000000,17.16,17.16,15.515,16.5218,49434,0
PYPG.US,D,20250905,000000,17.08,17.13,16.371,16.371,25796,0
PYPG.US,D,20250908,000000,16.42,16.4472,16.18,16.4472,31334,0
PYPG.US,D,20250909,000000,16.36,16.36,16.06,16.1284,41721,0
PYPG.US,D,20250910,000000,16,16.255,14.97,15.145,73478,0
PYPG.US,D,20250911,000000,15.2,15.919,15.2,15.8839,54155,0
PYPG.US,D,20250912,000000,15.8,16.08,15.681,15.71,18169,0
PYPG.US,D,20250915,000000,15.9,16.3086,15.65,15.7797,71390,0
PYPG.US,D,20250916,000000,15.68,15.8,15.339,15.6647,73353,0
PYPG.US,D,20250917,000000,15.8,16.76,15.8,16.4379,201701,0
PYPG.US,D,20250918,000000,17.21,17.21,16.365,16.44,328489,0
PYPG.US,D,20250919,000000,16.46,16.5,16.11,16.2718,116151,0
PYPG.US,D,20250922,000000,16.06,16.15,15.7021,16.03,1147806,0
PYPG.US,D,20250923,000000,16.1,16.62,15.73,15.84,164276,0
PYPG.US,D,20250924,000000,15.93,16.4,15.93,16.0798,110370,0
PYPG.US,D,20250925,000000,15.88,15.9,15.3087,15.6,123533,0
PYPG.US,D,20250926,000000,15.61,15.8895,15.36,15.73,1091783,0
PYPG.US,D,20250929,000000,16.08,17.6083,16.0703,16.89,635937,0
PYPG.US,D,20250930,000000,16.99,16.99,15.515,15.62,498448,0
PYPG.US,D,20251001,000000,15.54,15.94,15.21,15.4,392274,0
PYPG.US,D,20251002,000000,15.66,16.47,15.6,16.47,362683,0
PYPG.US,D,20251003,000000,16.12,16.7199,15.88,16.57,199517,0
PYPG.US,D,20251006,000000,17,17.83,16.7,17.53,789922,0
PYPG.US,D,20251007,000000,19,19.71,18.44,19.18,1866552,0
PYPG.US,D,20251008,000000,19.54,20.12,18.5,19.99,698626,0
PYPG.US,D,20251009,000000,20.47,20.525,19.39,19.79,390451,0
PYPG.US,D,20251010,000000,20.01,20.27,16.62,16.65,827328,0
PYPG.US,D,20251013,000000,17.06,17.14,15.8575,16.2,865438,0
PYPG.US,D,20251014,000000,15.61,16.59,15.19,16.29,392073,0
PYPG.US,D,20251015,000000,16.41,16.649,15.7,15.77,312376,0
PYPG.US,D,20251016,000000,15.84,16,14.59,14.91,386259,0
PYPG.US,D,20251017,000000,14.56,15.55,14.55,15.47,315492,0
PYPG.US,D,20251020,000000,15.62,16.3899,15.6,16.24,283253,0
PYPG.US,D,20251021,000000,16.16,16.77,16.12,16.63,301540,0
PYPG.US,D,20251022,000000,16.2,16.315,15.66,15.69,211057,0
PYPG.US,D,20251023,000000,15.7,16.6,15.7,16.39,192042,0
PYPG.US,D,20251024,000000,16.685,17.1186,16.45,16.48,223122,0
