<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WTIP.US,D,20250618,000000,30.03,30.07,29.895,29.895,3486,0
WTIP.US,D,20250620,000000,30,30,29.77,29.77,4230,0
WTIP.US,D,20250623,000000,29.77,29.88,29.76,29.875,22176,0
WTIP.US,D,20250624,000000,29.84,30.03,29.84,29.84,5398,0
WTIP.US,D,20250625,000000,30.56,30.56,29.91,29.91,2147,0
WTIP.US,D,20250626,000000,29.82,29.95,29.82,29.885,2604,0
WTIP.US,D,20250630,000000,29.9,29.92,29.9,29.915,4919,0
WTIP.US,D,20250701,000000,29.92,29.93,29.92,29.93,746,0
WTIP.US,D,20250703,000000,29.75,29.75,29.745,29.745,453,0
WTIP.US,D,20250714,000000,30.8399,30.8399,30.56,30.565,3902,0
WTIP.US,D,20250717,000000,30.84,30.84,30.765,30.765,110,0
WTIP.US,D,20250718,000000,30.93,31,30.61,30.61,5632,0
WTIP.US,D,20250721,000000,30.9139,31,30.9139,30.92,7108,0
WTIP.US,D,20250724,000000,30.85,30.86,30.775,30.775,1358,0
WTIP.US,D,20250725,000000,30.7232,30.75,30.6349,30.6349,1280,0
WTIP.US,D,20250728,000000,31.07,31.07,30.705,30.705,1245,0
WTIP.US,D,20250729,000000,30.85,31.19,30.85,31.075,1101,0
WTIP.US,D,20250731,000000,30.36,30.36,30.21,30.225,2211,0
WTIP.US,D,20250801,000000,30.0697,30.08,30.02,30.02,3455,0
WTIP.US,D,20250804,000000,29.98,30.1059,29.98,30.1059,551,0
WTIP.US,D,20250805,000000,30.15,30.16,30.065,30.065,3341,0
WTIP.US,D,20250806,000000,30.23,30.27,30.01,30.01,859,0
WTIP.US,D,20250807,000000,29.96,30.035,29.96,29.975,819,0
WTIP.US,D,20250811,000000,29.999,29.999,29.8614,29.925,1817,0
WTIP.US,D,20250812,000000,29.85,30.0056,29.85,29.995,1608,0
WTIP.US,D,20250813,000000,30.079,30.11,29.6979,29.98,12486,0
WTIP.US,D,20250814,000000,30.09,30.09,30.0794,30.0794,1508,0
WTIP.US,D,20250819,000000,29.8144,29.835,29.8144,29.835,1231,0
WTIP.US,D,20250826,000000,30.28,30.28,30.11,30.11,296,0
WTIP.US,D,20250828,000000,30.365,30.4389,30.365,30.405,368,0
WTIP.US,D,20250902,000000,30.63,30.945,30.63,30.945,468,0
WTIP.US,D,20250903,000000,30.84,30.845,30.84,30.845,364,0
WTIP.US,D,20250910,000000,30.69,30.835,30.69,30.835,255,0
WTIP.US,D,20250922,000000,31.179,31.179,31.125,31.125,369,0
WTIP.US,D,20250923,000000,31.07,31.07,30.98,30.98,596,0
WTIP.US,D,20250924,000000,30.99,30.9999,30.935,30.935,2143,0
WTIP.US,D,20250925,000000,30.79,30.79,29.44,30.69,3740,0
WTIP.US,D,20250929,000000,31,31.3,31,31.23,1481,0
WTIP.US,D,20250930,000000,31.2954,31.44,31.2954,31.44,1311,0
WTIP.US,D,20251002,000000,31.5518,31.695,31.5518,31.695,1187,0
WTIP.US,D,20251003,000000,31.65,31.9,31.65,31.865,814,0
WTIP.US,D,20251006,000000,31.8901,31.8901,31.8806,31.8806,413,0
WTIP.US,D,20251007,000000,31.88,31.89,31.88,31.89,361,0
WTIP.US,D,20251008,000000,32.0401,32.19,32.0401,32.08,630,0
WTIP.US,D,20251013,000000,32.41,32.48,32.405,32.425,560,0
WTIP.US,D,20251015,000000,32.45,32.46,32.37,32.37,1937,0
WTIP.US,D,20251016,000000,32.5299,32.5299,32.4653,32.5084,1153,0
WTIP.US,D,20251017,000000,32.2,32.2622,32.2,32.2622,356,0
WTIP.US,D,20251021,000000,32.25,32.25,31.96,32.1263,2699,0
WTIP.US,D,20251022,000000,32.14,32.2802,32.14,32.2802,772,0
WTIP.US,D,20251023,000000,32.6,32.6,32.39,32.39,436,0
WTIP.US,D,20251024,000000,32.47,32.53,32.353,32.405,5488,0
WTIP.US,D,20251027,000000,32.3323,32.3323,32.235,32.235,2598,0
WTIP.US,D,20251028,000000,31.94,32.07,31.94,32.07,1532,0
WTIP.US,D,20251030,000000,32.19,32.19,32.1009,32.1009,1358,0
WTIP.US,D,20251031,000000,32.27,32.27,32.0947,32.0947,6468,0
WTIP.US,D,20251103,000000,32.05,35.22,31.96,31.98,3594,0
WTIP.US,D,20251104,000000,31.906,31.906,31.76,31.76,248,0
WTIP.US,D,20251105,000000,31.97,31.97,31.94,31.94,1620,0
