<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALCY.US,D,20250228,000000,11.21,11.21,11.21,11.21,9968,0
ALCY.US,D,20250303,000000,11.21,11.21,11.21,11.21,6410,0
ALCY.US,D,20250304,000000,11.25,11.3,11.2,11.2,3561,0
ALCY.US,D,20250305,000000,11.3,11.3,11.07,11.07,1654,0
ALCY.US,D,20250311,000000,11.2703,11.2703,11.07,11.07,250,0
ALCY.US,D,20250313,000000,11.31,11.31,11.06,11.06,329,0
ALCY.US,D,20250317,000000,11.19,11.22,11.19,11.22,7624,0
ALCY.US,D,20250318,000000,11.24,11.3,11.23,11.3,68608,0
ALCY.US,D,20250404,000000,11.315,11.35,11.29,11.29,3413,0
ALCY.US,D,20250407,000000,11.36,11.36,11.36,11.36,149,0
ALCY.US,D,20250410,000000,11.35,11.36,11.34,11.35,50626,0
ALCY.US,D,20250411,000000,11.35,11.35,11.345,11.35,56087,0
ALCY.US,D,20250415,000000,11.32,11.57,11.32,11.37,12040,0
ALCY.US,D,20250422,000000,11.34,11.5,11.34,11.3899,7150,0
ALCY.US,D,20250423,000000,11.37,11.5105,11.36,11.4,2807,0
ALCY.US,D,20250425,000000,11.5,11.5,11.4,11.4,1961,0
ALCY.US,D,20250501,000000,11.64,11.64,11.45,11.45,905,0
ALCY.US,D,20250505,000000,11.535,12.01,11.13,11.67,21611,0
ALCY.US,D,20250507,000000,11.62,11.62,11.62,11.62,440,0
ALCY.US,D,20250508,000000,11.42,11.73,11.42,11.73,2043,0
ALCY.US,D,20250512,000000,11.75,11.9999,11.75,11.9999,1182,0
ALCY.US,D,20250513,000000,12.05,12.05,11.29,11.5,2306,0
ALCY.US,D,20250514,000000,11.75,11.75,11.31,11.5,3940,0
ALCY.US,D,20250515,000000,11.445,11.445,11.445,11.445,570,0
ALCY.US,D,20250516,000000,11.39,11.5,11.39,11.5,4190,0
ALCY.US,D,20250519,000000,11.31,11.49,11.31,11.49,731,0
ALCY.US,D,20250520,000000,11.3,11.48,11.29,11.48,1379,0
ALCY.US,D,20250521,000000,11.49,11.5,11.49,11.5,402,0
ALCY.US,D,20250530,000000,11.4,11.48,11.31,11.48,51684,0
ALCY.US,D,20250605,000000,11.49,11.72,11.49,11.72,1549,0
ALCY.US,D,20250811,000000,11.75,12,11.47,12,723,0
ALCY.US,D,20250812,000000,11.63,11.69,11.63,11.69,5382,0
ALCY.US,D,20250820,000000,11.69,11.69,11.59,11.645,315,0
ALCY.US,D,20250822,000000,11.69,11.69,11.69,11.69,202,0
ALCY.US,D,20250825,000000,11.624,11.65,11.624,11.65,53007,0
ALCY.US,D,20250826,000000,11.69,11.69,11.69,11.69,135,0
ALCY.US,D,20250827,000000,11.59,11.69,11.59,11.69,203,0
ALCY.US,D,20250828,000000,11.74,11.74,11.59,11.65,10796,0
ALCY.US,D,20250829,000000,11.59,11.65,11.49,11.5,109862,0
ALCY.US,D,20250902,000000,11,11,11,11,133,0
ALCY.US,D,20250903,000000,12,12.37,11.1,11.39,12963,0
ALCY.US,D,20250905,000000,11.5,11.5,10.25,10.87,12033,0
ALCY.US,D,20250908,000000,10.99,11.3912,10.99,11.39,5490,0
ALCY.US,D,20250909,000000,11.3,11.31,11.3,11.31,2356,0
ALCY.US,D,20250910,000000,11.39,11.39,11.335,11.335,605,0
ALCY.US,D,20250911,000000,11.4999,12.25,11.44,11.56,194862,0
ALCY.US,D,20250912,000000,11.59,11.59,11.59,11.59,283,0
ALCY.US,D,20250915,000000,11.65,11.65,11.58,11.65,953,0
ALCY.US,D,20250916,000000,11.59,11.65,11.59,11.65,209,0
ALCY.US,D,20250917,000000,11.34,11.5,11.34,11.4675,818,0
ALCY.US,D,20250918,000000,11.5001,11.75,11.5,11.56,1437,0
ALCY.US,D,20250919,000000,11.5,11.75,11.38,11.75,1712,0
ALCY.US,D,20250922,000000,11.5,11.5,11.4,11.45,1440,0
ALCY.US,D,20250925,000000,11.75,11.99,11.5,11.99,603,0
ALCY.US,D,20250926,000000,11.72,11.99,11.51,11.51,530,0
ALCY.US,D,20250929,000000,11.51,11.6,11.45,11.6,11920,0
ALCY.US,D,20251001,000000,11.58,11.7,11.58,11.7,2197,0
ALCY.US,D,20251002,000000,11.72,11.72,11.71,11.72,706,0
ALCY.US,D,20251003,000000,11.75,11.75,11.75,11.75,991,0
ALCY.US,D,20251010,000000,11.75,11.75,11.75,11.75,566,0
ALCY.US,D,20251013,000000,11.99,11.99,11.63,11.774,308,0
ALCY.US,D,20251016,000000,11.99,11.99,11.79,11.89,2139,0
ALCY.US,D,20251017,000000,12.15,12.15,11.89,11.98,1635,0
ALCY.US,D,20251020,000000,11.84,11.84,11.8,11.8,2498,0
ALCY.US,D,20251022,000000,11.8,11.8,11.8,11.8,462,0
ALCY.US,D,20251023,000000,11.99,11.99,11.65,11.65,396,0
ALCY.US,D,20251024,000000,12.25,12.99,12.1,12.2,4019,0
ALCY.US,D,20251028,000000,11.98,11.98,11.63,11.63,6026,0
ALCY.US,D,20251030,000000,11.65,11.65,11.65,11.65,455,0
ALCY.US,D,20251031,000000,11.65,11.65,11.65,11.65,484,0
