<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BACCU.US,D,20250613,000000,10.03,10.05,10.03,10.03,8766160,0
BACCU.US,D,20250616,000000,10.04,10.065,10.04,10.06,967424,0
BACCU.US,D,20250617,000000,10.04,10.06,10.04,10.04,482686,0
BACCU.US,D,20250618,000000,10.04,10.25,10.04,10.05,318773,0
BACCU.US,D,20250620,000000,10.09,10.1,10.065,10.09,19739,0
BACCU.US,D,20250623,000000,10.07,10.07,10.05,10.06,41326,0
BACCU.US,D,20250624,000000,10.06,10.1,10.05,10.07,117867,0
BACCU.US,D,20250625,000000,10.05,10.06,10.05,10.05,210088,0
BACCU.US,D,20250626,000000,10.05,10.07,10.05,10.055,44360,0
BACCU.US,D,20250627,000000,10.1,10.1,10.06,10.07,3614,0
BACCU.US,D,20250630,000000,10.06,10.06,10.04,10.04,9315,0
BACCU.US,D,20250701,000000,10.04,10.06,10.04,10.04,621179,0
BACCU.US,D,20250702,000000,10.04,10.04,10.04,10.04,15779,0
BACCU.US,D,20250703,000000,10.04,10.05,10.04,10.0433,4191,0
BACCU.US,D,20250707,000000,10.04,10.04,10.01,10.03,220160,0
BACCU.US,D,20250708,000000,10.03,10.05,10.03,10.035,308120,0
BACCU.US,D,20250709,000000,10.04,10.05,10.04,10.04,23779,0
BACCU.US,D,20250710,000000,10.0567,10.0567,10.04,10.04,21520,0
BACCU.US,D,20250711,000000,10.04,10.05,10.04,10.04,25131,0
BACCU.US,D,20250714,000000,10.0451,10.0451,10.04,10.04,5703,0
BACCU.US,D,20250715,000000,10.04,10.05,10.04,10.05,5990,0
BACCU.US,D,20250716,000000,10.04,10.04,10.04,10.04,1673,0
BACCU.US,D,20250717,000000,10.04,10.04,10.04,10.04,150001,0
BACCU.US,D,20250718,000000,10.05,10.0553,10.05,10.0553,1588,0
BACCU.US,D,20250721,000000,10.06,10.06,10.05,10.05,2610,0
BACCU.US,D,20250722,000000,10.05,10.05,10.05,10.05,316,0
BACCU.US,D,20250723,000000,10.08,10.095,10.08,10.09,92575,0
BACCU.US,D,20250724,000000,10.08,10.095,10.08,10.095,6657,0
BACCU.US,D,20250725,000000,10.0901,10.11,10.09,10.11,51092,0
BACCU.US,D,20250728,000000,10.12,10.13,10.12,10.12,22388,0
BACCU.US,D,20250729,000000,10.14,10.14,10.0947,10.11,26441,0
BACCU.US,D,20250730,000000,10.11,10.11,10.1,10.1,26165,0
BACCU.US,D,20250731,000000,10.1,10.1,10.08,10.09,108036,0
BACCU.US,D,20250801,000000,10.09,10.1,10.09,10.1,281327,0
