<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBYY.US,D,20251021,000000,24.81,24.81,24.6963,24.6963,1604,0
BBYY.US,D,20251022,000000,24.65,24.69,24.625,24.625,1449,0
BBYY.US,D,20251023,000000,24.82,24.9,24.8087,24.8425,13222,0
BBYY.US,D,20251024,000000,24.66,24.66,24.5,24.5,15841,0
BBYY.US,D,20251027,000000,24.8,24.84,24.71,24.775,7206,0
BBYY.US,D,20251028,000000,24.77,24.775,24.59,24.68,4729,0
BBYY.US,D,20251029,000000,24.944,25.02,24.93,24.9903,4038,0
BBYY.US,D,20251030,000000,24.57,24.83,24.545,24.5862,9470,0
BBYY.US,D,20251031,000000,23.7801,23.7801,23.47,23.672,7636,0
BBYY.US,D,20251103,000000,23.4,23.51,23.3355,23.44,9238,0
BBYY.US,D,20251104,000000,22.915,23.26,22.84,23.1115,3083,0
BBYY.US,D,20251105,000000,23.16,23.27,23.0472,23.18,8270,0
