<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCARW.US,D,20250820,000000,0.14,0.27,0.14,0.17,2459604,0
BCARW.US,D,20250821,000000,0.153,0.16,0.15,0.1551,287029,0
BCARW.US,D,20250822,000000,0.156,0.178,0.15,0.1774,481628,0
BCARW.US,D,20250825,000000,0.1774,0.195,0.17,0.19,140267,0
BCARW.US,D,20250826,000000,0.1651,0.19,0.1651,0.1658,4600,0
BCARW.US,D,20250827,000000,0.175,0.175,0.1629,0.1629,42300,0
BCARW.US,D,20250828,000000,0.1601,0.1601,0.1601,0.1601,1309,0
BCARW.US,D,20250829,000000,0.16555,0.2,0.16555,0.2,38483,0
BCARW.US,D,20250902,000000,0.17,0.195,0.17,0.195,13891,0
BCARW.US,D,20250903,000000,0.1611,0.170049,0.1602,0.1645,82474,0
BCARW.US,D,20250904,000000,0.1601,0.17,0.1601,0.1602,52392,0
BCARW.US,D,20250908,000000,0.17,0.17,0.17,0.17,1100,0
BCARW.US,D,20250909,000000,0.175,0.18,0.1699,0.1699,154430,0
BCARW.US,D,20250911,000000,0.165,0.165,0.165,0.165,46457,0
BCARW.US,D,20250912,000000,0.1758,0.1758,0.1758,0.1758,100,0
BCARW.US,D,20250915,000000,0.18,0.19,0.18,0.19,2352,0
BCARW.US,D,20250916,000000,0.18,0.19,0.18,0.19,8130,0
BCARW.US,D,20250917,000000,0.18,0.19,0.18,0.19,5280,0
BCARW.US,D,20250918,000000,0.18,0.1901,0.18,0.185,66213,0
BCARW.US,D,20250919,000000,0.18,0.2,0.18,0.2,138280,0
BCARW.US,D,20250922,000000,0.2,0.2,0.2,0.2,10325,0
BCARW.US,D,20250923,000000,0.203,0.203,0.17,0.17,317548,0
BCARW.US,D,20250924,000000,0.1949,0.2,0.1949,0.2,1200,0
BCARW.US,D,20250925,000000,0.199899,0.209999,0.199899,0.209999,9000,0
BCARW.US,D,20250926,000000,0.1953,0.2026,0.1953,0.2026,5120,0
BCARW.US,D,20250929,000000,0.21,0.21,0.2099,0.2099,220,0
BCARW.US,D,20250930,000000,0.21,0.22,0.21,0.2199,455219,0
BCARW.US,D,20251001,000000,0.209601,0.23,0.2075,0.21,11827,0
BCARW.US,D,20251002,000000,0.22,0.3105,0.22,0.3105,68890,0
BCARW.US,D,20251003,000000,0.25,0.2838,0.2301,0.25,28088,0
BCARW.US,D,20251006,000000,0.2603,0.2657,0.2513,0.2657,9420,0
BCARW.US,D,20251007,000000,0.26,0.26,0.26,0.26,25058,0
BCARW.US,D,20251008,000000,0.2795,0.28,0.279,0.2797,2638,0
BCARW.US,D,20251009,000000,0.3,0.34,0.3,0.32,233916,0
BCARW.US,D,20251010,000000,0.3,0.35,0.3,0.34,39507,0
BCARW.US,D,20251013,000000,0.3399,0.36,0.3399,0.35,532434,0
BCARW.US,D,20251014,000000,0.4277,0.4277,0.351,0.3623,42355,0
BCARW.US,D,20251015,000000,0.37,0.4122,0.37,0.4,163965,0
BCARW.US,D,20251016,000000,0.41,0.41,0.2597,0.29,62039,0
BCARW.US,D,20251017,000000,0.37,0.39,0.35,0.388,111979,0
BCARW.US,D,20251020,000000,0.3927,0.4,0.38,0.4,24743,0
BCARW.US,D,20251021,000000,0.4,0.4,0.38,0.38,8227,0
BCARW.US,D,20251022,000000,0.4,0.4,0.38,0.4,16666,0
BCARW.US,D,20251023,000000,0.4,0.42,0.38,0.41,24620,0
BCARW.US,D,20251024,000000,0.38,0.4,0.38,0.38,14316,0
BCARW.US,D,20251027,000000,0.38,0.4,0.37,0.3899,174214,0
BCARW.US,D,20251028,000000,0.4,0.4,0.38,0.3881,9040,0
BCARW.US,D,20251029,000000,0.38,0.4,0.38,0.3802,97183,0
BCARW.US,D,20251030,000000,0.3999,0.3999,0.38,0.3981,12254,0
BCARW.US,D,20251031,000000,0.398,0.3999,0.38,0.38,4484,0
BCARW.US,D,20251103,000000,0.38,0.3864,0.37,0.3864,11413,0
BCARW.US,D,20251104,000000,0.389,0.389,0.35,0.37,12622,0
BCARW.US,D,20251105,000000,0.32,0.39,0.32,0.39,2126,0
