<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLUWW.US,D,20250731,000000,0.1,0.17,0.1,0.17,208158,0
BLUWW.US,D,20250801,000000,0.25,0.25,0.25,0.25,354,0
BLUWW.US,D,20250804,000000,0.24,0.24,0.1687,0.2134,10604,0
BLUWW.US,D,20250805,000000,0.2487,0.25,0.18,0.199999,9921,0
BLUWW.US,D,20250806,000000,0.12,0.2,0.12,0.1899,406409,0
BLUWW.US,D,20250807,000000,0.17,0.175,0.1281,0.1281,5285,0
BLUWW.US,D,20250808,000000,0.16,0.16,0.159,0.159,570,0
BLUWW.US,D,20250811,000000,0.18,0.18,0.1264,0.1264,15087,0
BLUWW.US,D,20250812,000000,0.15,0.15,0.0502,0.0502,5192,0
BLUWW.US,D,20250813,000000,0.132,0.149999,0.0633,0.1006,112601,0
BLUWW.US,D,20250814,000000,0.12,0.14,0.11,0.11,173635,0
BLUWW.US,D,20250815,000000,0.12,0.12,0.12,0.12,489,0
BLUWW.US,D,20250818,000000,0.136,0.136,0.136,0.136,504,0
BLUWW.US,D,20250821,000000,0.14,0.14,0.1399,0.1399,220,0
BLUWW.US,D,20250822,000000,0.134,0.1551,0.11,0.1551,6471,0
BLUWW.US,D,20250826,000000,0.1328,0.1328,0.1327,0.1327,859,0
BLUWW.US,D,20250827,000000,0.1284,0.1284,0.1283,0.1284,508,0
BLUWW.US,D,20250828,000000,0.1304,0.1304,0.13,0.13,3039,0
BLUWW.US,D,20250829,000000,0.14,0.14,0.14,0.14,50315,0
BLUWW.US,D,20250902,000000,0.1863,0.199899,0.1306,0.1306,6383,0
BLUWW.US,D,20250903,000000,0.14,0.16,0.132,0.132,146982,0
BLUWW.US,D,20250904,000000,0.1335,0.134,0.1206,0.1206,11311,0
BLUWW.US,D,20250905,000000,0.1224,0.1224,0.1206,0.1206,3204,0
BLUWW.US,D,20250908,000000,0.18,0.21,0.16,0.202,599365,0
BLUWW.US,D,20250909,000000,0.21,0.214,0.1769,0.214,25041,0
BLUWW.US,D,20250910,000000,0.2,0.2028,0.18,0.2,13073,0
BLUWW.US,D,20250911,000000,0.1925,0.1925,0.16,0.17,131583,0
BLUWW.US,D,20250912,000000,0.16031,0.176,0.16031,0.1726,6329,0
BLUWW.US,D,20250915,000000,0.18,0.192,0.15,0.15,50301,0
BLUWW.US,D,20250916,000000,0.1527,0.1639,0.1509,0.1509,2353,0
BLUWW.US,D,20250917,000000,0.1599,0.1599,0.1428,0.15,24524,0
BLUWW.US,D,20250918,000000,0.1599,0.16,0.125,0.1351,20874,0
BLUWW.US,D,20250919,000000,0.16,0.16,0.144,0.144,6372,0
BLUWW.US,D,20250922,000000,0.16,0.16,0.1253,0.1496,54120,0
BLUWW.US,D,20250923,000000,0.15,0.19,0.145,0.15,38864,0
BLUWW.US,D,20250924,000000,0.165,0.165,0.1526,0.1563,22400,0
BLUWW.US,D,20250929,000000,0.159,0.159,0.159,0.159,918,0
BLUWW.US,D,20250930,000000,0.16,0.16005,0.1401,0.1419,31103,0
BLUWW.US,D,20251001,000000,0.1595,0.1841,0.1594,0.1607,1388,0
BLUWW.US,D,20251002,000000,0.1998,0.1998,0.1998,0.1998,520,0
BLUWW.US,D,20251003,000000,0.1862,0.19,0.17,0.1744,11073,0
BLUWW.US,D,20251006,000000,0.19,0.19,0.1705,0.171,189393,0
BLUWW.US,D,20251007,000000,0.18,0.2,0.1654,0.17,10170,0
BLUWW.US,D,20251008,000000,0.176,0.176,0.170001,0.170001,2284,0
BLUWW.US,D,20251009,000000,0.175,0.19,0.1621,0.17,40654,0
BLUWW.US,D,20251010,000000,0.18,0.195,0.18,0.19,27624,0
BLUWW.US,D,20251013,000000,0.1777,0.222,0.1747,0.19,103657,0
BLUWW.US,D,20251014,000000,0.2199,0.222,0.219,0.222,5443,0
BLUWW.US,D,20251015,000000,0.22,0.22,0.2117,0.2155,12782,0
BLUWW.US,D,20251016,000000,0.214999,0.215,0.214999,0.215,10000,0
BLUWW.US,D,20251020,000000,0.2,0.215,0.1999,0.2141,18726,0
BLUWW.US,D,20251021,000000,0.1939,0.2099,0.19,0.1901,60559,0
BLUWW.US,D,20251022,000000,0.2,0.2097,0.19,0.2097,8136,0
BLUWW.US,D,20251023,000000,0.19,0.224,0.1862,0.224,100182,0
BLUWW.US,D,20251024,000000,0.215,0.215,0.215,0.215,1908,0
BLUWW.US,D,20251027,000000,0.2,0.21,0.2,0.21,10285,0
BLUWW.US,D,20251028,000000,0.21,0.21,0.2099,0.21,3634,0
BLUWW.US,D,20251029,000000,0.19,0.2092,0.17,0.2092,11010,0
BLUWW.US,D,20251030,000000,0.2091,0.21,0.19,0.19,15900,0
BLUWW.US,D,20251031,000000,0.1971,0.1971,0.18081,0.18081,2240,0
BLUWW.US,D,20251103,000000,0.1829,0.2076,0.1829,0.2076,5404,0
BLUWW.US,D,20251104,000000,0.1936,0.1988,0.185,0.193376,8453,0
BLUWW.US,D,20251105,000000,0.21,0.21,0.2055,0.2055,250,0
