<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRBI.US,D,20250919,000000,24,24,24,24,170,0
BRBI.US,D,20250923,000000,63.68,67.01,14,16.53,853405,0
BRBI.US,D,20250924,000000,16.15,16.185,14.25,14.86,324812,0
BRBI.US,D,20250925,000000,14.29,15.11,14.29,14.3,162087,0
BRBI.US,D,20250926,000000,14.24,14.65,13.52,13.52,74275,0
BRBI.US,D,20250929,000000,14.49,14.49,13.2,13.7,54713,0
BRBI.US,D,20250930,000000,13.3,14,13.2,13.34,21667,0
BRBI.US,D,20251001,000000,13.3,13.7338,13.3,13.5,31498,0
BRBI.US,D,20251002,000000,13.57,13.68,13,13,120371,0
BRBI.US,D,20251003,000000,13.4,13.5768,13.03,13.03,178775,0
BRBI.US,D,20251006,000000,13.5,13.52,13.19,13.34,266764,0
BRBI.US,D,20251007,000000,13.27,13.375,13,13.09,314950,0
BRBI.US,D,20251008,000000,13.315,13.315,12.815,12.98,235329,0
BRBI.US,D,20251009,000000,13.0804,13.25,12.94,13.19,58227,0
BRBI.US,D,20251010,000000,13.14,13.14,12.15,12.51,183855,0
BRBI.US,D,20251013,000000,12.7,13.18,12.7,13.17,84531,0
BRBI.US,D,20251014,000000,13.16,13.27,12.99,13.13,12084,0
BRBI.US,D,20251015,000000,13.44,13.58,13.24,13.41,25142,0
BRBI.US,D,20251016,000000,13.59,13.8181,13.57,13.78,24390,0
BRBI.US,D,20251017,000000,13.84,14.07,13.59,13.63,11715,0
BRBI.US,D,20251020,000000,13.52,13.8,13.33,13.8,9589,0
BRBI.US,D,20251021,000000,13.63,13.83,13.59,13.685,10653,0
BRBI.US,D,20251022,000000,14,14.04,12.941,13.77,38148,0
BRBI.US,D,20251023,000000,14.05,14.155,13.75,14.105,19300,0
BRBI.US,D,20251024,000000,14.29,14.59,14.27,14.375,11257,0
BRBI.US,D,20251027,000000,14.37,14.9709,14.3142,14.48,7069,0
BRBI.US,D,20251028,000000,14.45,14.78,14.3,14.78,18357,0
BRBI.US,D,20251029,000000,14.79,14.79,14.4534,14.4534,18198,0
BRBI.US,D,20251030,000000,14.43,14.55,14.3,14.51,7873,0
BRBI.US,D,20251031,000000,14.46,14.55,14.085,14.54,13088,0
BRBI.US,D,20251103,000000,14.53,14.66,14.43,14.525,8678,0
BRBI.US,D,20251104,000000,14.09,14.21,13.84,14.01,13636,0
BRBI.US,D,20251105,000000,14.23,14.31,13.91,14.18,15946,0
