<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRR.US,D,20250610,000000,10.14,10.18,10.13,10.1499,183124,0
BRR.US,D,20250611,000000,10.1732,10.4999,10.14,10.23,141561,0
BRR.US,D,20250612,000000,10.365,10.88,10.3,10.5,195467,0
BRR.US,D,20250613,000000,11.64,13.4,11.5685,13.01,2164834,0
BRR.US,D,20250616,000000,13.86,14.09,12.52,13.18,910844,0
BRR.US,D,20250617,000000,13.55,14.71,13.2,14.12,493903,0
BRR.US,D,20250618,000000,13.98,14.63,13.4,14.56,422797,0
BRR.US,D,20250620,000000,15.3,16.25,14,15.76,583428,0
BRR.US,D,20250623,000000,12.69,12.69,11.18,11.99,5007646,0
BRR.US,D,20250624,000000,12.34,12.34,11.31,11.4,3173028,0
BRR.US,D,20250625,000000,11.05,11.4,10.71,10.82,4002608,0
BRR.US,D,20250626,000000,10.95,11,10.6,10.71,1370209,0
BRR.US,D,20250627,000000,10.66,10.78,10.61,10.73,653237,0
BRR.US,D,20250630,000000,10.66,10.74,10.59,10.62,534480,0
BRR.US,D,20250701,000000,10.64,10.68,10.505,10.52,755979,0
BRR.US,D,20250702,000000,10.53,10.6,10.44,10.52,503433,0
BRR.US,D,20250703,000000,10.58,10.65,10.5,10.54,447216,0
BRR.US,D,20250707,000000,10.6,10.65,10.53,10.55,371699,0
BRR.US,D,20250708,000000,10.49,10.8352,10.45,10.74,1635755,0
BRR.US,D,20250709,000000,10.82,10.87,10.555,10.705,623873,0
BRR.US,D,20250710,000000,10.63,10.76,10.63,10.74,382793,0
BRR.US,D,20250711,000000,10.76,10.78,10.56,10.68,512060,0
BRR.US,D,20250714,000000,10.765,10.8,10.58,10.65,499521,0
BRR.US,D,20250715,000000,10.66,10.75,10.65,10.73,276916,0
BRR.US,D,20250716,000000,10.74,10.74,10.55,10.61,501250,0
BRR.US,D,20250717,000000,10.69,10.69,10.48,10.5,419789,0
BRR.US,D,20250718,000000,10.5,10.5405,10.31,10.36,474186,0
BRR.US,D,20250721,000000,10.41,10.41,10.25,10.335,445585,0
BRR.US,D,20250722,000000,10.3,10.64,10.26,10.49,1644408,0
