<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHAC.US,D,20250520,000000,9.905,9.92,9.895,9.91,230965,0
CHAC.US,D,20250521,000000,9.91,9.91,9.9,9.9,912827,0
CHAC.US,D,20250522,000000,9.905,9.915,9.9,9.915,878595,0
CHAC.US,D,20250523,000000,9.91,9.91,9.9,9.905,40116,0
CHAC.US,D,20250527,000000,9.91,9.91,9.9035,9.9035,444,0
CHAC.US,D,20250528,000000,9.9,9.915,9.9,9.91,45241,0
CHAC.US,D,20250529,000000,9.92,9.92,9.9,9.91,202671,0
CHAC.US,D,20250530,000000,9.915,9.92,9.9,9.91,20124,0
CHAC.US,D,20250602,000000,9.92,9.97,9.92,9.94,135882,0
CHAC.US,D,20250603,000000,9.94,9.94,9.935,9.935,1218,0
CHAC.US,D,20250604,000000,9.94,9.975,9.9392,9.975,299412,0
CHAC.US,D,20250605,000000,9.96,9.98,9.95,9.96,189668,0
CHAC.US,D,20250606,000000,9.96,9.98,9.96,9.98,163167,0
CHAC.US,D,20250609,000000,9.9623,9.98,9.9623,9.975,11893,0
CHAC.US,D,20250610,000000,9.9795,9.98,9.97,9.97,16296,0
CHAC.US,D,20250611,000000,9.978,10,9.978,10,196908,0
CHAC.US,D,20250612,000000,10.0014,10.01,10.0014,10.01,1879,0
CHAC.US,D,20250613,000000,10.01,10.01,10.01,10.01,639,0
CHAC.US,D,20250616,000000,10.01,10.02,10.01,10.02,181401,0
CHAC.US,D,20250617,000000,10.02,10.02,10.02,10.02,164,0
CHAC.US,D,20250620,000000,10.04,10.09,10.035,10.05,200949,0
CHAC.US,D,20250623,000000,10.1,10.145,10.07,10.075,381964,0
CHAC.US,D,20250624,000000,10.08,10.14,10.075,10.095,160212,0
CHAC.US,D,20250625,000000,10.095,10.095,10.06,10.065,66759,0
CHAC.US,D,20250626,000000,10.09,10.09,10.06,10.06,16907,0
CHAC.US,D,20250627,000000,10.06,10.07,10.06,10.07,526,0
