<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHPGR.US,D,20250623,000000,0.17,0.222,0.17,0.18,4455,0
CHPGR.US,D,20250624,000000,0.15,0.2,0.15,0.16,851121,0
CHPGR.US,D,20250625,000000,0.16,0.16,0.15,0.15,107646,0
CHPGR.US,D,20250626,000000,0.22,0.22,0.16,0.16,93071,0
CHPGR.US,D,20250627,000000,0.16,0.16,0.16,0.16,96935,0
CHPGR.US,D,20250630,000000,0.136,0.136,0.1,0.1,26362,0
CHPGR.US,D,20250701,000000,0.12,0.1701,0.1,0.13,40023,0
CHPGR.US,D,20250702,000000,0.13,0.13,0.13,0.13,196,0
CHPGR.US,D,20250703,000000,0.1241,0.1241,0.1241,0.1241,125,0
CHPGR.US,D,20250708,000000,0.144,0.176,0.144,0.16,4631,0
CHPGR.US,D,20250710,000000,0.16,0.16,0.16,0.16,193,0
CHPGR.US,D,20250711,000000,0.1695,0.1695,0.1695,0.1695,311,0
CHPGR.US,D,20250714,000000,0.1505,0.17,0.1505,0.17,751,0
CHPGR.US,D,20250715,000000,0.17,0.17,0.13,0.15,2701,0
CHPGR.US,D,20250717,000000,0.169899,0.169899,0.169899,0.169899,275,0
CHPGR.US,D,20250718,000000,0.15,0.16,0.1304,0.16,2078,0
CHPGR.US,D,20250721,000000,0.138,0.1643,0.1301,0.1643,2768,0
CHPGR.US,D,20250722,000000,0.1443,0.17,0.1443,0.16,101099,0
CHPGR.US,D,20250723,000000,0.17999,0.17999,0.17999,0.17999,634,0
CHPGR.US,D,20250724,000000,0.18,0.18,0.17,0.17,2088,0
CHPGR.US,D,20250725,000000,0.1315,0.17,0.1315,0.1506,2767,0
CHPGR.US,D,20250728,000000,0.16,0.16,0.132,0.1347,548,0
CHPGR.US,D,20250729,000000,0.1498,0.149999,0.13,0.14,11267,0
CHPGR.US,D,20250730,000000,0.15,0.15,0.14,0.14,498,0
CHPGR.US,D,20250801,000000,0.15,0.15,0.13,0.15,687,0
CHPGR.US,D,20250805,000000,0.14,0.14,0.14,0.14,10000,0
CHPGR.US,D,20250806,000000,0.14,0.14,0.14,0.14,23848,0
CHPGR.US,D,20250807,000000,0.14,0.14,0.14,0.14,249,0
CHPGR.US,D,20250808,000000,0.1581,0.1582,0.14,0.14,569,0
CHPGR.US,D,20250811,000000,0.145,0.145,0.14,0.14,512,0
CHPGR.US,D,20250812,000000,0.14,0.14,0.14,0.14,1434,0
CHPGR.US,D,20250820,000000,0.1549,0.16,0.1549,0.16,500,0
CHPGR.US,D,20250826,000000,0.130101,0.130101,0.130101,0.130101,455,0
CHPGR.US,D,20250902,000000,0.154,0.154,0.154,0.154,388,0
CHPGR.US,D,20250908,000000,0.14,0.14,0.14,0.14,390,0
CHPGR.US,D,20250909,000000,0.14,0.14,0.14,0.14,131,0
CHPGR.US,D,20250915,000000,0.15,0.15,0.15,0.15,389,0
CHPGR.US,D,20250916,000000,0.14,0.14,0.14,0.14,258,0
CHPGR.US,D,20250922,000000,0.15,0.15,0.1499,0.1499,450,0
CHPGR.US,D,20250923,000000,0.15,0.195,0.15,0.195,1200,0
CHPGR.US,D,20250924,000000,0.15,0.15,0.15,0.15,767,0
CHPGR.US,D,20250925,000000,0.15,0.151,0.15,0.151,1000,0
CHPGR.US,D,20250929,000000,0.14,0.14,0.14,0.14,4214,0
CHPGR.US,D,20251007,000000,0.1327,0.1999,0.1327,0.19,2360,0
CHPGR.US,D,20251009,000000,0.15,0.15,0.15,0.15,407,0
CHPGR.US,D,20251014,000000,0.186,0.19,0.17,0.18,17500,0
CHPGR.US,D,20251016,000000,0.18,0.18,0.18,0.18,1001,0
CHPGR.US,D,20251021,000000,0.2,0.2,0.2,0.2,1099,0
CHPGR.US,D,20251022,000000,0.18,0.18,0.18,0.18,126772,0
CHPGR.US,D,20251023,000000,0.19,0.19,0.17,0.17,25124,0
CHPGR.US,D,20251027,000000,0.1525,0.1525,0.1525,0.1525,1000,0
CHPGR.US,D,20251104,000000,0.15,0.155,0.15,0.155,200,0
