<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
COTG.US,D,20250918,000000,14.92,14.9251,14.699,14.7472,10053,0
COTG.US,D,20250919,000000,14.69,14.9392,14.37,14.6813,17346,0
COTG.US,D,20250922,000000,14.82,14.82,14.3,14.4563,64412,0
COTG.US,D,20250923,000000,14.37,14.449,14.1,14.405,154216,0
COTG.US,D,20250924,000000,14.42,14.68,14.36,14.4203,197237,0
COTG.US,D,20250925,000000,14.69,14.69,14.13,14.45,416909,0
COTG.US,D,20250926,000000,13.77,13.8603,13.18,13.5022,323709,0
COTG.US,D,20250929,000000,13.55,13.56,13.13,13.5294,313036,0
COTG.US,D,20250930,000000,13.48,13.93,13.4301,13.9,131212,0
COTG.US,D,20251001,000000,13.73,13.73,13.35,13.5405,197984,0
COTG.US,D,20251002,000000,13.64,13.64,13.31,13.5136,177860,0
COTG.US,D,20251003,000000,13.71,13.71,13.33,13.4852,91438,0
COTG.US,D,20251006,000000,13.47,13.47,13.13,13.3337,131964,0
COTG.US,D,20251007,000000,13.27,13.5399,13.13,13.4277,181619,0
COTG.US,D,20251008,000000,13.42,13.46,13.33,13.43,125232,0
COTG.US,D,20251009,000000,13.95,14.269,13.872103,14.24,248624,0
COTG.US,D,20251010,000000,14.27,14.39,13.81,13.85,212599,0
COTG.US,D,20251013,000000,13.86,13.9953,13.66,13.95,54142,0
COTG.US,D,20251014,000000,14.03,14.34,14.03,14.29,148546,0
COTG.US,D,20251015,000000,14.28,14.83,14.28,14.56,187243,0
COTG.US,D,20251016,000000,14.6137,14.6137,13.54,13.6513,165230,0
COTG.US,D,20251017,000000,13.73,14.01,13.73,13.9697,67415,0
COTG.US,D,20251020,000000,13.95,14.03,13.81,13.9527,70887,0
COTG.US,D,20251021,000000,13.96,14.17,13.9404,13.9997,37667,0
COTG.US,D,20251022,000000,13.94,14.43,13.8507,14.1809,77543,0
COTG.US,D,20251023,000000,14.1507,14.18,13.9,14.12,42690,0
COTG.US,D,20251024,000000,14.01,14.11,13.75,13.815,75037,0
COTG.US,D,20251027,000000,13.77,13.78,13.6,13.7462,58223,0
COTG.US,D,20251028,000000,13.69,13.76,13.47,13.575,66078,0
COTG.US,D,20251029,000000,13.4,13.43,13.1338,13.2009,126692,0
COTG.US,D,20251030,000000,13.26,13.505,13.18,13.4436,101022,0
COTG.US,D,20251031,000000,13.3,13.44,13.15,13.2145,235158,0
COTG.US,D,20251103,000000,13.25,13.7194,13.13,13.6836,55959,0
COTG.US,D,20251104,000000,13.78,14.06,13.72,14.054,88545,0
COTG.US,D,20251105,000000,13.97,14.17,13.68,13.965,110272,0
