<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRAQU.US,D,20250523,000000,10.02,10.03,10.01,10.01,10741257,0
CRAQU.US,D,20250527,000000,10,10.03,10,10.03,1910953,0
CRAQU.US,D,20250528,000000,10.01,10.03,10.01,10.01,614054,0
CRAQU.US,D,20250529,000000,10.01,10.03,10.01,10.025,147231,0
CRAQU.US,D,20250530,000000,10.02,10.03,10.02,10.03,180203,0
CRAQU.US,D,20250602,000000,10.01,10.05,10.01,10.05,65124,0
CRAQU.US,D,20250603,000000,10.055,10.06,10.05,10.055,421802,0
CRAQU.US,D,20250604,000000,10.051,10.06,10.05,10.05,223928,0
CRAQU.US,D,20250605,000000,10.065,10.07,10.06,10.07,73634,0
CRAQU.US,D,20250606,000000,10.069,10.07,10.065,10.07,72197,0
CRAQU.US,D,20250609,000000,10.07,10.07,10.07,10.07,1780,0
CRAQU.US,D,20250610,000000,10.07,10.07,10.06,10.06,2051,0
CRAQU.US,D,20250611,000000,10.06,10.07,10.06,10.06,12027,0
CRAQU.US,D,20250612,000000,10.0646,10.07,10.0646,10.07,7266,0
CRAQU.US,D,20250613,000000,10.0626,10.08,10.0626,10.075,99159,0
CRAQU.US,D,20250616,000000,10.08,10.08,10.07,10.07,817,0
CRAQU.US,D,20250617,000000,10.08,10.11,10.08,10.1,426456,0
CRAQU.US,D,20250618,000000,10.105,10.11,10.1,10.105,34294,0
CRAQU.US,D,20250620,000000,10.1,10.12,10.1,10.12,60676,0
CRAQU.US,D,20250623,000000,10.125,10.2,10.11,10.2,89006,0
CRAQU.US,D,20250624,000000,10.2,10.25,10.16,10.22,133225,0
CRAQU.US,D,20250625,000000,10.25,10.26,10.21,10.22,181828,0
CRAQU.US,D,20250626,000000,10.25,10.25,10.25,10.25,1038,0
CRAQU.US,D,20250627,000000,10.25,10.26,10.24,10.255,31776,0
CRAQU.US,D,20250630,000000,10.26,10.26,10.25,10.26,7761,0
CRAQU.US,D,20250701,000000,10.24,10.26,10.24,10.24,6708,0
CRAQU.US,D,20250702,000000,10.22,10.22,10.22,10.22,497,0
CRAQU.US,D,20250707,000000,10.24,10.24,10.21,10.21,392,0
CRAQU.US,D,20250708,000000,10.21,10.23,10.21,10.23,1239,0
CRAQU.US,D,20250709,000000,10.18,10.23,10.18,10.23,371,0
CRAQU.US,D,20250710,000000,10.24,10.24,10.24,10.24,197,0
CRAQU.US,D,20250714,000000,10.16,10.24,10.16,10.24,1142,0
CRAQU.US,D,20250715,000000,10.24,10.24,10.24,10.24,134,0
CRAQU.US,D,20250716,000000,10.24,10.24,10.24,10.24,240,0
CRAQU.US,D,20250718,000000,10.24,10.24,10.24,10.24,102,0
CRAQU.US,D,20250721,000000,10.24,10.24,10.24,10.24,117,0
CRAQU.US,D,20250729,000000,10.25,10.26,10.25,10.25,2110,0
CRAQU.US,D,20250804,000000,10.2,10.2,10.2,10.2,281,0
CRAQU.US,D,20250815,000000,10.2265,10.2265,10.2265,10.2265,1116,0
CRAQU.US,D,20250818,000000,10.22,10.22,10.22,10.22,105030,0
CRAQU.US,D,20250819,000000,10.25,10.25,10.1621,10.1621,3608,0
CRAQU.US,D,20250820,000000,10.18,10.18,10.18,10.18,100050,0
CRAQU.US,D,20250825,000000,10.3,10.3,10.3,10.3,812,0
CRAQU.US,D,20250828,000000,10.3,10.3,10.3,10.3,500,0
CRAQU.US,D,20250829,000000,10.3,10.3,10.3,10.3,713,0
CRAQU.US,D,20250904,000000,10.27,10.3,10.21,10.21,3600,0
CRAQU.US,D,20250905,000000,10.21,10.21,10.21,10.21,200,0
CRAQU.US,D,20250910,000000,10.3,10.3,10.2,10.2,3190,0
CRAQU.US,D,20250911,000000,10.2,10.2,10.2,10.2,265,0
CRAQU.US,D,20250912,000000,10.2,10.2,10.2,10.2,149,0
CRAQU.US,D,20250915,000000,10.2,10.2,10.2,10.2,219,0
CRAQU.US,D,20250916,000000,10.2,10.2,10.2,10.2,115,0
CRAQU.US,D,20250917,000000,10.2,10.2,10.2,10.2,415,0
CRAQU.US,D,20250918,000000,10.17,10.17,10.17,10.17,114,0
CRAQU.US,D,20250919,000000,10.17,10.17,10.17,10.17,106,0
CRAQU.US,D,20250922,000000,10.17,10.17,10.17,10.17,112,0
CRAQU.US,D,20250923,000000,10.17,10.17,10.17,10.17,110,0
CRAQU.US,D,20250924,000000,10.17,10.17,10.17,10.17,111,0
CRAQU.US,D,20250925,000000,10.18,10.18,10.17,10.17,1113,0
CRAQU.US,D,20250926,000000,10.18,10.18,10.18,10.18,149,0
CRAQU.US,D,20250929,000000,10.18,10.18,10.18,10.18,107,0
CRAQU.US,D,20250930,000000,10.17,10.17,10.17,10.17,105,0
CRAQU.US,D,20251002,000000,10.17,10.17,10.17,10.17,109,0
CRAQU.US,D,20251003,000000,10.17,10.17,10.17,10.17,104,0
CRAQU.US,D,20251006,000000,10.25,10.25,10.21,10.25,2897,0
CRAQU.US,D,20251009,000000,10.2,10.2,10.2,10.2,359,0
CRAQU.US,D,20251016,000000,10.3,10.3182,10.3,10.3,10434,0
CRAQU.US,D,20251022,000000,10.3,10.3,10.3,10.3,29506,0
CRAQU.US,D,20251024,000000,10.29,10.29,10.29,10.29,653,0
CRAQU.US,D,20251029,000000,10.35,10.35,10.35,10.35,561,0
CRAQU.US,D,20251031,000000,10.33,10.33,10.33,10.33,300,0
CRAQU.US,D,20251105,000000,10.4,10.4,10.4,10.4,500,0
