<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CTW.US,D,20250806,000000,4.75,4.88,4.08,4.44,1758143,0
CTW.US,D,20250807,000000,3.85,3.9799,3.11,3.54,707896,0
CTW.US,D,20250808,000000,3.56,3.6,2.69,2.72,696685,0
CTW.US,D,20250811,000000,2.425,2.5,1.83,1.87,855254,0
CTW.US,D,20250812,000000,1.89,2.35,1.71,2.01,1119525,0
CTW.US,D,20250813,000000,2,2.52,1.97,2.39,451987,0
CTW.US,D,20250814,000000,2.3,2.45,2,2.12,157513,0
CTW.US,D,20250815,000000,2.11,2.1107,2.01,2.07,98245,0
CTW.US,D,20250818,000000,2.07,2.3899,1.94,2.09,183476,0
CTW.US,D,20250819,000000,2.0895,2.15,2.0051,2.07,72687,0
CTW.US,D,20250820,000000,2.12,2.12,2,2.07,55031,0
CTW.US,D,20250821,000000,2.08,2.1,1.9552,2.03,143718,0
CTW.US,D,20250822,000000,2.0003,2.04,1.9,2.01,64534,0
CTW.US,D,20250825,000000,2.01,2.19,1.99,2.17,121227,0
CTW.US,D,20250826,000000,2.18,2.26,2.1,2.2,54577,0
CTW.US,D,20250827,000000,2.29,2.29,2.1677,2.22,27263,0
CTW.US,D,20250828,000000,2.1762,2.22,2.12,2.16,30043,0
CTW.US,D,20250829,000000,2.16,2.2001,2.01,2.07,40796,0
CTW.US,D,20250902,000000,2.23,2.23,2.01,2.12,46827,0
CTW.US,D,20250903,000000,2.1183,2.18,2.0298,2.07,54521,0
CTW.US,D,20250904,000000,2.03,2.1499,1.9005,1.93,51645,0
CTW.US,D,20250905,000000,1.94,2.06,1.92,1.96,11961,0
CTW.US,D,20250908,000000,1.98,1.98,1.94,1.96,22154,0
CTW.US,D,20250909,000000,1.93,2,1.92,1.96,38684,0
CTW.US,D,20250910,000000,1.92,2.23,1.92,2.01,102421,0
CTW.US,D,20250911,000000,2.03,2.11,1.9,1.92,96192,0
CTW.US,D,20250912,000000,1.95,2,1.802,1.9175,67276,0
CTW.US,D,20250915,000000,1.95,1.95,1.9,1.9,33206,0
CTW.US,D,20250916,000000,1.88,1.9499,1.8506,1.92,22274,0
CTW.US,D,20250917,000000,1.9,1.92,1.87,1.9,13390,0
CTW.US,D,20250918,000000,1.9,1.9,1.85,1.87,69620,0
CTW.US,D,20250919,000000,1.88,1.89,1.818,1.84,57353,0
CTW.US,D,20250922,000000,1.85,1.9,1.85,1.8769,2661227,0
CTW.US,D,20250923,000000,2.09,2.68,2.045,2.52,2437555,0
CTW.US,D,20250924,000000,2.21,2.24,1.97,2.03,272451,0
CTW.US,D,20250925,000000,2.02,2.075,1.98,1.98,299614,0
CTW.US,D,20250926,000000,1.98,2.13,1.93,2.1,156791,0
CTW.US,D,20250929,000000,2.05,2.1099,2.03,2.05,42240,0
CTW.US,D,20250930,000000,2.01,2.1956,2.01,2.11,53672,0
CTW.US,D,20251001,000000,2.15,2.2,2.11,2.19,27186,0
CTW.US,D,20251002,000000,2.19,2.4798,2.19,2.32,198891,0
CTW.US,D,20251003,000000,2.31,2.5488,2.31,2.41,89972,0
CTW.US,D,20251006,000000,2.41,2.55,2.4,2.44,47645,0
CTW.US,D,20251007,000000,2.45,2.53,2.44,2.46,58489,0
CTW.US,D,20251008,000000,2.47,2.49,2.4,2.42,63066,0
CTW.US,D,20251009,000000,2.42,2.45,2.34,2.38,54507,0
CTW.US,D,20251010,000000,2.37,2.37,2.25,2.25,39512,0
CTW.US,D,20251013,000000,2.32,2.36,2.22,2.25,51940,0
CTW.US,D,20251014,000000,2.22,2.35,2.2,2.28,21956,0
CTW.US,D,20251015,000000,2.3037,2.34,2.3037,2.33,137557,0
CTW.US,D,20251016,000000,2.33,2.49,2.33,2.4,60941,0
CTW.US,D,20251017,000000,2.37,2.39,2.28,2.32,17268,0
CTW.US,D,20251020,000000,2.32,2.4,2.3,2.33,23433,0
CTW.US,D,20251021,000000,2.3,2.43,2.15,2.26,58557,0
CTW.US,D,20251022,000000,2.25,2.2599,2.15,2.19,21983,0
CTW.US,D,20251023,000000,2.19,2.42,2.19,2.39,50861,0
CTW.US,D,20251024,000000,2.38,2.53,2.31,2.5,63934,0
CTW.US,D,20251027,000000,2.5,2.51,2.4106,2.43,14303,0
CTW.US,D,20251028,000000,2.45,2.54,2.29,2.49,38917,0
CTW.US,D,20251029,000000,2.4502,2.48,2.3,2.37,31312,0
CTW.US,D,20251030,000000,2.32,2.49,1.9,2.05,34473,0
CTW.US,D,20251031,000000,2.05,2.3584,2.05,2.1,34856,0
CTW.US,D,20251103,000000,2.04,2.2,2.04,2.15,36099,0
CTW.US,D,20251104,000000,2.29,2.4,2.22,2.22,104923,0
CTW.US,D,20251105,000000,2.34,2.4475,2.33,2.4,52068,0
