<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EASY.US,D,20251001,000000,25.579,25.62,25.579,25.61,328,0
EASY.US,D,20251002,000000,25.56,25.56,25.4958,25.4958,4822,0
EASY.US,D,20251008,000000,25.86,25.87,25.83,25.8646,5457,0
EASY.US,D,20251009,000000,25.81,25.81,25.7177,25.7177,443,0
EASY.US,D,20251010,000000,25.77,25.77,25.69,25.69,204,0
EASY.US,D,20251013,000000,25.57,25.64,25.57,25.64,145,0
EASY.US,D,20251014,000000,25.72,25.85,25.72,25.85,2290,0
EASY.US,D,20251016,000000,25.733,25.75,25.5604,25.5604,5181,0
EASY.US,D,20251017,000000,25.93,25.93,25.63,25.7235,26054,0
EASY.US,D,20251020,000000,25.72,25.8341,25.72,25.829,9071,0
EASY.US,D,20251021,000000,25.83,25.83,25.73,25.743,48756,0
EASY.US,D,20251022,000000,25.84,25.85,25.8157,25.8157,33835,0
EASY.US,D,20251023,000000,25.84,25.88,25.82,25.8529,36245,0
EASY.US,D,20251024,000000,25.91,25.91,25.83,25.8664,45507,0
EASY.US,D,20251027,000000,25.83,25.9563,25.83,25.9563,7133,0
EASY.US,D,20251028,000000,25.8659,25.89,25.6971,25.6971,94718,0
EASY.US,D,20251029,000000,25.46,25.46,25.2597,25.2597,9362,0
EASY.US,D,20251030,000000,25.41,25.46,25.41,25.4193,10145,0
EASY.US,D,20251031,000000,25.23,25.281,25.23,25.281,31397,0
EASY.US,D,20251103,000000,25.07,25.135,25.0699,25.12,10454,0
EASY.US,D,20251104,000000,25.24,25.2517,25.24,25.2517,121980,0
EASY.US,D,20251105,000000,25.28,25.3759,25.28,25.34,2801,0
