<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURKR.US,D,20250903,000000,0.244,0.244,0.244,0.244,341,0
EURKR.US,D,20250912,000000,0.25,0.25,0.25,0.25,2500,0
EURKR.US,D,20250918,000000,0.2261,0.2261,0.2102,0.2102,6940,0
EURKR.US,D,20250919,000000,0.1845,0.1845,0.1845,0.1845,333,0
EURKR.US,D,20250922,000000,0.2025,0.23095,0.2001,0.224,26501,0
EURKR.US,D,20250924,000000,0.27,0.3,0.25,0.25,27443,0
EURKR.US,D,20250925,000000,0.298,0.31,0.28,0.29,7388,0
EURKR.US,D,20250926,000000,0.3,0.3,0.3,0.3,132,0
EURKR.US,D,20250930,000000,0.3086,0.36,0.24,0.24,4180,0
EURKR.US,D,20251002,000000,0.24,0.24,0.22505,0.22505,6653,0
EURKR.US,D,20251007,000000,0.24,0.24,0.1601,0.2302,1094,0
EURKR.US,D,20251021,000000,0.2141,0.2141,0.2141,0.2141,1702,0
EURKR.US,D,20251022,000000,0.3,0.3,0.2798,0.3,24561,0
EURKR.US,D,20251023,000000,0.28,0.28,0.28,0.28,422,0
EURKR.US,D,20251028,000000,0.23,0.23,0.23,0.23,289,0
EURKR.US,D,20251031,000000,0.2611,0.2611,0.23,0.23,500,0
EURKR.US,D,20251103,000000,0.34,0.5,0.3245,0.5,1269682,0
EURKR.US,D,20251104,000000,0.49,0.51,0.3601,0.42,198678,0
EURKR.US,D,20251105,000000,0.435,0.435,0.4038,0.4038,3391,0
