<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GDFN.US,D,20250925,000000,25.455,25.455,25.39,25.455,742,0
GDFN.US,D,20250929,000000,26.25,26.27,26.2089,26.2089,1212,0
GDFN.US,D,20250930,000000,26.92,26.92,26.43,26.6687,3498,0
GDFN.US,D,20251001,000000,26.275,26.3488,26.275,26.2917,5428,0
GDFN.US,D,20251002,000000,26.82,26.82,26.7099,26.755,801,0
GDFN.US,D,20251003,000000,27.05,27.11,26.92,26.92,5357,0
GDFN.US,D,20251006,000000,26.81,26.81,26.5575,26.5702,2636,0
GDFN.US,D,20251007,000000,26.3,26.3,26.1915,26.195,737,0
GDFN.US,D,20251010,000000,25.75,25.75,25.495,25.495,2227,0
GDFN.US,D,20251014,000000,25.08,25.49,24.9585,25.385,724,0
GDFN.US,D,20251017,000000,23.95,23.95,23.9,23.9,201,0
GDFN.US,D,20251020,000000,24.62,24.65,24.5764,24.5764,2304,0
GDFN.US,D,20251023,000000,24.94,24.94,24.8398,24.8398,1667,0
GDFN.US,D,20251027,000000,24.894,24.99,24.894,24.99,202,0
GDFN.US,D,20251029,000000,24.7772,24.7772,24.5947,24.5947,298,0
GDFN.US,D,20251031,000000,24.311,24.3784,24.311,24.3206,711,0
GDFN.US,D,20251103,000000,24.46,24.5072,24.43,24.5072,2437,0
GDFN.US,D,20251105,000000,23.6601,23.6601,23.6601,23.6601,212,0
