<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GTERU.US,D,20250709,000000,10.04,11.04,10.03,10.04,10101583,0
GTERU.US,D,20250710,000000,10.05,10.08,10.05,10.07,1054982,0
GTERU.US,D,20250711,000000,10.07,10.08,10.06,10.07,493326,0
GTERU.US,D,20250714,000000,10.07,10.09,10.07,10.075,141668,0
GTERU.US,D,20250715,000000,10.07,10.09,10.07,10.085,394631,0
GTERU.US,D,20250716,000000,10.1,10.1,10.07,10.08,352460,0
GTERU.US,D,20250717,000000,10.0812,10.09,10.07,10.0701,194707,0
GTERU.US,D,20250718,000000,10.0705,10.08,10.07,10.07,105617,0
GTERU.US,D,20250721,000000,10.0801,10.09,10.07,10.075,130656,0
GTERU.US,D,20250722,000000,10.075,10.09,10.07,10.09,98299,0
GTERU.US,D,20250723,000000,10.09,10.12,10.0801,10.115,732887,0
GTERU.US,D,20250724,000000,10.12,10.2,10.12,10.18,914560,0
GTERU.US,D,20250725,000000,10.18,10.21,10.18,10.2,164034,0
GTERU.US,D,20250728,000000,10.19,10.22,10.19,10.22,79931,0
GTERU.US,D,20250729,000000,10.24,10.2407,10.19,10.2,192113,0
GTERU.US,D,20250730,000000,10.21,10.21,10.1781,10.19,45303,0
GTERU.US,D,20250731,000000,10.17,10.18,10.155,10.16,39694,0
GTERU.US,D,20250801,000000,10.16,10.18,10.15,10.17,186847,0
GTERU.US,D,20250804,000000,10.1602,10.2,10.1535,10.2,59959,0
GTERU.US,D,20250805,000000,10.162,10.19,10.16,10.19,1666,0
GTERU.US,D,20250806,000000,10.17,10.2,10.17,10.19,713,0
GTERU.US,D,20250807,000000,10.1622,10.17,10.15,10.17,8603,0
GTERU.US,D,20250808,000000,10.16,10.18,10.16,10.18,7610,0
GTERU.US,D,20250811,000000,10.15,10.18,10.15,10.18,5561,0
GTERU.US,D,20250812,000000,10.17,10.19,10.1647,10.18,26409,0
GTERU.US,D,20250813,000000,10.15,10.19,10.15,10.165,18943,0
GTERU.US,D,20250814,000000,10.15,10.18,10.15,10.16,27845,0
GTERU.US,D,20250815,000000,10.16,10.19,10.15,10.18,17892,0
GTERU.US,D,20250818,000000,10.18,10.18,10.15,10.17,18385,0
GTERU.US,D,20250819,000000,10.16,10.17,10.15,10.17,8408,0
GTERU.US,D,20250820,000000,10.17,10.19,10.11,10.15,5377,0
GTERU.US,D,20250821,000000,10.18,10.18,10.16,10.17,105469,0
GTERU.US,D,20250822,000000,10.1523,10.1782,10.1523,10.1607,15093,0
GTERU.US,D,20250825,000000,10.1641,10.18,10.1641,10.18,3307,0
GTERU.US,D,20250826,000000,10.15,10.18,10.15,10.17,8890,0
GTERU.US,D,20250827,000000,10.19,10.19,10.1558,10.18,1516,0
GTERU.US,D,20250828,000000,10.16,10.18,10.16,10.17,14881,0
GTERU.US,D,20250829,000000,10.18,10.19,10.18,10.19,25133,0
GTERU.US,D,20250902,000000,10.16,10.16,10.12,10.15,24696,0
GTERU.US,D,20250903,000000,10.1714,10.18,10.15,10.176,20843,0
GTERU.US,D,20250904,000000,10.16,10.19,10.15,10.15,13582,0
GTERU.US,D,20250905,000000,10.15,10.17,10.13,10.16,48292,0
GTERU.US,D,20250908,000000,10.16,10.19,10.16,10.1649,9558,0
GTERU.US,D,20250909,000000,10.16,10.19,10.16,10.19,3509,0
GTERU.US,D,20250910,000000,10.19,10.19,10.17,10.17,671,0
GTERU.US,D,20250911,000000,10.16,10.17,10.15,10.17,7957,0
GTERU.US,D,20250912,000000,10.158,10.18,10.158,10.16,14029,0
GTERU.US,D,20250915,000000,10.1629,10.17,10.16,10.16,4451,0
GTERU.US,D,20250916,000000,10.18,10.19,10.17,10.19,130024,0
GTERU.US,D,20250917,000000,10.2058,10.23,10.19,10.21,3846,0
GTERU.US,D,20250919,000000,10.17,10.17,10.17,10.17,305,0
GTERU.US,D,20250922,000000,10.1799,10.24,10.16,10.24,3583,0
GTERU.US,D,20250923,000000,10.16,10.2,10.14,10.17,29014,0
GTERU.US,D,20250924,000000,10.21,10.21,10.21,10.21,166,0
GTERU.US,D,20250925,000000,10.24,10.24,10.19,10.19,5775,0
GTERU.US,D,20250926,000000,10.2143,10.22,10.1601,10.21,44677,0
GTERU.US,D,20250929,000000,10.1688,10.17,10.1688,10.17,243,0
GTERU.US,D,20250930,000000,10.17,10.18,10.17,10.17,8869,0
GTERU.US,D,20251001,000000,10.16,10.2214,10.16,10.2214,9470,0
GTERU.US,D,20251002,000000,10.23,10.243,10.23,10.2301,16929,0
GTERU.US,D,20251003,000000,10.22,10.2361,10.22,10.22,2172,0
GTERU.US,D,20251006,000000,10.24,10.25,10.24,10.24,2517,0
GTERU.US,D,20251007,000000,10.23,10.575,10.22,10.3035,9637,0
GTERU.US,D,20251008,000000,10.73,10.9,10.23,10.3,10053,0
GTERU.US,D,20251009,000000,10.25,10.31,10.22,10.29,18912,0
GTERU.US,D,20251010,000000,10.29,10.47,10.255,10.27,3581,0
GTERU.US,D,20251013,000000,10.27,10.32,10.27,10.2801,2589,0
GTERU.US,D,20251014,000000,10.27,10.27,10.27,10.27,143,0
GTERU.US,D,20251015,000000,10.3,10.3001,10.3,10.3,5500,0
GTERU.US,D,20251016,000000,10.32,10.32,10.265,10.3,25824,0
GTERU.US,D,20251017,000000,10.29,10.29,10.29,10.29,301,0
GTERU.US,D,20251020,000000,10.28,10.28,10.28,10.28,902,0
GTERU.US,D,20251021,000000,10.3085,10.3085,10.3,10.3,500,0
GTERU.US,D,20251022,000000,10.3001,10.3825,10.3001,10.3825,302,0
GTERU.US,D,20251023,000000,10.3,10.3,10.3,10.3,102,0
GTERU.US,D,20251027,000000,10.3001,10.33,10.3,10.3001,3300,0
GTERU.US,D,20251028,000000,10.3001,10.3001,10.3,10.3,895,0
GTERU.US,D,20251031,000000,10.4,10.41,10.28,10.28,2017,0
GTERU.US,D,20251104,000000,10.29,10.4,10.27,10.4,3104,0
GTERU.US,D,20251105,000000,10.3,10.3,10.27,10.28,403,0
