<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HCHL.US,D,20250624,000000,6.75,7.25,4.5,5,2899029,0
HCHL.US,D,20250625,000000,5.22,5.85,5.05,5.38,495688,0
HCHL.US,D,20250626,000000,5.2,5.38,4.79,5.2,486246,0
HCHL.US,D,20250627,000000,5.25,5.41,5.02,5.09,234703,0
HCHL.US,D,20250630,000000,5.36,5.4,4.68,5.13,575117,0
HCHL.US,D,20250701,000000,5.14,5.7,4.97,5.598,668480,0
HCHL.US,D,20250702,000000,5.38,5.78,5.38,5.38,284427,0
HCHL.US,D,20250703,000000,5.4201,5.66,5.3411,5.4401,263791,0
HCHL.US,D,20250707,000000,5.39,5.51,5,5.1128,167710,0
HCHL.US,D,20250708,000000,5.1127,5.2436,4.92,5.125,164792,0
HCHL.US,D,20250709,000000,5.14,5.38,4.912,5.17,107588,0
HCHL.US,D,20250710,000000,5.25,5.25,4.85,5.05,105507,0
HCHL.US,D,20250711,000000,4.93,5.06,4.55,4.8283,281077,0
HCHL.US,D,20250714,000000,5,5,4.56,4.66,270389,0
HCHL.US,D,20250715,000000,4.67,4.89,4.2,4.6,117302,0
HCHL.US,D,20250716,000000,4.46,4.81,4.08,4.31,291544,0
HCHL.US,D,20250717,000000,4.37,4.5314,4.13,4.4748,41086,0
HCHL.US,D,20250718,000000,4.34,4.78,4.34,4.68,32633,0
HCHL.US,D,20250721,000000,4.655,5.251,4.51,5.03,323962,0
HCHL.US,D,20250722,000000,5.03,5.15,4.355,4.41,405407,0
HCHL.US,D,20250723,000000,4.67,4.75,4.41,4.67,558963,0
HCHL.US,D,20250724,000000,4.69,4.76,4.45,4.5,128813,0
HCHL.US,D,20250725,000000,4.8,4.8,4,4.4,224997,0
HCHL.US,D,20250728,000000,4.3358,4.53,4.21,4.255,48714,0
HCHL.US,D,20250729,000000,4.23,4.42,4.13,4.24,327622,0
HCHL.US,D,20250730,000000,4.24,4.3999,4.12,4.29,65496,0
