<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KCHV.US,D,20250722,000000,9.99,10.01,9.99,10.01,613500,0
KCHV.US,D,20250723,000000,10.0146,10.02,10.0146,10.02,12728,0
KCHV.US,D,20250724,000000,10,10.0112,10,10.0112,365,0
KCHV.US,D,20250729,000000,10.03,10.05,10.03,10.04,51078,0
KCHV.US,D,20250730,000000,10.03,10.03,10.03,10.03,623,0
KCHV.US,D,20250731,000000,10.05,10.07,10.05,10.07,8657,0
KCHV.US,D,20250801,000000,10.1,10.1,10.03,10.03,106537,0
KCHV.US,D,20250805,000000,10.025,10.03,10.02,10.03,663,0
KCHV.US,D,20250806,000000,10.02,10.03,10.02,10.03,1900,0
KCHV.US,D,20250807,000000,10.03,10.03,10.025,10.025,18624,0
KCHV.US,D,20250808,000000,10.03,10.03,10.03,10.03,83537,0
KCHV.US,D,20250811,000000,10.02,10.03,10.02,10.02,168161,0
KCHV.US,D,20250812,000000,10.02,10.02,10.01,10.02,12330,0
KCHV.US,D,20250813,000000,10.01,10.02,10.01,10.02,54283,0
KCHV.US,D,20250814,000000,10.02,10.02,10.02,10.02,14687,0
KCHV.US,D,20250815,000000,10.015,10.02,10.015,10.02,14617,0
KCHV.US,D,20250818,000000,10.01,10.01,10.01,10.01,7443,0
KCHV.US,D,20250819,000000,10.02,10.02,10.02,10.02,132704,0
KCHV.US,D,20250820,000000,10.025,10.025,10.02,10.02,406160,0
KCHV.US,D,20250822,000000,10.02,10.02,10.02,10.02,50000,0
KCHV.US,D,20250827,000000,10.02,10.02,10.02,10.02,50627,0
KCHV.US,D,20250828,000000,10.025,10.025,10.02,10.02,21119,0
KCHV.US,D,20250829,000000,10.02,10.02,10.02,10.02,100743,0
KCHV.US,D,20250902,000000,10.02,10.02,10.02,10.02,2037,0
KCHV.US,D,20250903,000000,10.02,10.02,10.02,10.02,2774,0
KCHV.US,D,20250904,000000,10.02,10.02,10.02,10.02,3457,0
KCHV.US,D,20250905,000000,10.02,10.02,10.01,10.01,510702,0
KCHV.US,D,20250908,000000,10.03,10.03,10.02,10.03,150110,0
KCHV.US,D,20250909,000000,10.02,10.03,10.02,10.03,36201,0
KCHV.US,D,20250910,000000,10.03,10.03,10.025,10.025,30503,0
KCHV.US,D,20250911,000000,10.02,10.03,10.02,10.025,531719,0
KCHV.US,D,20250912,000000,10.03,10.03,10.02,10.02,100526,0
KCHV.US,D,20250915,000000,10.03,10.03,10.03,10.03,85653,0
KCHV.US,D,20250916,000000,10.03,10.03,10.03,10.03,656,0
KCHV.US,D,20250917,000000,10.03,10.03,10.0211,10.0211,264587,0
KCHV.US,D,20250918,000000,10.03,10.03,10.02,10.02,50710,0
KCHV.US,D,20250919,000000,10.03,10.03,10.02,10.02,6514,0
KCHV.US,D,20250922,000000,10.03,10.04,10.025,10.025,68616,0
KCHV.US,D,20250923,000000,10.02,10.03,10.02,10.03,101734,0
KCHV.US,D,20250924,000000,10.03,10.03,10.03,10.03,42974,0
KCHV.US,D,20250925,000000,10.04,10.04,10.02,10.02,100508,0
KCHV.US,D,20250926,000000,10.04,10.04,10.02,10.02,529,0
KCHV.US,D,20250929,000000,10.04,10.04,10.03,10.03,3135,0
KCHV.US,D,20250930,000000,10.04,10.04,10.0298,10.03,254503,0
KCHV.US,D,20251001,000000,10.03,10.035,10.0298,10.03,12448,0
KCHV.US,D,20251002,000000,10.03,10.07,10.03,10.04,61422,0
KCHV.US,D,20251003,000000,10.04,10.06,10.03,10.04,141161,0
KCHV.US,D,20251006,000000,10.08,10.08,10.03,10.07,13289,0
KCHV.US,D,20251007,000000,10.07,10.07,10.07,10.07,10107,0
KCHV.US,D,20251008,000000,10.06,10.06,10.06,10.06,5058,0
KCHV.US,D,20251009,000000,10.07,10.07,10.059,10.059,11051,0
KCHV.US,D,20251010,000000,10.04,10.07,10.04,10.07,27622,0
KCHV.US,D,20251013,000000,10.07,10.07,10.07,10.07,22892,0
KCHV.US,D,20251014,000000,10.07,10.08,10.07,10.0777,110929,0
KCHV.US,D,20251015,000000,10.07,10.07,10.07,10.07,6900,0
KCHV.US,D,20251016,000000,10.07,10.08,10.07,10.08,516499,0
KCHV.US,D,20251017,000000,10.11,10.14,10.105,10.14,25848,0
KCHV.US,D,20251020,000000,10.08,10.1,10.08,10.1,3498,0
KCHV.US,D,20251021,000000,10.11,10.11,10.11,10.11,949,0
KCHV.US,D,20251022,000000,10.08,10.09,10.08,10.09,5488,0
KCHV.US,D,20251023,000000,10.07,10.09,10.07,10.09,39838,0
KCHV.US,D,20251027,000000,10.08,10.08,10.08,10.08,76038,0
KCHV.US,D,20251028,000000,10.09,10.1,10.09,10.09,53176,0
KCHV.US,D,20251029,000000,10.1,10.1,10.1,10.1,9172,0
KCHV.US,D,20251030,000000,10.1,10.1,10.09,10.09,150200,0
KCHV.US,D,20251031,000000,10.1,10.1,10.1,10.1,20566,0
KCHV.US,D,20251103,000000,10.1,10.105,10.1,10.1,20270,0
KCHV.US,D,20251104,000000,10.1,10.13,10.1,10.105,18834,0
KCHV.US,D,20251105,000000,10.1,10.1097,10.09,10.1097,399134,0
