<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LCCC.US,D,20250623,000000,10,10.24,10,10,44733,0
LCCC.US,D,20250624,000000,10.04,10.04,10,10.01,132621,0
LCCC.US,D,20250625,000000,10.02,10.02,10,10,250608,0
LCCC.US,D,20250626,000000,10.01,10.015,10.01,10.0111,265645,0
LCCC.US,D,20250627,000000,10.03,10.03,10.03,10.03,2621,0
LCCC.US,D,20250630,000000,10.0222,10.0222,10.0222,10.0222,1679,0
LCCC.US,D,20250701,000000,10.02,10.025,10.02,10.025,50530,0
LCCC.US,D,20250702,000000,10.0292,10.0292,10.025,10.025,140580,0
LCCC.US,D,20250709,000000,10.03,10.03,10.03,10.03,1100,0
LCCC.US,D,20250711,000000,10.025,10.025,10.02,10.02,3000,0
LCCC.US,D,20250714,000000,10.04,10.04,10.04,10.04,1201,0
LCCC.US,D,20250715,000000,10.03,10.03,10.03,10.03,2001,0
LCCC.US,D,20250716,000000,10.035,10.035,10.03,10.03,100022,0
LCCC.US,D,20250717,000000,10.03,10.035,10.02,10.035,235668,0
LCCC.US,D,20250718,000000,10.03,10.04,10.03,10.04,303220,0
LCCC.US,D,20250721,000000,10.0318,10.05,10.0318,10.05,20533,0
LCCC.US,D,20250728,000000,10.05,10.05,10.04,10.04,1011,0
LCCC.US,D,20250730,000000,10.04,10.04,10.04,10.04,99750,0
LCCC.US,D,20250801,000000,10.0392,10.045,10.0389,10.045,6987,0
LCCC.US,D,20250805,000000,10.04,10.04,10.04,10.04,50001,0
LCCC.US,D,20250806,000000,10.04,10.0401,10.04,10.0401,19915,0
LCCC.US,D,20250807,000000,10.06,10.08,10.04,10.04,60500,0
LCCC.US,D,20250814,000000,10.04,10.04,10.04,10.04,75055,0
LCCC.US,D,20250818,000000,10.05,10.05,10.05,10.05,5051,0
LCCC.US,D,20250821,000000,10.05,10.06,10.05,10.06,150960,0
LCCC.US,D,20250826,000000,10.04,10.04,10.04,10.04,1100,0
LCCC.US,D,20250828,000000,10.05,10.05,10.05,10.05,17281,0
LCCC.US,D,20250902,000000,10.05,10.05,10.05,10.05,20129,0
LCCC.US,D,20250903,000000,10.05,10.05,10.05,10.05,127704,0
LCCC.US,D,20250905,000000,10.055,10.055,10.05,10.05,140677,0
LCCC.US,D,20250908,000000,10.06,10.07,10.055,10.06,65787,0
LCCC.US,D,20250909,000000,10.08,10.08,10.05,10.05,383,0
LCCC.US,D,20250910,000000,10.08,10.08,10.05,10.05,368,0
LCCC.US,D,20250911,000000,10.08,10.08,10.05,10.05,422,0
LCCC.US,D,20250912,000000,10.08,10.08,10.06,10.06,26033,0
LCCC.US,D,20250923,000000,10.08,10.08,10.08,10.08,3500,0
LCCC.US,D,20250924,000000,10.0811,10.085,10.08,10.08,15416,0
LCCC.US,D,20250929,000000,10.08,10.08,10.08,10.08,10003,0
LCCC.US,D,20250930,000000,10.08,10.085,10.08,10.08,41564,0
LCCC.US,D,20251001,000000,10.09,10.09,10.09,10.09,25600,0
LCCC.US,D,20251002,000000,10.09,10.09,10.09,10.09,612,0
LCCC.US,D,20251003,000000,10.09,10.1,10.09,10.09,3108,0
LCCC.US,D,20251006,000000,10.1,10.1,10.09,10.09,306,0
LCCC.US,D,20251008,000000,10.09,10.09,10.09,10.09,217,0
LCCC.US,D,20251010,000000,10.09,10.09,10.09,10.09,554,0
LCCC.US,D,20251013,000000,10.11,10.12,10.1,10.12,8048,0
LCCC.US,D,20251014,000000,10.1,10.11,10.09,10.11,5549,0
LCCC.US,D,20251015,000000,10.11,10.11,10.11,10.11,4374,0
LCCC.US,D,20251021,000000,10.12,10.13,10.12,10.13,22520,0
LCCC.US,D,20251024,000000,10.11,10.14,10.11,10.14,509,0
LCCC.US,D,20251027,000000,10.12,10.12,10.12,10.12,35072,0
LCCC.US,D,20251103,000000,10.12,10.12,10.12,10.12,7670,0
