<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NEWTP.US,D,20250902,000000,24.13,24.25,24.08,24.09,58345,0
NEWTP.US,D,20250903,000000,24.2,24.2,24.05,24.1242,37816,0
NEWTP.US,D,20250904,000000,24.1457,24.1486,24.05,24.08,41504,0
NEWTP.US,D,20250905,000000,24.2,24.2,23.82,24,32019,0
NEWTP.US,D,20250908,000000,23.987,23.987,23.5953,23.6549,40787,0
NEWTP.US,D,20250909,000000,23.65,23.65,23.39,23.5,32783,0
NEWTP.US,D,20250910,000000,23.5,23.55,23.2,23.48,36462,0
NEWTP.US,D,20250911,000000,23.8081,23.81,23.47,23.8,42648,0
NEWTP.US,D,20250912,000000,23.99,23.99,23.8001,23.99,21607,0
NEWTP.US,D,20250915,000000,23.8165,23.94,23.8165,23.94,2978,0
NEWTP.US,D,20250916,000000,23.9,23.9999,23.89,23.9999,7432,0
NEWTP.US,D,20250917,000000,24,24,23.89,23.89,17957,0
NEWTP.US,D,20250918,000000,23.93,23.95,23.78,23.78,18528,0
NEWTP.US,D,20250919,000000,23.95,23.95,23.8,23.8582,8882,0
NEWTP.US,D,20250922,000000,23.87,23.95,23.794,23.95,7297,0
NEWTP.US,D,20250923,000000,23.99,24.1,23.8843,23.95,17106,0
NEWTP.US,D,20250924,000000,24.03,24.04,23.6,23.98,15483,0
NEWTP.US,D,20250925,000000,24,24,23.81,23.94,5170,0
NEWTP.US,D,20250926,000000,23.93,24,23.75,23.99,10512,0
NEWTP.US,D,20250929,000000,24,24.05,23.9054,24.05,8949,0
NEWTP.US,D,20250930,000000,23.9999,24.19,23.9807,24.08,16077,0
NEWTP.US,D,20251001,000000,24.05,24.205,24.03,24.205,13747,0
NEWTP.US,D,20251002,000000,24.2,24.2446,24.0341,24.0595,8576,0
NEWTP.US,D,20251003,000000,24.0604,24.19,24.0604,24.18,7229,0
NEWTP.US,D,20251006,000000,24.2,24.2,23.82,24.01,11802,0
NEWTP.US,D,20251007,000000,24,24.09,23.835,23.98,9724,0
NEWTP.US,D,20251008,000000,23.943,24,23.91,23.91,9489,0
NEWTP.US,D,20251009,000000,23.9372,23.9372,23.9,23.915,628,0
NEWTP.US,D,20251010,000000,23.96,23.96,23.618,23.69,6419,0
NEWTP.US,D,20251013,000000,23.69,23.78,23.35,23.35,10767,0
NEWTP.US,D,20251014,000000,23.3501,23.5899,23.32,23.47,15246,0
NEWTP.US,D,20251015,000000,23.635,23.7999,23.6,23.75,4585,0
NEWTP.US,D,20251016,000000,23.75,23.8,23.67,23.7374,11090,0
NEWTP.US,D,20251017,000000,23.56,24.25,23.55,24.21,26575,0
NEWTP.US,D,20251020,000000,23.62,24.1499,23.62,24.025,18181,0
NEWTP.US,D,20251021,000000,24.15,24.15,23.81,23.81,5393,0
NEWTP.US,D,20251022,000000,23.9672,24.01,23.81,23.93,14645,0
NEWTP.US,D,20251023,000000,23.9999,24,23.9,23.9,4697,0
NEWTP.US,D,20251024,000000,23.9,24.15,23.9,24.146,10758,0
NEWTP.US,D,20251027,000000,24.0369,24.0369,23.9,24,2262,0
NEWTP.US,D,20251028,000000,24.0488,24.27,23.93,24.2176,44897,0
NEWTP.US,D,20251029,000000,24.2124,24.5,24.067,24.4,52081,0
NEWTP.US,D,20251030,000000,23.93,24.28,23.93,24.28,8066,0
NEWTP.US,D,20251031,000000,24.15,24.15,23.993,23.993,2876,0
NEWTP.US,D,20251103,000000,24,24.01,23.95,23.95,2459,0
NEWTP.US,D,20251104,000000,23.96,24.48,23.92,23.92,11115,0
NEWTP.US,D,20251105,000000,23.96,24,23.9232,23.93,883,0
