<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NUTR.US,D,20250815,000000,3.58,4.07,3.4,3.91,3543000,0
NUTR.US,D,20250818,000000,3.95,4.18,3.9,4.1,542900,0
NUTR.US,D,20250819,000000,4.16,4.39,3.95,4.21,1192400,0
NUTR.US,D,20250820,000000,4.2,4.4,4.12,4.3,1081700,0
NUTR.US,D,20250821,000000,4.34,4.4,4.2,4.34,2801800,0
NUTR.US,D,20250822,000000,4.41,4.49,4.3,4.43,521000,0
NUTR.US,D,20250825,000000,4.4,4.69,4.4,4.53,447977,0
NUTR.US,D,20250826,000000,4.57,4.57,4.35,4.47,432368,0
NUTR.US,D,20250827,000000,4.39,4.62,4.21,4.58,503573,0
NUTR.US,D,20250828,000000,4.55,4.72,4.31,4.71,429343,0
NUTR.US,D,20250829,000000,4.71,4.71,4.5001,4.67,330988,0
NUTR.US,D,20250902,000000,4.66,4.775,4.47,4.66,1058274,0
NUTR.US,D,20250903,000000,4.61,4.75,4.61,4.72,1037903,0
NUTR.US,D,20250904,000000,4.68,4.86,4.6,4.8,804030,0
NUTR.US,D,20250905,000000,4.8,4.93,4.75,4.87,348852,0
NUTR.US,D,20250908,000000,4.86,4.92,4.78,4.865,537319,0
NUTR.US,D,20250909,000000,4.95,5.168,4.75,5.12,3359360,0
NUTR.US,D,20250910,000000,4.8,5.1,4.68,5,3722085,0
NUTR.US,D,20250911,000000,5,5,4.74,4.84,896237,0
NUTR.US,D,20250912,000000,4.84,5.46,4.84,5.34,1504439,0
NUTR.US,D,20250915,000000,5.34,5.6,5.3101,5.56,905813,0
NUTR.US,D,20250916,000000,5.48,5.54,5.4,5.42,475657,0
NUTR.US,D,20250917,000000,5.41,5.63,5.3,5.4,765084,0
NUTR.US,D,20250918,000000,5.675,6.1,5.64,6.1,4721099,0
NUTR.US,D,20250919,000000,6,6.28,5.9701,6.11,1033645,0
NUTR.US,D,20250922,000000,6.16,6.16,5.79,5.95,1148716,0
NUTR.US,D,20250923,000000,6,6.1,5.95,6.1,633413,0
NUTR.US,D,20250924,000000,6.12,6.4,6,6.21,841035,0
NUTR.US,D,20250925,000000,6.3,6.9,4.3,6.89,9091062,0
NUTR.US,D,20250926,000000,6.99,7.39,6.48,7.13,4090846,0
NUTR.US,D,20250929,000000,7.09,7.6426,6.9,7.35,5162049,0
NUTR.US,D,20250930,000000,7.31,7.98,7.16,7.98,2643294,0
NUTR.US,D,20251001,000000,7.81,8.39,7.65,8.2,3632769,0
NUTR.US,D,20251002,000000,8.1,8.35,7.15,7.96,5513463,0
NUTR.US,D,20251003,000000,7.96,9.5,7.55,9.3,4290400,0
NUTR.US,D,20251006,000000,9.28,10.14,8.67,8.8,3980444,0
NUTR.US,D,20251007,000000,8.76,9.1799,7.92,9.04,1415563,0
NUTR.US,D,20251008,000000,9.01,9.3,8.6501,9,901233,0
