<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OBAWW.US,D,20250818,000000,0.175,0.178,0.17,0.178,24200,0
OBAWW.US,D,20250819,000000,0.156,0.17,0.13,0.15,396584,0
OBAWW.US,D,20250820,000000,0.16,0.16,0.1599,0.16,19085,0
OBAWW.US,D,20250822,000000,0.15,0.16,0.15,0.16,23387,0
OBAWW.US,D,20250828,000000,0.1604,0.1604,0.1603,0.1603,300,0
OBAWW.US,D,20250902,000000,0.156,0.156,0.1526,0.1526,374,0
OBAWW.US,D,20250903,000000,0.16,0.16,0.16,0.16,140600,0
OBAWW.US,D,20250904,000000,0.16,0.16,0.16,0.16,6355,0
OBAWW.US,D,20250905,000000,0.16,0.16,0.16,0.16,70223,0
OBAWW.US,D,20250908,000000,0.16,0.163,0.16,0.1609,88500,0
OBAWW.US,D,20250909,000000,0.163,0.165,0.163,0.1649,15000,0
OBAWW.US,D,20250911,000000,0.166,0.1678,0.1651,0.1677,97723,0
OBAWW.US,D,20250915,000000,0.1679,0.1682,0.1525,0.1525,5062,0
OBAWW.US,D,20250916,000000,0.16,0.168,0.1599,0.1601,19870,0
OBAWW.US,D,20250923,000000,0.168,0.171,0.168,0.17,83580,0
OBAWW.US,D,20250924,000000,0.17,0.177,0.17,0.176,19300,0
OBAWW.US,D,20250925,000000,0.1725,0.19,0.1725,0.19,93331,0
OBAWW.US,D,20250929,000000,0.19,0.191,0.1899,0.19,16600,0
OBAWW.US,D,20250930,000000,0.192,0.192,0.17,0.1701,40600,0
OBAWW.US,D,20251002,000000,0.175,0.19,0.17,0.19,171864,0
OBAWW.US,D,20251006,000000,0.1898,0.19,0.1898,0.19,1250,0
OBAWW.US,D,20251008,000000,0.185,0.205,0.185,0.205,327148,0
OBAWW.US,D,20251009,000000,0.2,0.23,0.2,0.22,31060,0
OBAWW.US,D,20251010,000000,0.2,0.23,0.2,0.23,139418,0
OBAWW.US,D,20251013,000000,0.2073,0.24,0.2,0.23,77051,0
OBAWW.US,D,20251014,000000,0.2623,0.28,0.23,0.24,49157,0
OBAWW.US,D,20251015,000000,0.25,0.28,0.24,0.26,95261,0
OBAWW.US,D,20251016,000000,0.26,0.2694,0.24,0.2551,15939,0
OBAWW.US,D,20251017,000000,0.24,0.26,0.23,0.244,89637,0
OBAWW.US,D,20251020,000000,0.24,0.24,0.2275,0.2389,23838,0
OBAWW.US,D,20251021,000000,0.24,0.26,0.2398,0.24,14803,0
OBAWW.US,D,20251022,000000,0.245,0.245,0.24,0.24,30364,0
OBAWW.US,D,20251024,000000,0.2442,0.25,0.2442,0.25,4180,0
OBAWW.US,D,20251027,000000,0.26,0.2602,0.2403,0.25,17209,0
OBAWW.US,D,20251028,000000,0.2403,0.25,0.24,0.24,20703,0
OBAWW.US,D,20251029,000000,0.24,0.25,0.24,0.25,14680,0
OBAWW.US,D,20251030,000000,0.25,0.25,0.24,0.2401,23604,0
OBAWW.US,D,20251103,000000,0.2401,0.25,0.2401,0.25,7581,0
OBAWW.US,D,20251104,000000,0.245001,0.25,0.2309,0.25,301232,0
OBAWW.US,D,20251105,000000,0.25,0.2587,0.25,0.25,12160,0
