<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PMTRW.US,D,20250623,000000,0.75,0.75,0.75,0.75,1012,0
PMTRW.US,D,20250624,000000,0.56,0.7,0.52,0.62,293436,0
PMTRW.US,D,20250625,000000,0.7,0.75,0.7,0.75,10615,0
PMTRW.US,D,20250626,000000,0.75,0.78,0.6924,0.75,142549,0
PMTRW.US,D,20250627,000000,0.654,0.654,0.6529,0.6529,400,0
PMTRW.US,D,20250630,000000,0.65,0.65,0.64,0.64,705,0
PMTRW.US,D,20250701,000000,0.65,0.65,0.65,0.65,600,0
PMTRW.US,D,20250702,000000,0.65,0.75,0.65,0.75,18200,0
PMTRW.US,D,20250703,000000,0.73,0.73,0.73,0.73,264,0
PMTRW.US,D,20250708,000000,0.7136,0.7136,0.55,0.55,830,0
PMTRW.US,D,20250709,000000,0.7402,0.75,0.7402,0.75,2510,0
PMTRW.US,D,20250714,000000,0.59,0.676,0.4627,0.676,108280,0
PMTRW.US,D,20250716,000000,0.559999,0.64,0.559999,0.581601,4126,0
PMTRW.US,D,20250717,000000,0.637,0.64,0.6225,0.64,2300,0
PMTRW.US,D,20250718,000000,0.6,0.6,0.6,0.6,165,0
PMTRW.US,D,20250721,000000,0.5032,0.5454,0.5032,0.5454,1700,0
PMTRW.US,D,20250722,000000,0.47,0.55,0.47,0.53,56106,0
PMTRW.US,D,20250723,000000,0.5659,0.597,0.54505,0.59,6050,0
PMTRW.US,D,20250728,000000,0.64,0.64,0.63,0.64,400,0
PMTRW.US,D,20250729,000000,0.6094,0.617155,0.6,0.6,3210,0
PMTRW.US,D,20250804,000000,0.6,0.6,0.5625,0.6,136200,0
PMTRW.US,D,20250805,000000,0.6381,0.75,0.6,0.75,366628,0
PMTRW.US,D,20250806,000000,0.73999,0.74,0.6657,0.7,2568,0
PMTRW.US,D,20250807,000000,0.7,0.7,0.7,0.7,114,0
PMTRW.US,D,20250808,000000,0.65,0.74,0.63,0.73,24628,0
PMTRW.US,D,20250811,000000,0.677,0.677,0.677,0.677,501,0
PMTRW.US,D,20250820,000000,0.65,0.65,0.65,0.65,99200,0
PMTRW.US,D,20250822,000000,0.62,0.62,0.62,0.62,1102,0
PMTRW.US,D,20250825,000000,0.64,0.64,0.64,0.64,1000,0
PMTRW.US,D,20250902,000000,0.6502,0.6502,0.65,0.65,606,0
PMTRW.US,D,20250903,000000,0.65,0.65,0.5501,0.5699,1108,0
PMTRW.US,D,20250908,000000,0.585,0.65,0.585,0.64,10047,0
PMTRW.US,D,20250910,000000,0.5767,0.5767,0.57,0.57,635,0
PMTRW.US,D,20250912,000000,0.57,0.6,0.57,0.6,1820,0
PMTRW.US,D,20250915,000000,0.57,0.57,0.57,0.57,700,0
PMTRW.US,D,20250916,000000,0.57,0.6,0.57,0.6,26042,0
PMTRW.US,D,20250917,000000,0.57,0.57,0.57,0.57,800,0
PMTRW.US,D,20250918,000000,0.5662,0.57,0.5501,0.57,3366,0
PMTRW.US,D,20250919,000000,0.57,0.68,0.5619,0.68,30212,0
PMTRW.US,D,20250922,000000,0.63,0.68,0.63,0.68,4800,0
PMTRW.US,D,20250923,000000,0.63,0.66,0.57,0.57,19600,0
PMTRW.US,D,20250924,000000,0.6,0.645,0.5871,0.6001,81118,0
PMTRW.US,D,20250925,000000,0.6,0.6,0.6,0.6,300,0
PMTRW.US,D,20250926,000000,0.6,0.6,0.6,0.6,49597,0
PMTRW.US,D,20250929,000000,0.562,0.6408,0.5601,0.6,4966,0
PMTRW.US,D,20250930,000000,0.6,0.6001,0.6,0.6,9352,0
PMTRW.US,D,20251002,000000,0.6,0.6,0.6,0.6,30187,0
PMTRW.US,D,20251003,000000,0.6,0.68,0.5999,0.61,12417,0
PMTRW.US,D,20251006,000000,0.6,0.68,0.6,0.6581,10850,0
PMTRW.US,D,20251008,000000,0.67,0.69,0.65,0.69,6335,0
PMTRW.US,D,20251009,000000,0.65,0.68,0.65,0.65,33766,0
PMTRW.US,D,20251010,000000,0.69,0.74,0.69,0.74,35612,0
PMTRW.US,D,20251013,000000,0.75,0.75,0.75,0.75,451,0
PMTRW.US,D,20251014,000000,0.71,0.71,0.7013,0.71,1449,0
PMTRW.US,D,20251016,000000,0.7959,0.95,0.7792,0.8634,68163,0
PMTRW.US,D,20251017,000000,0.88,0.89,0.824,0.85,16368,0
PMTRW.US,D,20251020,000000,0.89,1.1,0.8593,0.8593,97922,0
PMTRW.US,D,20251021,000000,1.03,1.05,1,1.05,47101,0
PMTRW.US,D,20251022,000000,0.99,0.99,0.922,0.922,676,0
PMTRW.US,D,20251023,000000,1,1.05,0.98,1,38711,0
PMTRW.US,D,20251024,000000,0.9733,1.05,0.9733,1.025,69464,0
PMTRW.US,D,20251027,000000,1.06,1.1,1,1.03,325988,0
PMTRW.US,D,20251028,000000,1.01,1.06,1,1,15379,0
PMTRW.US,D,20251029,000000,1.05,1.05,1.02,1.02,105076,0
PMTRW.US,D,20251030,000000,0.985,0.985,0.884,0.884,12061,0
PMTRW.US,D,20251031,000000,1.01,1.01,0.894,0.894,1052,0
PMTRW.US,D,20251103,000000,0.88,0.88,0.85,0.8501,2400,0
