<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RANGR.US,D,20250116,000000,0.17,0.178,0.158,0.178,637221,0
RANGR.US,D,20250117,000000,0.178,0.18,0.178,0.18,22970,0
RANGR.US,D,20250123,000000,0.1701,0.186,0.17,0.1777,52264,0
RANGR.US,D,20250124,000000,0.186,0.19,0.17,0.1701,47153,0
RANGR.US,D,20250129,000000,0.186,0.2199,0.186,0.2199,268501,0
RANGR.US,D,20250130,000000,0.22,0.22,0.189999,0.1927,776,0
RANGR.US,D,20250131,000000,0.1927,0.2075,0.1927,0.2075,6426,0
RANGR.US,D,20250203,000000,0.22,0.23,0.2,0.23,82300,0
RANGR.US,D,20250204,000000,0.23,0.23,0.222,0.23,1200,0
RANGR.US,D,20250205,000000,0.23,0.23,0.23,0.23,100,0
RANGR.US,D,20250206,000000,0.2252,0.2298,0.2252,0.2274,512,0
RANGR.US,D,20250219,000000,0.21,0.21,0.21,0.21,100,0
RANGR.US,D,20250220,000000,0.1904,0.1904,0.1904,0.1904,105,0
RANGR.US,D,20250224,000000,0.21,0.21,0.2094,0.2094,300,0
RANGR.US,D,20250226,000000,0.27,0.29,0.23,0.24,20797,0
RANGR.US,D,20250227,000000,0.2723,0.28,0.215,0.2502,68173,0
RANGR.US,D,20250228,000000,0.208,0.276,0.19,0.23,81065,0
RANGR.US,D,20250303,000000,0.22,0.22,0.21,0.21,599,0
RANGR.US,D,20250304,000000,0.206,0.24,0.19,0.24,5200,0
RANGR.US,D,20250307,000000,0.176,0.192,0.16,0.16,10098,0
RANGR.US,D,20250313,000000,0.1875,0.207628,0.1875,0.207628,2864,0
RANGR.US,D,20250318,000000,0.2036,0.2037,0.1877,0.1877,2279,0
RANGR.US,D,20250319,000000,0.207,0.207,0.198444,0.198444,1712,0
RANGR.US,D,20250325,000000,0.19,0.19,0.19,0.19,106,0
RANGR.US,D,20250327,000000,0.186,0.186,0.186,0.186,190,0
RANGR.US,D,20250328,000000,0.17,0.18,0.17,0.17,10702,0
RANGR.US,D,20250403,000000,0.217551,0.217551,0.1601,0.202039,1989,0
RANGR.US,D,20250404,000000,0.183,0.183,0.183,0.183,244,0
RANGR.US,D,20250411,000000,0.18,0.18,0.1605,0.1605,213,0
RANGR.US,D,20250414,000000,0.1601,0.18,0.1601,0.17,82096,0
RANGR.US,D,20250416,000000,0.16,0.176,0.16,0.176,6624,0
RANGR.US,D,20250417,000000,0.17,0.18,0.16,0.16,5400,0
RANGR.US,D,20250421,000000,0.16,0.16,0.16,0.16,1433,0
RANGR.US,D,20250423,000000,0.1501,0.1501,0.1501,0.1501,4153,0
RANGR.US,D,20250501,000000,0.15,0.1641,0.15,0.1641,1665,0
RANGR.US,D,20250502,000000,0.1511,0.1511,0.1511,0.1511,900,0
RANGR.US,D,20250508,000000,0.16,0.18,0.16,0.1787,19453,0
RANGR.US,D,20250509,000000,0.188,0.225,0.188,0.225,470550,0
RANGR.US,D,20250512,000000,0.2692,0.2692,0.2692,0.2692,186,0
RANGR.US,D,20250513,000000,0.269999,0.269999,0.269999,0.269999,198,0
RANGR.US,D,20250515,000000,0.23,0.23,0.23,0.23,9749,0
RANGR.US,D,20250516,000000,0.21,0.23,0.205,0.23,30354,0
RANGR.US,D,20250527,000000,0.254399,0.254399,0.21,0.2424,10262,0
RANGR.US,D,20250604,000000,0.235,0.24,0.235,0.24,2361,0
RANGR.US,D,20250605,000000,0.22,0.22,0.22,0.22,3800,0
RANGR.US,D,20250609,000000,0.2366,0.24,0.236,0.24,5765,0
RANGR.US,D,20250613,000000,0.249999,0.249999,0.249999,0.249999,149,0
RANGR.US,D,20250616,000000,0.202,0.2021,0.1473,0.16005,9475,0
RANGR.US,D,20250618,000000,0.2,0.238901,0.1638,0.1652,6207,0
RANGR.US,D,20250620,000000,0.234,0.2449,0.2147,0.234,2857,0
RANGR.US,D,20250623,000000,0.24,0.27,0.2148,0.25,131395,0
RANGR.US,D,20250624,000000,0.25,0.27,0.25,0.25,18610,0
RANGR.US,D,20250625,000000,0.25,0.25,0.25,0.25,10400,0
RANGR.US,D,20250626,000000,0.25,0.2501,0.25,0.2501,362,0
RANGR.US,D,20250630,000000,0.25,0.27,0.25,0.25,36261,0
RANGR.US,D,20250701,000000,0.25,0.25,0.25,0.25,50000,0
RANGR.US,D,20250702,000000,0.2625,0.2625,0.255,0.255,75411,0
RANGR.US,D,20250707,000000,0.2247,0.25,0.2247,0.25,364,0
RANGR.US,D,20250708,000000,0.25,0.25,0.2197,0.2197,15304,0
RANGR.US,D,20250709,000000,0.25,0.25,0.25,0.25,9900,0
RANGR.US,D,20250717,000000,0.21,0.21,0.21,0.21,499,0
RANGR.US,D,20250718,000000,0.1201,0.1201,0.1201,0.1201,830,0
RANGR.US,D,20250722,000000,0.2441,0.27,0.17,0.18,3652,0
RANGR.US,D,20250723,000000,0.167,0.28999,0.16,0.1788,3926,0
RANGR.US,D,20250728,000000,0.17,0.17,0.17,0.17,200,0
RANGR.US,D,20250730,000000,0.2,0.2,0.2,0.2,181,0
RANGR.US,D,20250731,000000,0.2,0.2419,0.2,0.2419,813,0
RANGR.US,D,20250801,000000,0.2036,0.2036,0.2,0.2006,2119,0
RANGR.US,D,20250804,000000,0.2,0.2,0.2,0.2,200,0
RANGR.US,D,20250812,000000,0.17,0.17,0.15,0.15,640,0
RANGR.US,D,20250819,000000,0.1963,0.1963,0.1963,0.1963,501,0
RANGR.US,D,20250820,000000,0.24949,0.24949,0.222179,0.222179,208,0
RANGR.US,D,20250822,000000,0.168,0.168,0.168,0.168,121,0
RANGR.US,D,20250902,000000,0.1669,0.1705,0.1669,0.1705,507,0
RANGR.US,D,20250904,000000,0.18,0.18,0.18,0.18,814,0
RANGR.US,D,20250905,000000,0.18,0.1801,0.18,0.1801,1230,0
RANGR.US,D,20250909,000000,0.19,0.2,0.19,0.2,352,0
RANGR.US,D,20250910,000000,0.21,0.21,0.21,0.21,100,0
RANGR.US,D,20250911,000000,0.182,0.19,0.1819,0.19,2389,0
RANGR.US,D,20250915,000000,0.18,0.2604,0.18,0.2604,9410,0
RANGR.US,D,20250919,000000,0.27,0.31,0.27,0.27,111830,0
RANGR.US,D,20250922,000000,0.27,0.27,0.27,0.27,66301,0
RANGR.US,D,20250923,000000,0.334,0.4141,0.275,0.275,6700,0
RANGR.US,D,20250924,000000,0.27001,0.45,0.27001,0.45,3230,0
RANGR.US,D,20250925,000000,0.4499,0.45,0.4486,0.45,1062,0
RANGR.US,D,20250926,000000,0.45,0.45,0.28,0.4233,1491,0
RANGR.US,D,20250929,000000,0.45,0.5,0.3755,0.47,6547,0
RANGR.US,D,20251001,000000,0.44,0.44,0.44,0.44,105,0
RANGR.US,D,20251002,000000,0.3395,0.4346,0.3395,0.39,843,0
RANGR.US,D,20251003,000000,0.414,0.4141,0.414,0.4141,1055,0
RANGR.US,D,20251006,000000,0.36,0.36,0.35,0.36,85113,0
RANGR.US,D,20251008,000000,0.4,0.44,0.38,0.44,3163,0
RANGR.US,D,20251009,000000,0.38,0.38,0.34,0.34,12071,0
RANGR.US,D,20251010,000000,0.36,0.36,0.36,0.36,132,0
