<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCAG.US,D,20250630,000000,11.69,11.9812,6.7,9,158633,0
SCAG.US,D,20250701,000000,8.79,8.79,2.91,4.13,585140,0
SCAG.US,D,20250702,000000,6.5,6.6085,4.41,5.55,2384769,0
SCAG.US,D,20250703,000000,4.81,5.45,4.5501,4.82,145327,0
SCAG.US,D,20250707,000000,4.55,4.55,3.7002,3.8,104682,0
SCAG.US,D,20250708,000000,3.86,4.2,3.85,4.2,40769,0
SCAG.US,D,20250709,000000,7.85,8.1699,5.42,6.58,9542114,0
SCAG.US,D,20250710,000000,5.84,7,5.84,6.7,196624,0
SCAG.US,D,20250711,000000,6.18,8.09,6.06,7.63,151185,0
SCAG.US,D,20250714,000000,7,7.95,7,7.59,90399,0
SCAG.US,D,20250715,000000,7.59,7.67,6.51,6.67,153027,0
SCAG.US,D,20250716,000000,6.65,7.1952,5.9,5.92,41600,0
SCAG.US,D,20250717,000000,6.21,6.22,5.67,5.8,21925,0
SCAG.US,D,20250718,000000,5.8,6.02,5.11,5.11,42064,0
SCAG.US,D,20250721,000000,5,5.42,4.8639,5.42,17451,0
SCAG.US,D,20250722,000000,5.02,5.81,5.02,5.56,246415,0
SCAG.US,D,20250723,000000,5.54,5.7,5.3102,5.54,50558,0
SCAG.US,D,20250724,000000,5.31,5.6408,5.2,5.31,20223,0
SCAG.US,D,20250725,000000,5.16,5.46,4.9949,5.06,37723,0
SCAG.US,D,20250728,000000,5.04,5.39,4.8837,4.98,23067,0
SCAG.US,D,20250729,000000,5.218,5.22,4.25,4.54,42492,0
SCAG.US,D,20250730,000000,4.23,4.471,4.21,4.21,14643,0
SCAG.US,D,20250731,000000,4.1,4.428,4,4.37,14239,0
SCAG.US,D,20250801,000000,4.1,4.5,3.52,4.5,14142,0
SCAG.US,D,20250804,000000,4.07,4.35,4.07,4.14,13777,0
SCAG.US,D,20250805,000000,4.1634,4.4999,3.91,4.19,20594,0
SCAG.US,D,20250806,000000,4.1,4.2,3.8,3.86,8741,0
SCAG.US,D,20250807,000000,3.8603,3.9,3.763,3.8,8309,0
SCAG.US,D,20250808,000000,3.8,4.0125,3.6639,3.86,5432,0
SCAG.US,D,20250811,000000,3.78,3.91,3.66,3.7989,4056,0
SCAG.US,D,20250812,000000,3.66,3.79,3.66,3.7388,3762,0
SCAG.US,D,20250813,000000,3.4412,4.02,3.4412,3.920027,11630,0
SCAG.US,D,20250814,000000,3.65,4.27,3.65,4.06,12374,0
SCAG.US,D,20250815,000000,3.83,4.3,3.83,4.27,12854,0
SCAG.US,D,20250818,000000,3.9278,4.25,3.84,4,22825,0
SCAG.US,D,20250819,000000,3.7613,4.38,3.7613,4,11750,0
SCAG.US,D,20250820,000000,3.76,3.91,3.7198,3.76,16570,0
SCAG.US,D,20250821,000000,3.7,3.89,3.65,3.65,22364,0
SCAG.US,D,20250822,000000,3.61,3.85,3.61,3.76,6424,0
SCAG.US,D,20250825,000000,3.82,3.82,3.62,3.7,5638,0
SCAG.US,D,20250826,000000,3.71,3.99,3.2,3.61,29915,0
SCAG.US,D,20250827,000000,3.56,3.61,3.4,3.61,2060,0
SCAG.US,D,20250828,000000,3.61,3.61,3.4201,3.6,1141,0
SCAG.US,D,20250829,000000,3.36,3.6,3.36,3.47,13796,0
SCAG.US,D,20250902,000000,3.6,3.6,3.44,3.56,4140,0
SCAG.US,D,20250903,000000,3.53,3.54,3.15,3.2908,5236,0
SCAG.US,D,20250904,000000,3.1007,3.62,3.1007,3.62,24293,0
SCAG.US,D,20250905,000000,4.8,6.57,4.33,4.87,19162043,0
SCAG.US,D,20250908,000000,3.96,4.13,3.56,3.79,383399,0
SCAG.US,D,20250909,000000,3.59,3.8172,3.34,3.49,135313,0
