<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SMOM.US,D,20250910,000000,25.15,25.16,25.11,25.1419,17680,0
SMOM.US,D,20250911,000000,25.44,25.4428,25.29,25.4428,15848,0
SMOM.US,D,20250912,000000,25.67,25.67,25.41,25.4231,23132,0
SMOM.US,D,20250915,000000,25.61,25.62,25.57,25.6021,15994,0
SMOM.US,D,20250916,000000,25.5,25.5355,25.4994,25.5355,15806,0
SMOM.US,D,20250917,000000,25.56,25.62,25.5195,25.5195,13565,0
SMOM.US,D,20250918,000000,25.77,25.77,25.7073,25.7073,15504,0
SMOM.US,D,20250922,000000,25.77,25.8776,25.77,25.8776,14251,0
SMOM.US,D,20250923,000000,25.97,25.97,25.8382,25.855,32167,0
SMOM.US,D,20250924,000000,25.78,25.78,25.6584,25.6584,11792,0
SMOM.US,D,20250925,000000,25.59,25.65,25.5842,25.5842,32498,0
SMOM.US,D,20250926,000000,25.87,25.87,25.6,25.755,12957,0
SMOM.US,D,20250929,000000,25.91,25.95,25.905,25.905,13051,0
SMOM.US,D,20250930,000000,25.81,25.92,25.8099,25.904,24928,0
SMOM.US,D,20251001,000000,25.7535,25.8,25.74,25.7533,53754,0
SMOM.US,D,20251002,000000,25.71,25.79,25.71,25.7728,14646,0
SMOM.US,D,20251003,000000,25.795,25.89,25.7488,25.7488,13343,0
SMOM.US,D,20251006,000000,25.89,25.91,25.83,25.8988,14769,0
SMOM.US,D,20251007,000000,25.9,26.01,25.74,25.7552,61451,0
SMOM.US,D,20251008,000000,25.838,25.91,25.838,25.905,43191,0
SMOM.US,D,20251009,000000,25.79,25.79,25.71,25.7364,30041,0
SMOM.US,D,20251010,000000,25.863,25.863,25.0801,25.0801,27235,0
SMOM.US,D,20251013,000000,25.44,25.47,25.44,25.4576,3593,0
SMOM.US,D,20251014,000000,25.2732,25.62,25.2732,25.5083,29977,0
SMOM.US,D,20251015,000000,25.81,25.815,25.45,25.6085,44392,0
SMOM.US,D,20251016,000000,25.67,25.69,25.31,25.3949,1005190,0
SMOM.US,D,20251017,000000,25.44,25.57,25.35,25.5018,7887,0
SMOM.US,D,20251020,000000,25.66,25.805,25.66,25.7758,14406,0
SMOM.US,D,20251021,000000,25.77,25.9,25.77,25.876,1595,0
SMOM.US,D,20251022,000000,25.8,25.8,25.54,25.625,3158,0
SMOM.US,D,20251023,000000,25.67,25.81,25.64,25.7769,75629,0
SMOM.US,D,20251024,000000,25.98,26.01,25.9438,25.9438,2239,0
SMOM.US,D,20251027,000000,26.17,26.2309,26.15,26.2309,2445,0
SMOM.US,D,20251028,000000,26.23,26.29,26.21,26.2144,81153,0
SMOM.US,D,20251029,000000,26.2826,26.2999,26.1813,26.1813,1269,0
SMOM.US,D,20251030,000000,26.12,26.179,25.9434,25.9434,15233,0
SMOM.US,D,20251031,000000,26.0468,26.0832,25.94,26.0455,1698,0
SMOM.US,D,20251103,000000,25.94,26.05,25.94,25.9939,2052,0
SMOM.US,D,20251104,000000,25.76,25.76,25.6301,25.6471,10089,0
SMOM.US,D,20251105,000000,25.48,25.87,25.48,25.86,2155,0
