<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SYZ.US,D,20250915,000000,25.15,25.18,25.0642,25.0642,2367,0
SYZ.US,D,20250916,000000,26.14,26.14,24.94,25.0055,9796,0
SYZ.US,D,20250917,000000,25.26,25.36,24.95,24.9558,10473,0
SYZ.US,D,20250918,000000,25.6,25.6,25.19,25.433,21810,0
SYZ.US,D,20250919,000000,25.22,25.5,25.1328,25.1328,3875,0
SYZ.US,D,20250922,000000,25.48,25.48,25.159,25.314,3248,0
SYZ.US,D,20250923,000000,25.51,25.55,25.1984,25.1984,6693,0
SYZ.US,D,20250924,000000,25.21,25.28,25.0348,25.0348,3409,0
SYZ.US,D,20250925,000000,25.19,25.19,24.8,24.8215,4855,0
SYZ.US,D,20250926,000000,25.06,25.06,24.92,25.041,4674,0
SYZ.US,D,20250929,000000,24.99,25.03,24.98,25.0147,4196,0
SYZ.US,D,20250930,000000,25.26,25.26,24.8498,25.025,7642,0
SYZ.US,D,20251001,000000,25.25,25.25,24.97,25.025,2703,0
SYZ.US,D,20251002,000000,25.17,25.17,24.9853,24.9853,3329,0
SYZ.US,D,20251003,000000,25.14,25.22,25.0509,25.0509,2800,0
SYZ.US,D,20251006,000000,25.06,25.1175,24.9866,24.9866,4187,0
SYZ.US,D,20251007,000000,24.98,24.98,24.59,24.6065,7471,0
SYZ.US,D,20251008,000000,24.95,24.95,24.7447,24.8349,4221,0
SYZ.US,D,20251009,000000,25.09,25.09,24.575,24.575,4805,0
SYZ.US,D,20251010,000000,24.92,24.92,23.955,23.955,1363,0
SYZ.US,D,20251013,000000,24.35,24.35,24.16,24.3349,4422,0
SYZ.US,D,20251014,000000,24.4,24.6591,24.4,24.6004,1043,0
SYZ.US,D,20251015,000000,24.924,24.924,24.68,24.7653,647,0
SYZ.US,D,20251016,000000,24.7329,24.7755,24.4722,24.4722,1193,0
SYZ.US,D,20251017,000000,24.39,24.4395,24.38,24.4395,805,0
SYZ.US,D,20251020,000000,24.72,24.806,24.72,24.8047,1187,0
SYZ.US,D,20251022,000000,25.24,25.24,24.695,24.695,1947,0
SYZ.US,D,20251023,000000,24.95,24.95,24.935,24.935,464,0
SYZ.US,D,20251024,000000,25.11,25.1101,25.0444,25.0444,4035,0
SYZ.US,D,20251027,000000,25.62,25.62,25.0096,25.0096,4034,0
SYZ.US,D,20251028,000000,25,25.02,24.8597,24.8597,9106,0
SYZ.US,D,20251029,000000,24.88,24.95,24.5489,24.5489,1542,0
SYZ.US,D,20251030,000000,24.75,24.76,24.75,24.755,2657,0
SYZ.US,D,20251031,000000,24.98,24.98,24.38,24.4484,2040,0
SYZ.US,D,20251103,000000,24.85,24.85,24.3399,24.3886,2789,0
SYZ.US,D,20251104,000000,24.26,24.26,24.0866,24.0866,2231,0
SYZ.US,D,20251105,000000,24,24.42,24,24.42,767,0
