<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TMUSL.US,D,20250806,000000,25.1,26,24.74,25.1,916377,0
TMUSL.US,D,20250807,000000,25.05,26.4999,25,25.12,1026173,0
TMUSL.US,D,20250808,000000,25.12,25.53,25.06,25.52,88269,0
TMUSL.US,D,20250811,000000,25.25,25.495,25.1901,25.26,103489,0
TMUSL.US,D,20250812,000000,25.24,25.41,25.24,25.34,104992,0
TMUSL.US,D,20250813,000000,25.31,25.5,25.3,25.31,176475,0
TMUSL.US,D,20250814,000000,25.31,25.43,25.3,25.33,66232,0
TMUSL.US,D,20250815,000000,25.32,25.48,25.3,25.4,91050,0
TMUSL.US,D,20250818,000000,25.36,25.39,25.31,25.34,128225,0
TMUSL.US,D,20250819,000000,25.32,25.4,25.29,25.32,224505,0
TMUSL.US,D,20250820,000000,25.3,25.42,25.3,25.37,376680,0
TMUSL.US,D,20250821,000000,25.3854,25.44,25.33,25.3599,225706,0
TMUSL.US,D,20250822,000000,25.35,25.4,25.32,25.36,243197,0
TMUSL.US,D,20250825,000000,25.37,25.415,25.33,25.35,204486,0
TMUSL.US,D,20250826,000000,25.35,25.38,25.33,25.35,136436,0
TMUSL.US,D,20250827,000000,25.35,25.37,25.33,25.33,31954,0
TMUSL.US,D,20250828,000000,25.33,25.45,25.32,25.43,160867,0
TMUSL.US,D,20250829,000000,25.06,25.19,24.57,24.67,2438880,0
TMUSL.US,D,20250902,000000,24.65,24.79,24.5,24.68,217311,0
TMUSL.US,D,20250903,000000,24.72,24.77,24.7,24.74,90781,0
TMUSL.US,D,20250904,000000,24.77,24.8399,24.77,24.79,55355,0
TMUSL.US,D,20250905,000000,24.9,25.06,24.85,24.89,63421,0
TMUSL.US,D,20250908,000000,24.91,24.91,24.7901,24.83,109048,0
TMUSL.US,D,20250909,000000,24.8,24.85,24.78,24.8,57190,0
TMUSL.US,D,20250910,000000,24.8,24.91,24.77,24.81,253318,0
TMUSL.US,D,20250911,000000,24.86,24.99,24.81,24.84,97451,0
TMUSL.US,D,20250912,000000,24.79,24.86,24.78,24.8,118536,0
TMUSL.US,D,20250915,000000,24.82,24.89,24.79,24.82,57040,0
TMUSL.US,D,20250916,000000,24.85,24.87,24.8101,24.85,170758,0
TMUSL.US,D,20250917,000000,24.85,24.9,24.71,24.81,31696,0
TMUSL.US,D,20250918,000000,24.8,24.8299,24.76,24.81,34799,0
TMUSL.US,D,20250919,000000,24.83,24.84,24.78,24.78,17250,0
TMUSL.US,D,20250922,000000,24.78,24.84,24.76,24.79,88586,0
TMUSL.US,D,20250923,000000,24.78,24.82,24.7701,24.8099,50967,0
TMUSL.US,D,20250924,000000,24.81,24.88,24.81,24.85,20883,0
TMUSL.US,D,20250925,000000,24.79,24.96,24.7814,24.94,34005,0
TMUSL.US,D,20250926,000000,24.99,24.99,24.83,24.94,22544,0
TMUSL.US,D,20250929,000000,24.88,24.99,24.84,24.84,28153,0
TMUSL.US,D,20250930,000000,24.84,24.96,24.8,24.8,246391,0
TMUSL.US,D,20251001,000000,24.855,24.9,24.76,24.79,86805,0
TMUSL.US,D,20251002,000000,24.7801,24.805,24.75,24.78,123144,0
TMUSL.US,D,20251003,000000,24.77,24.96,24.77,24.9365,655158,0
TMUSL.US,D,20251006,000000,24.92,24.97,24.86,24.97,274276,0
TMUSL.US,D,20251007,000000,24.95,24.98,24.8619,24.95,137327,0
TMUSL.US,D,20251008,000000,24.97,24.97,24.86,24.89,53344,0
TMUSL.US,D,20251009,000000,24.89,24.954,24.88,24.92,301460,0
TMUSL.US,D,20251010,000000,24.99,25,24.86,24.89,90025,0
TMUSL.US,D,20251013,000000,24.89,24.93,24.83,24.91,28130,0
TMUSL.US,D,20251014,000000,24.91,24.91,24.8101,24.86,117111,0
TMUSL.US,D,20251015,000000,24.91,24.92,24.85,24.91,175423,0
TMUSL.US,D,20251016,000000,24.88,24.91,24.86,24.86,103962,0
TMUSL.US,D,20251017,000000,24.9,24.9,24.825,24.86,107523,0
TMUSL.US,D,20251020,000000,24.89,24.99,24.8899,24.92,129206,0
TMUSL.US,D,20251021,000000,24.92,24.99,24.87,24.92,40011,0
TMUSL.US,D,20251022,000000,24.9,24.92,24.8995,24.91,148833,0
TMUSL.US,D,20251023,000000,24.75,25.02,24.75,25.02,31494,0
TMUSL.US,D,20251024,000000,25.0101,25.0699,25,25.028,10727,0
TMUSL.US,D,20251027,000000,25.045,25.045,24.96,24.97,28504,0
TMUSL.US,D,20251028,000000,25,25.02,24.96,24.98,73267,0
TMUSL.US,D,20251029,000000,24.98,25,24.96,24.98,71331,0
TMUSL.US,D,20251030,000000,25,25,24.95,24.98,15709,0
TMUSL.US,D,20251031,000000,25,25,24.94,24.97,67380,0
TMUSL.US,D,20251103,000000,25,25,24.94,24.94,49570,0
TMUSL.US,D,20251104,000000,24.95,24.97,24.94,24.94,37983,0
TMUSL.US,D,20251105,000000,25,25.05,24.935,25,129175,0
