<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRBF.US,D,20251008,000000,50.15,50.17,50.07,50.095,286659,0
TRBF.US,D,20251009,000000,50.02,50.02,49.985,49.985,1001,0
TRBF.US,D,20251013,000000,50.121,50.13,50.121,50.13,1174,0
TRBF.US,D,20251014,000000,50.2199,50.2752,50.1882,50.2752,14260,0
TRBF.US,D,20251015,000000,50.35,50.35,50.308,50.3327,1634,0
TRBF.US,D,20251016,000000,50.435,50.435,50.434,50.434,272,0
TRBF.US,D,20251017,000000,50.41,50.46,50.39,50.42,3652,0
TRBF.US,D,20251022,000000,50.6,51.13,50.58,50.625,4932,0
TRBF.US,D,20251023,000000,50.465,50.59,50.45,50.45,221,0
TRBF.US,D,20251024,000000,50.6,50.6,50.533,50.56,3456,0
TRBF.US,D,20251027,000000,50.54,51.14,50.54,50.585,18326,0
TRBF.US,D,20251028,000000,50.608,50.6364,50.608,50.625,2207,0
TRBF.US,D,20251029,000000,50.63,50.6735,50.4088,50.4088,1827,0
TRBF.US,D,20251030,000000,50.37,50.37,50.222,50.305,952,0
TRBF.US,D,20251031,000000,50.42,50.46,50.22,50.32,2632,0
TRBF.US,D,20251103,000000,49.67,50.31,49.67,50.1127,4881,0
TRBF.US,D,20251104,000000,50.24,50.24,50.145,50.145,1614,0
TRBF.US,D,20251105,000000,50.1,50.11,50.076,50.076,1650,0
