<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VNME.US,D,20250825,000000,9.93,9.93,9.925,9.9299,4346,0
VNME.US,D,20250826,000000,9.9166,9.92,9.9166,9.92,2049,0
VNME.US,D,20250828,000000,9.92,9.925,9.9,9.9,402647,0
VNME.US,D,20250829,000000,9.8989,9.9,9.8946,9.9,87150,0
VNME.US,D,20250902,000000,9.8976,9.9,9.8946,9.8987,2869,0
VNME.US,D,20250903,000000,9.9,9.91,9.89,9.91,1028165,0
VNME.US,D,20250904,000000,9.9087,9.92,9.9,9.92,801897,0
VNME.US,D,20250905,000000,9.92,9.92,9.92,9.92,934,0
VNME.US,D,20250908,000000,9.92,9.92,9.9,9.9,4965,0
VNME.US,D,20250909,000000,9.9,9.92,9.9,9.92,76727,0
VNME.US,D,20250910,000000,9.91,9.92,9.91,9.92,29264,0
VNME.US,D,20250911,000000,9.92,9.92,9.916,9.92,10645,0
VNME.US,D,20250915,000000,9.92,9.92,9.915,9.92,1180,0
VNME.US,D,20250916,000000,9.93,9.93,9.92,9.92,301,0
VNME.US,D,20250917,000000,9.92,9.92,9.91,9.91,123713,0
VNME.US,D,20250918,000000,9.92,9.92,9.92,9.92,13218,0
VNME.US,D,20250919,000000,9.91,9.94,9.91,9.93,71729,0
VNME.US,D,20250922,000000,9.92,9.92,9.92,9.92,252,0
VNME.US,D,20250924,000000,9.92,9.92,9.92,9.92,69045,0
VNME.US,D,20250925,000000,9.94,9.94,9.94,9.94,1507,0
VNME.US,D,20250926,000000,9.94,9.94,9.94,9.94,370,0
VNME.US,D,20250929,000000,9.93,9.95,9.93,9.93,223846,0
VNME.US,D,20251001,000000,9.949,9.95,9.9456,9.9456,10010,0
VNME.US,D,20251003,000000,9.95,9.95,9.92,9.95,1002,0
VNME.US,D,20251006,000000,9.95,9.95,9.95,9.95,400,0
VNME.US,D,20251007,000000,9.9499,9.95,9.9,9.9499,42752,0
VNME.US,D,20251008,000000,9.95,9.96,9.9485,9.9599,50782,0
VNME.US,D,20251009,000000,9.9338,10,9.9175,9.9712,36112,0
VNME.US,D,20251010,000000,9.9495,9.98,9.9495,9.98,22537,0
VNME.US,D,20251013,000000,9.97,9.97,9.97,9.97,249,0
VNME.US,D,20251014,000000,9.97,10.01,9.97,10.01,31234,0
VNME.US,D,20251015,000000,10,10,9.9748,10,1164,0
VNME.US,D,20251016,000000,10,10.02,10,10.02,25375,0
VNME.US,D,20251017,000000,10,10.05,10,10.05,6644,0
VNME.US,D,20251020,000000,10,10.02,10,10,5366,0
VNME.US,D,20251022,000000,10,10.02,9.99,10.02,1796,0
VNME.US,D,20251023,000000,9.94,9.98,9.94,9.98,1186,0
VNME.US,D,20251024,000000,10,10.02,10,10.02,242042,0
VNME.US,D,20251027,000000,9.97,10.01,9.97,10,10406,0
VNME.US,D,20251028,000000,10.01,10.02,9.99,10.02,68552,0
VNME.US,D,20251029,000000,10.01,10.02,10.01,10.02,50164,0
VNME.US,D,20251030,000000,10.02,10.05,10.0158,10.05,39882,0
VNME.US,D,20251031,000000,10.02,10.05,10.02,10.02,10455,0
VNME.US,D,20251103,000000,10.01,10.02,10.01,10.02,1887,0
VNME.US,D,20251105,000000,10.02,10.02,9.997,10.02,15875,0
