<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WHLR.US,D,20121119,000000,111285300,111285300,97927200,106828400,0.000207744,0
WHLR.US,D,20121120,000000,111109600,120190700,108613400,108796800,0.00185348,0
WHLR.US,D,20121121,000000,110387200,110387200,108533600,108972500,0.000120094,0
WHLR.US,D,20121123,000000,109499600,109499600,106828400,106828400,0.000233124,0
WHLR.US,D,20121126,000000,106656200,106828400,101489500,105770000,0.00118943,0
WHLR.US,D,20121127,000000,106656200,106828400,104073200,104164900,0.000552852,0
WHLR.US,D,20121128,000000,106828400,106828400,103640600,106828400,0.000214024,0
WHLR.US,D,20121129,000000,106511300,106828400,103285700,106465100,0.000491366,0
WHLR.US,D,20121130,000000,103285700,106828400,103285700,106828400,0.000367608,0
WHLR.US,D,20121203,000000,107008300,107008300,103285700,105586600,0.000352171,0
WHLR.US,D,20121204,000000,110387200,110387200,103285700,106828400,0.00119649,0
WHLR.US,D,20121205,000000,111285300,111285300,103285700,104336400,0.000368655,0
WHLR.US,D,20121206,000000,106828400,107008300,103285700,103285700,0.00101072,0
WHLR.US,D,20121207,000000,106278200,106278200,106278200,106278200,0.000010989,0
WHLR.US,D,20121210,000000,106656200,106828400,104164900,105223300,0.000800628,0
WHLR.US,D,20121211,000000,106656200,107187500,105770000,105770000,0.000266614,0
WHLR.US,D,20121212,000000,105586600,105586600,103446000,104164900,0.000345892,0
WHLR.US,D,20121213,000000,104336400,104336400,103285700,103614700,0.00220199,0
WHLR.US,D,20121214,000000,103980800,103980800,103285700,103817000,0.00100863,0
WHLR.US,D,20121217,000000,103446000,105586600,103285700,103285700,0.000594453,0
WHLR.US,D,20121218,000000,103817000,109148900,103285700,103285700,0.00064338,0
WHLR.US,D,20121219,000000,104336400,110566400,103285700,105945700,0.000524856,0
WHLR.US,D,20121220,000000,103285700,106122100,103285700,105051100,0.000866824,0
WHLR.US,D,20121221,000000,105051100,106828400,103285700,103285700,0.00075955,0
WHLR.US,D,20121224,000000,103446000,103446000,103446000,103446000,0.0000225013,0
WHLR.US,D,20121227,000000,104210400,114274300,104210400,106014300,0.0006528,0
WHLR.US,D,20121228,000000,122908100,122908100,104210400,106197700,0.00055259,0
WHLR.US,D,20121231,000000,104210400,119024500,104210400,110685400,0.000867085,0
WHLR.US,D,20130102,000000,111766900,114093700,105299600,110685400,0.0012776,0
WHLR.US,D,20130103,000000,109072600,109072600,106374100,107807000,0.000066719,0
WHLR.US,D,20130104,000000,109427500,109610900,107452100,107452100,0.00137179,0
WHLR.US,D,20130107,000000,107271500,108342500,105475300,108342500,0.000316588,0
WHLR.US,D,20130108,000000,108162600,109240600,107807000,107807000,0.000296965,0
WHLR.US,D,20130109,000000,108162600,112298200,105299600,107830100,0.000677394,0
WHLR.US,D,20130110,000000,107990400,107990400,106993600,107452100,0.000532705,0
WHLR.US,D,20130111,000000,108537100,108712800,108537100,108712800,0.000010989,0
WHLR.US,D,20130114,000000,109244100,109244100,108166100,108166100,0.000113553,0
WHLR.US,D,20130115,000000,112046200,112046200,107990400,107990400,0.000197802,0
WHLR.US,D,20130116,000000,108712800,111232100,107990400,111232100,0.000178179,0
WHLR.US,D,20130117,000000,111587000,111587000,108162600,108162600,0.000211669,0
WHLR.US,D,20130118,000000,111399400,111399400,108712800,108712800,0.0000714286,0
WHLR.US,D,20130122,000000,109427500,109427500,108346000,108346000,0.000333595,0
WHLR.US,D,20130123,000000,109244100,111399400,108892700,109072600,0.000578755,0
WHLR.US,D,20130124,000000,108346000,110322100,108346000,108537100,0.0000727368,0
WHLR.US,D,20130125,000000,109244100,111040300,108346000,108712800,0.000414704,0
WHLR.US,D,20130128,000000,110868100,110868100,108712800,108712800,0.00045709,0
WHLR.US,D,20130129,000000,109427500,110505500,108162600,108892700,0.000835165,0
WHLR.US,D,20130130,000000,110429200,110784100,109699100,109882500,0.000649398,0
WHLR.US,D,20130131,000000,110975900,110975900,108976700,108976700,0.000153584,0
WHLR.US,D,20130201,000000,109706800,110784100,108437700,109343500,0.00081842,0
WHLR.US,D,20130204,000000,110784100,111139700,109053000,110245100,0.000447933,0
WHLR.US,D,20130205,000000,110245100,110245100,109706800,109706800,0.000324961,0
WHLR.US,D,20130206,000000,109163600,110784100,108621100,108621100,0.000800105,0
WHLR.US,D,20130207,000000,108804500,108804500,108804500,108804500,0.0000170068,0
WHLR.US,D,20130208,000000,110245100,110245100,108804500,108804500,0.000878074,0
WHLR.US,D,20130211,000000,109163600,110245100,109163600,109163600,0.000887494,0
WHLR.US,D,20130212,000000,110054000,110245100,109163600,109511500,0.000473051,0
WHLR.US,D,20130213,000000,108976700,109511500,108976700,109343500,0.000175824,0
WHLR.US,D,20130214,000000,109706800,110054000,109343500,109343500,0.000161957,0
WHLR.US,D,20130215,000000,109706800,110245100,109343500,110245100,0.000196494,0
WHLR.US,D,20130219,000000,110054000,110245100,109882500,110245100,0.000374411,0
WHLR.US,D,20130220,000000,110245100,110245100,109882500,109886000,0.000481423,0
WHLR.US,D,20130221,000000,109511500,110054000,108804500,108804500,0.00078336,0
WHLR.US,D,20130222,000000,110245100,110245100,108437700,108804500,0.00124751,0
