<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNKD.US,D,20250220,000000,26.7929,26.7929,25.07,26.7929,204,0
BNKD.US,D,20250224,000000,28.24,28.5,28.24,28.5,489,0
BNKD.US,D,20250226,000000,29.34,29.34,29.2511,29.2511,269,0
BNKD.US,D,20250305,000000,33.385,33.385,32.43,32.43,907,0
BNKD.US,D,20250306,000000,35.19,35.19,34.6887,34.6887,258,0
BNKD.US,D,20250307,000000,36.43,36.55,35.1874,35.1874,459,0
BNKD.US,D,20250310,000000,38.63,41.2,38.63,40.26,4309,0
BNKD.US,D,20250311,000000,39.56,40.8,39.56,40.6241,602,0
BNKD.US,D,20250312,000000,39.89,39.89,39.6462,39.6462,562,0
BNKD.US,D,20250314,000000,38.41,38.41,37.198,37.198,1131,0
BNKD.US,D,20250317,000000,36.68,36.68,35.9455,35.9455,283,0
BNKD.US,D,20250319,000000,35.66,35.66,34.14,34.4974,842,0
BNKD.US,D,20250320,000000,34.33,34.4162,34.33,34.4162,302,0
BNKD.US,D,20250327,000000,33.4281,33.4832,33.4281,33.4832,288,0
BNKD.US,D,20250328,000000,35.095,36.15,35.095,36.15,6207,0
BNKD.US,D,20250331,000000,36.74,36.83,34.7811,34.7811,17313,0
BNKD.US,D,20250401,000000,35.38,35.53,35.38,35.53,2730,0
BNKD.US,D,20250402,000000,35.4,35.4,33.5341,33.5341,2879,0
BNKD.US,D,20250403,000000,39.81,42.92,39.07,42.92,14617,0
BNKD.US,D,20250404,000000,49.64,51.8,48.56,51.7009,7210,0
BNKD.US,D,20250407,000000,56.4,56.76,49.9957,49.9957,4002,0
BNKD.US,D,20250408,000000,44.62,52.51,44.62,50.8982,3147,0
BNKD.US,D,20250409,000000,53.07,54.51,36.77,37.794,2909,0
BNKD.US,D,20250410,000000,42.0748,44.65,42,43.9761,2445,0
BNKD.US,D,20250411,000000,45.28,45.28,40.615,40.8486,4347,0
BNKD.US,D,20250414,000000,38.9345,40,38.9345,39.7861,945,0
BNKD.US,D,20250415,000000,37.83,38.5117,37.83,38.5117,754,0
BNKD.US,D,20250416,000000,41.75,41.7799,40.9595,40.9595,495,0
BNKD.US,D,20250417,000000,38.72,39.5132,38.72,39.5132,703,0
BNKD.US,D,20250421,000000,41.38,42.27,41.38,41.4125,761,0
BNKD.US,D,20250422,000000,38.53,38.53,37.3964,37.3964,1116,0
BNKD.US,D,20250423,000000,32,35.1558,32,35.1558,1005,0
BNKD.US,D,20250424,000000,34.71,34.71,33.0134,33.0134,487,0
BNKD.US,D,20250428,000000,32.28,33.1958,32.28,32.8556,542,0
BNKD.US,D,20250429,000000,32.17,32.17,31.9864,31.9864,180,0
BNKD.US,D,20250501,000000,31.5701,31.6801,31.45,31.45,587,0
BNKD.US,D,20250505,000000,28.8301,29.2971,28.61,29.2971,1296,0
BNKD.US,D,20250512,000000,25.08,25.2614,25.08,25.2614,352,0
BNKD.US,D,20250514,000000,23.84,23.84,23.6689,23.6689,496,0
BNKD.US,D,20250529,000000,24.43,24.43,24.2401,24.2401,130,0
BNKD.US,D,20250530,000000,24.34,24.34,24.2627,24.2627,130,0
BNKD.US,D,20250602,000000,24.53,24.53,24.3148,24.3148,277,0
BNKD.US,D,20250609,000000,22.47,22.7279,22.46,22.7279,8016,0
BNKD.US,D,20250620,000000,22.31,22.31,22.2075,22.2075,205,0
BNKD.US,D,20250624,000000,20.65,20.7264,20.65,20.7264,110,0
BNKD.US,D,20250625,000000,20.73,20.859,20.3175,20.3175,214,0
BNKD.US,D,20250626,000000,19.721,19.721,19.4839,19.4839,9240,0
BNKD.US,D,20250627,000000,19.67,19.67,19.4187,19.4187,6702,0
BNKD.US,D,20250630,000000,19.2,19.2,18.96,19.0149,564,0
BNKD.US,D,20250701,000000,19.106,19.106,18.4205,18.4205,110,0
BNKD.US,D,20250707,000000,17.5185,17.8,17.51,17.5803,1412,0
BNKD.US,D,20250708,000000,18.141,18.2847,18.141,18.2847,247,0
BNKD.US,D,20250710,000000,17.8,17.99,17.791,17.8239,617,0
BNKD.US,D,20250711,000000,18.125,18.18,18.08,18.0898,977,0
BNKD.US,D,20250714,000000,17.71,17.71,17.6473,17.6473,220,0
BNKD.US,D,20250716,000000,18.3,18.373,18.3,18.373,806,0
BNKD.US,D,20250717,000000,18.08,18.08,17.63,17.6375,367,0
BNKD.US,D,20250718,000000,17.44,17.44,17.2701,17.2701,379,0
BNKD.US,D,20250721,000000,16.92,17.3625,16.92,17.3625,388,0
BNKD.US,D,20250729,000000,16.5694,16.5694,16.4243,16.4243,369,0
BNKD.US,D,20250730,000000,16.24,16.35,16.08,16.3487,1295,0
BNKD.US,D,20250731,000000,16.83,17.0008,16.83,17.0008,161,0
BNKD.US,D,20250804,000000,17.65,17.65,17.4996,17.4996,367,0
BNKD.US,D,20250805,000000,17.89,17.89,17.67,17.7152,340,0
BNKD.US,D,20250807,000000,17.89,18.0296,17.89,18.0296,135,0
BNKD.US,D,20250813,000000,16.24,16.7777,16.24,16.4793,483,0
BNKD.US,D,20250815,000000,16.7331,17.009,16.7331,17.0039,559,0
BNKD.US,D,20250819,000000,16.8405,16.97,16.6,16.8557,20058,0
BNKD.US,D,20250822,000000,15.59,15.63,15.521,15.6151,787,0
BNKD.US,D,20250827,000000,14.7,14.7491,14.7,14.7491,169,0
BNKD.US,D,20250828,000000,14.77,14.77,14.7282,14.7282,5426,0
BNKD.US,D,20250829,000000,14.9241,14.9241,14.73,14.7584,324,0
BNKD.US,D,20250902,000000,15.05,15.6,15.05,15.1726,2279,0
BNKD.US,D,20250903,000000,15.2292,15.61,15.16,15.2812,2547,0
BNKD.US,D,20250904,000000,14.751,14.785,14.5727,14.5727,1647,0
BNKD.US,D,20250905,000000,14.39,15.6,14.39,15.5224,1448,0
BNKD.US,D,20250909,000000,15.19,15.19,14.8421,14.8421,326,0
BNKD.US,D,20250916,000000,14.67,14.67,14.3889,14.3889,414,0
BNKD.US,D,20250917,000000,14.09,14.09,13.8751,13.8751,258,0
BNKD.US,D,20250918,000000,13.46,13.46,13.3929,13.3929,588,0
BNKD.US,D,20250919,000000,13.42,13.42,13.1981,13.1981,336,0
BNKD.US,D,20250923,000000,13.4489,13.4489,13.398,13.398,310,0
BNKD.US,D,20250925,000000,13.5855,13.75,13.5433,13.5433,1497,0
BNKD.US,D,20251001,000000,14.18,14.3693,14.1,14.3693,553,0
BNKD.US,D,20251002,000000,14.6,14.6169,14.6,14.6169,319,0
BNKD.US,D,20251003,000000,14.31,14.3528,14.2,14.3528,1361,0
BNKD.US,D,20251006,000000,14.4,14.4,14.3737,14.3737,112,0
BNKD.US,D,20251008,000000,14.72,14.988,14.57,14.988,885,0
BNKD.US,D,20251010,000000,14.89,16.058,14.638,16.058,6149,0
BNKD.US,D,20251014,000000,14.7234,14.7234,14.45,14.5266,916,0
BNKD.US,D,20251015,000000,13.95,14.1045,13.95,14.1045,208,0
BNKD.US,D,20251016,000000,14.122,15.26,14.122,15.0051,4605,0
BNKD.US,D,20251017,000000,14.89,15.37,14.89,15.0183,13577,0
BNKD.US,D,20251020,000000,14.411,14.65,14.01,14.0957,8621,0
BNKD.US,D,20251021,000000,14.031,14.38,14.031,14.38,1599,0
BNKD.US,D,20251022,000000,14.89,14.92,14.8465,14.8465,1554,0
BNKD.US,D,20251023,000000,14.66,14.7,14.58,14.612,5519,0
BNKD.US,D,20251027,000000,13.535,13.54,13.5225,13.5225,1153,0
BNKD.US,D,20251028,000000,13.49,13.64,13.41,13.54,3132,0
BNKD.US,D,20251029,000000,13.56,13.9573,13.56,13.9573,204,0
BNKD.US,D,20251030,000000,13.47,13.7008,13.44,13.7008,511,0
BNKD.US,D,20251031,000000,13.66,13.66,13.493,13.493,526,0
BNKD.US,D,20251103,000000,13.68,13.68,13.57,13.5839,460,0
BNKD.US,D,20251104,000000,13.31,13.5909,13.31,13.5909,674,0
BNKD.US,D,20251105,000000,13.76,13.76,13.34,13.34,642,0
