<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAUC.US,D,20250613,000000,15.35,15.42,14.67,15.35,76089,0
AAUC.US,D,20250616,000000,15.5,15.785,15,15.03,90424,0
AAUC.US,D,20250617,000000,14.85,14.95,13.83,14.11,105597,0
AAUC.US,D,20250618,000000,14.02,14.28,13.74,13.8,114863,0
AAUC.US,D,20250620,000000,13.79,14.03,13.74,13.86,220393,0
AAUC.US,D,20250623,000000,13.88,14.38,13.72,13.89,148117,0
AAUC.US,D,20250624,000000,13.9,13.9,13.05,13.45,51417,0
AAUC.US,D,20250625,000000,13.4,13.63,13.33,13.48,23956,0
AAUC.US,D,20250626,000000,13.52,13.63,13.415,13.63,11640,0
AAUC.US,D,20250627,000000,13.4,13.41,13.08,13.25,20209,0
AAUC.US,D,20250630,000000,13.38,13.64,13.21,13.52,77548,0
AAUC.US,D,20250701,000000,13.7498,13.825,13.58,13.66,17028,0
AAUC.US,D,20250702,000000,13.73,13.83,13.355,13.6,38089,0
AAUC.US,D,20250703,000000,13.68,13.68,13.4309,13.57,68336,0
AAUC.US,D,20250707,000000,13.73,14.05,13.48,14.05,35004,0
AAUC.US,D,20250708,000000,14.05,14.05,12.84,13.15,114811,0
AAUC.US,D,20250709,000000,13.02,13.42,13.02,13.38,35418,0
AAUC.US,D,20250710,000000,13.38,13.44,13.11,13.25,48616,0
AAUC.US,D,20250711,000000,13.34,13.7241,13.34,13.57,41092,0
AAUC.US,D,20250714,000000,13.62,13.85,13.415,13.47,79900,0
AAUC.US,D,20250715,000000,13.38,13.51,12.89,13.2,55828,0
AAUC.US,D,20250716,000000,12.89,14.36,12.8567,13.27,163520,0
AAUC.US,D,20250717,000000,12.882,13.16,12.78,13.1,56682,0
AAUC.US,D,20250718,000000,13.27,13.57,12.99,13.52,71272,0
AAUC.US,D,20250721,000000,13.771,14.12,13.67,13.91,117755,0
AAUC.US,D,20250722,000000,13.92,14.19,13.85,14.16,67618,0
AAUC.US,D,20250723,000000,14.02,14.15,13.66,13.78,68395,0
AAUC.US,D,20250724,000000,13.69,13.8435,13.5,13.55,62486,0
AAUC.US,D,20250725,000000,13.38,13.395,13.055,13.34,27225,0
AAUC.US,D,20250728,000000,13.21,13.3,12.94,12.99,86627,0
AAUC.US,D,20250729,000000,12.96,13.15,12.85,13.11,15831,0
AAUC.US,D,20250730,000000,12.87,13.05,12.61,12.69,117524,0
AAUC.US,D,20250731,000000,12.71,12.92,12.665,12.89,18145,0
AAUC.US,D,20250801,000000,12.96,13.23,12.86,13.04,63604,0
AAUC.US,D,20250804,000000,13.465,13.91,13.13,13.57,32380,0
AAUC.US,D,20250805,000000,13.49,13.65,13.3,13.49,43390,0
AAUC.US,D,20250806,000000,13.51,13.69,13.42,13.69,77798,0
AAUC.US,D,20250807,000000,13.59,13.74,11.88,12.06,242379,0
AAUC.US,D,20250808,000000,12.2,12.33,11.67,11.72,133738,0
AAUC.US,D,20250811,000000,11.73,11.93,11.55,11.58,155505,0
AAUC.US,D,20250812,000000,11.65,12.03,11.4,11.91,90756,0
AAUC.US,D,20250813,000000,11.88,12.17,11.65,12.03,66353,0
AAUC.US,D,20250814,000000,12.0535,12.1899,11.92,11.99,310333,0
AAUC.US,D,20250815,000000,12.1111,12.29,11.9,12.22,58323,0
AAUC.US,D,20250818,000000,12.25,13.16,12.25,13.16,656117,0
AAUC.US,D,20250819,000000,13.13,13.175,12.59,12.89,547442,0
AAUC.US,D,20250820,000000,13.01,13.3692,13,13.17,218955,0
AAUC.US,D,20250821,000000,13.16,13.42,13.06,13.1,135518,0
AAUC.US,D,20250822,000000,13.14,13.75,13.05,13.51,113479,0
AAUC.US,D,20250825,000000,13.61,13.79,13.46,13.49,99656,0
AAUC.US,D,20250826,000000,13.5,14,13.5,13.89,504463,0
AAUC.US,D,20250827,000000,13.93,13.95,13.61,13.95,82374,0
AAUC.US,D,20250828,000000,14,14.02,13.81,13.85,169314,0
AAUC.US,D,20250829,000000,13.9,14.03,13.78,14,74176,0
AAUC.US,D,20250902,000000,14.06,14.3291,13.78,14.18,98331,0
AAUC.US,D,20250903,000000,14.49,14.6699,14.23,14.46,116680,0
AAUC.US,D,20250904,000000,14.37,14.37,14.007,14.25,71288,0
AAUC.US,D,20250905,000000,14.545,15.09,14.4,15.02,153590,0
AAUC.US,D,20250908,000000,15.37,15.57,14.93,15.52,222771,0
AAUC.US,D,20250909,000000,15.45,15.65,15,15.12,157005,0
AAUC.US,D,20250910,000000,15.2285,15.55,15.01,15.49,147663,0
AAUC.US,D,20250911,000000,15.27,15.61,15.17,15.55,205143,0
AAUC.US,D,20250912,000000,15.46,15.59,15.42,15.49,609339,0
AAUC.US,D,20250915,000000,15.5,15.79,15.48,15.73,161892,0
AAUC.US,D,20250916,000000,16,16,15.077,15.1,139717,0
AAUC.US,D,20250917,000000,15.0197,15.475,14.84,15.07,131656,0
AAUC.US,D,20250918,000000,15.26,15.6,14.68,15.43,141072,0
AAUC.US,D,20250919,000000,15.6034,16,15.5,15.8,538767,0
AAUC.US,D,20250922,000000,15.92,16.66,15.8,16.65,154126,0
AAUC.US,D,20250923,000000,17,17.29,16.86,17.19,194163,0
AAUC.US,D,20250924,000000,17.15,17.5,16.72,16.91,148211,0
AAUC.US,D,20250925,000000,16.9,17.0677,16.55,16.89,121514,0
AAUC.US,D,20250926,000000,17,17.17,16.7308,17.06,63066,0
AAUC.US,D,20250929,000000,17.41,17.68,17.09,17.51,175401,0
AAUC.US,D,20250930,000000,17.45,17.8,17.3,17.51,91999,0
AAUC.US,D,20251001,000000,17.68,18,17.54,17.59,126630,0
