<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALH.US,D,20251009,000000,24.5,25.24,23.5,24.82,14698200,0
ALH.US,D,20251010,000000,24.24,25.33,24.19,24.99,2043900,0
ALH.US,D,20251013,000000,24.77,25.72,24,25.4,2188275,0
ALH.US,D,20251014,000000,25.085,26.315,24.5,25.88,3119585,0
ALH.US,D,20251015,000000,25.62,26,25.085,25.6,4891524,0
ALH.US,D,20251016,000000,25.21,26.02,25.135,25.19,993384,0
ALH.US,D,20251017,000000,24.51,25.545,24.41,24.66,1345559,0
ALH.US,D,20251020,000000,24.66,25.13,24.18,25.05,801722,0
ALH.US,D,20251021,000000,24.775,25.76,24.08,25.65,1039223,0
ALH.US,D,20251022,000000,25.16,26.84,25.16,26.63,1036958,0
ALH.US,D,20251023,000000,26.42,26.81,25.83,26.05,586326,0
ALH.US,D,20251024,000000,26.35,26.88,26,26.51,683930,0
ALH.US,D,20251027,000000,26.315,26.735,26.195,26.32,577825,0
ALH.US,D,20251028,000000,25.9603,26.99,25.5228,26.93,486927,0
ALH.US,D,20251029,000000,26.99,27,26.095,26.26,319214,0
ALH.US,D,20251030,000000,26.37,26.675,25.96,26.3,277945,0
ALH.US,D,20251031,000000,26.1,26.58,25.75,26.5,668592,0
ALH.US,D,20251103,000000,26.5,26.9,25.99,26.84,504511,0
ALH.US,D,20251104,000000,26.95,26.98,26.01,26.71,503607,0
ALH.US,D,20251105,000000,26.9,27.325,26.11,26.75,361001,0
