<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLST.US,D,20250623,000000,25.07,25.1,25.05,25.05,4249,0
BLST.US,D,20250624,000000,25.05,25.17,25.03,25.092,2599062,0
BLST.US,D,20250625,000000,25.04,25.05,25.02,25.04,335569,0
BLST.US,D,20250626,000000,25.08,25.1,25.06,25.0993,100046,0
BLST.US,D,20250627,000000,25.07,25.1,25.06,25.06,75113,0
BLST.US,D,20250630,000000,25.1,25.12,25.087,25.1093,44271,0
BLST.US,D,20250701,000000,25.09,25.12,25,25.0803,34308,0
BLST.US,D,20250702,000000,25.06,25.09,25.06,25.08,48398,0
BLST.US,D,20250703,000000,25.05,25.06,25.05,25.055,7178,0
BLST.US,D,20250707,000000,25.04,25.04,25.01,25.03,26130,0
BLST.US,D,20250708,000000,25.01,25.01,25,25.0005,18288,0
BLST.US,D,20250709,000000,25.03,25.06,25.03,25.055,33123,0
BLST.US,D,20250710,000000,25.05,25.069,25.04,25.05,40068,0
BLST.US,D,20250711,000000,25.04,25.04,25.01,25.02,45600,0
BLST.US,D,20250714,000000,25.04,25.04,25.0151,25.03,22589,0
BLST.US,D,20250715,000000,24.99,24.99,24.98,24.985,22965,0
BLST.US,D,20250716,000000,25.01,25.03,24.99,25.02,38091,0
BLST.US,D,20250717,000000,25.0233,25.03,25.01,25.015,11656,0
BLST.US,D,20250718,000000,25.05,25.07,25.05,25.055,30393,0
BLST.US,D,20250721,000000,25.1,25.11,25.09,25.1,36728,0
BLST.US,D,20250722,000000,25.1,25.12,25.07,25.11,44053,0
BLST.US,D,20250723,000000,25.09,25.1,25.0701,25.08,21131,0
BLST.US,D,20250724,000000,25.044,25.08,25.044,25.065,7337,0
BLST.US,D,20250725,000000,25.09,25.1,25.0601,25.09,65013,0
BLST.US,D,20250728,000000,25.08,25.17,25.0621,25.08,175711,0
BLST.US,D,20250729,000000,25.1,25.15,25.1,25.15,33130,0
BLST.US,D,20250730,000000,25.04,25.07,25.02,25.039,21888,0
BLST.US,D,20250731,000000,25.06,25.07,25.01,25.04,79974,0
BLST.US,D,20250801,000000,25.16,25.19,25.1393,25.19,14472,0
BLST.US,D,20250804,000000,25.19,25.22,25.19,25.22,32888,0
BLST.US,D,20250805,000000,25.19,25.209,25.19,25.209,12432,0
BLST.US,D,20250806,000000,25.1902,25.214,25.1792,25.21,24345,0
BLST.US,D,20250807,000000,25.21,25.228,25.18,25.1997,5425,0
BLST.US,D,20250808,000000,25.17,25.18,25.165,25.165,13678,0
BLST.US,D,20250811,000000,25.17,25.2,25.17,25.1799,131058,0
BLST.US,D,20250812,000000,25.17,25.2,25.17,25.1896,39303,0
BLST.US,D,20250813,000000,25.2236,25.25,25.22,25.245,25297,0
BLST.US,D,20250814,000000,25.22,25.22,25.2,25.2,27257,0
BLST.US,D,20250815,000000,25.22,25.22,25.18,25.181,20083,0
BLST.US,D,20250818,000000,25.19,25.2,25.17,25.19,19126,0
BLST.US,D,20250819,000000,25.2,25.21,25.19,25.21,32102,0
BLST.US,D,20250820,000000,25.19,25.23,25.15,25.2119,20648,0
BLST.US,D,20250821,000000,25.18,25.18,25.16,25.18,28520,0
BLST.US,D,20250822,000000,25.26,25.27,25.26,25.2609,12323,0
BLST.US,D,20250825,000000,25.24,25.26,25.22,25.25,20890,0
BLST.US,D,20250826,000000,25.26,25.28,25.25,25.275,12528,0
BLST.US,D,20250827,000000,25.26,25.3,25.26,25.3,8331,0
BLST.US,D,20250828,000000,25.49,25.49,25.22,25.2261,5302,0
BLST.US,D,20250829,000000,25.2277,25.24,25.2202,25.23,13205,0
BLST.US,D,20250902,000000,25.19,25.2,25.18,25.1905,5188,0
BLST.US,D,20250903,000000,25.21,25.25,25.21,25.25,10860,0
BLST.US,D,20250904,000000,25.2742,25.29,25.2723,25.29,2127,0
BLST.US,D,20250905,000000,25.3797,25.38,25.355,25.355,12394,0
BLST.US,D,20250908,000000,25.377,25.39,25.37,25.39,1873,0
BLST.US,D,20250909,000000,25.39,25.39,25.34,25.365,15074,0
BLST.US,D,20250910,000000,25.3764,25.39,25.3764,25.385,3849,0
BLST.US,D,20250911,000000,25.41,25.41,25.39,25.4,8023,0
BLST.US,D,20250912,000000,25.36,25.39,25.36,25.38,9645,0
BLST.US,D,20250915,000000,25.39,25.42,25.39,25.41,30137,0
BLST.US,D,20250916,000000,25.43,25.43,25.4054,25.42,19202,0
BLST.US,D,20250917,000000,25.42,25.47,25.39,25.3934,15966,0
BLST.US,D,20250918,000000,25.34,25.38,25.34,25.3658,23436,0
BLST.US,D,20250919,000000,25.38,25.38,25.35,25.37,23123,0
BLST.US,D,20250922,000000,25.36,25.3624,25.3476,25.3483,2104,0
BLST.US,D,20250923,000000,25.37,25.39,25.3525,25.3622,8848,0
BLST.US,D,20250924,000000,25.3599,25.36,25.33,25.34,14191,0
BLST.US,D,20250925,000000,25.31,25.31,25.29,25.305,7478,0
BLST.US,D,20250926,000000,25.33,25.33,25.3,25.325,14598,0
BLST.US,D,20250929,000000,25.27,25.29,25.27,25.27,20256,0
BLST.US,D,20250930,000000,25.29,25.3065,25.28,25.28,15280,0
BLST.US,D,20251001,000000,25.325,25.33,25.29,25.32,14937,0
BLST.US,D,20251002,000000,25.32,25.35,25.32,25.35,16102,0
BLST.US,D,20251003,000000,25.34,25.34,25.32,25.3249,7738,0
BLST.US,D,20251006,000000,25.305,25.31,25.3,25.31,8771,0
BLST.US,D,20251007,000000,25.305,25.34,25.305,25.33,15941,0
BLST.US,D,20251008,000000,25.34,25.34,25.3145,25.33,43468,0
BLST.US,D,20251009,000000,25.3035,25.31,25.29,25.31,10838,0
BLST.US,D,20251010,000000,25.3441,25.38,25.34,25.3589,9876,0
BLST.US,D,20251013,000000,25.3545,25.41,25.35,25.41,5595,0
