<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CFND.US,D,20250807,000000,9.75,9.78,9.2,9.3,1385732,0
CFND.US,D,20250808,000000,9.32,9.68,9.3,9.67,413407,0
CFND.US,D,20250811,000000,9.67,9.67,9.34,9.35,428836,0
CFND.US,D,20250812,000000,9.3,9.39,8.96,9.15,397239,0
CFND.US,D,20250813,000000,9.165,9.26,8.77,8.84,239688,0
CFND.US,D,20250814,000000,8.825,8.86,8.71,8.78,133029,0
CFND.US,D,20250815,000000,8.935,9.17,8.77,8.83,47327,0
CFND.US,D,20250818,000000,8.75,8.8,8.36,8.48,95406,0
CFND.US,D,20250819,000000,8.52,8.68,8.31,8.37,69241,0
CFND.US,D,20250820,000000,8.261,8.388,8.21,8.22,102037,0
CFND.US,D,20250821,000000,8.3,8.4,8.2,8.31,37354,0
CFND.US,D,20250822,000000,8.45,8.55,8.3,8.4,85925,0
CFND.US,D,20250825,000000,8.4,8.65,8.39,8.45,62357,0
CFND.US,D,20250826,000000,8.49,8.85,8.44,8.72,36611,0
CFND.US,D,20250827,000000,8.7,8.75,8.65,8.69,14379,0
CFND.US,D,20250828,000000,8.65,8.7443,8.5,8.7,55213,0
CFND.US,D,20250829,000000,8.74,8.75,8.45,8.51,36063,0
CFND.US,D,20250902,000000,8.47,9.01,8.47,8.76,33964,0
CFND.US,D,20250903,000000,8.86,9,8.75,8.78,40179,0
CFND.US,D,20250904,000000,8.75,8.825,8.63,8.76,28553,0
CFND.US,D,20250905,000000,8.702,8.83,8.655,8.66,10827,0
CFND.US,D,20250908,000000,8.81,8.85,8.61,8.63,24083,0
CFND.US,D,20250909,000000,8.6,8.65,8.16,8.29,91531,0
CFND.US,D,20250910,000000,8.3,8.4,8.2512,8.26,19665,0
CFND.US,D,20250911,000000,8.26,8.45,8.12,8.17,44839,0
CFND.US,D,20250912,000000,8.17,8.2,7.81,8,150845,0
CFND.US,D,20250915,000000,8,8.08,7.9,8.07,26257,0
CFND.US,D,20250916,000000,8.0008,8.05,7.58,7.9,81170,0
CFND.US,D,20250917,000000,8,8.5,7.9,8.1,127798,0
CFND.US,D,20250918,000000,8.21,8.6,8.1,8.2,110010,0
CFND.US,D,20250919,000000,8.25,8.48,8.2,8.35,27734,0
CFND.US,D,20250922,000000,8.3101,8.498,8.3,8.36,41311,0
CFND.US,D,20250923,000000,8.45,8.51,8.24,8.3906,59502,0
CFND.US,D,20250924,000000,8.4658,8.53,8.36,8.39,29431,0
CFND.US,D,20250925,000000,8.2515,8.34,8.12,8.33,19755,0
CFND.US,D,20250926,000000,8.23,8.345,8.23,8.28,3807,0
CFND.US,D,20250929,000000,8.2,8.3,8.15,8.29,13842,0
CFND.US,D,20250930,000000,8.15,8.465,8.15,8.15,23968,0
CFND.US,D,20251001,000000,8.2,8.28,8.1,8.28,12023,0
CFND.US,D,20251002,000000,8.2,8.3,8.1,8.23,13701,0
CFND.US,D,20251003,000000,8.25,8.275,8.15,8.16,7522,0
CFND.US,D,20251006,000000,8.21,8.45,8.21,8.375,19361,0
CFND.US,D,20251007,000000,7.69,8.45,7.69,8.19,22684,0
CFND.US,D,20251008,000000,8.2985,8.4,8.1765,8.26,19882,0
CFND.US,D,20251009,000000,8.16,8.2,7.91,8.1,21840,0
CFND.US,D,20251010,000000,8.51,8.6396,8.33,8.38,89436,0
CFND.US,D,20251013,000000,8.45,8.5,8.3,8.36,53454,0
CFND.US,D,20251014,000000,8.41,8.45,8.28,8.28,8479,0
CFND.US,D,20251015,000000,8.3,8.45,8.3,8.39,13369,0
CFND.US,D,20251016,000000,8.4,8.45,7.78,8.11,74540,0
CFND.US,D,20251017,000000,8.05,8.11,7.9,7.9,49372,0
CFND.US,D,20251020,000000,7.955,7.99,7.72,7.77,13718,0
CFND.US,D,20251021,000000,7.8764,7.8962,7.7,7.87,7544,0
CFND.US,D,20251022,000000,7.72,7.835,7.38,7.65,34228,0
CFND.US,D,20251023,000000,7.7,7.7587,7.51,7.63,38240,0
CFND.US,D,20251024,000000,7.6,7.6499,7.53,7.56,11153,0
CFND.US,D,20251027,000000,7.9,7.9,7.61,7.69,26750,0
CFND.US,D,20251028,000000,7.6014,7.65,7.57,7.64,11160,0
CFND.US,D,20251029,000000,7.74,7.74,7.5505,7.65,13522,0
CFND.US,D,20251030,000000,7.5,7.63,7.475,7.55,35028,0
CFND.US,D,20251031,000000,7.75,7.75,7.5,7.55,20026,0
CFND.US,D,20251103,000000,7.56,7.71,7.46,7.46,16916,0
CFND.US,D,20251104,000000,7.41,7.45,7,7.2,44787,0
CFND.US,D,20251105,000000,7.2,7.2492,7.03,7.1,8427,0
