<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FIG.US,D,20250731,000000,90,124.63,84.105,115.5,64409032,0
FIG.US,D,20250801,000000,134.82,142.92,110.11,122,56350629,0
FIG.US,D,20250804,000000,114.285,114.285,88.6,88.6,39710102,0
FIG.US,D,20250805,000000,91.19,94,79,79.08,25581084,0
FIG.US,D,20250806,000000,76.9,91.49,76.65,90.32,28703577,0
FIG.US,D,20250807,000000,86.585,87.88,77.8,78.24,14153660,0
FIG.US,D,20250808,000000,82.57,82.6,78,78.11,7353690,0
FIG.US,D,20250811,000000,78.34,84,78,82.5,8644610,0
FIG.US,D,20250812,000000,85.01,90.69,83.91,87.36,10473600,0
FIG.US,D,20250813,000000,90.96,91,81.05,81.91,8138917,0
FIG.US,D,20250814,000000,81.5,82.94,76,76.31,8133858,0
FIG.US,D,20250815,000000,79,81,76.56,79.42,4685886,0
FIG.US,D,20250818,000000,79.2,80.7499,75.5,76.16,4296767,0
FIG.US,D,20250819,000000,76.42,76.57,68.61,69.41,9025600,0
FIG.US,D,20250820,000000,69.96,75.15,67,74.04,8574041,0
FIG.US,D,20250821,000000,72.775,74.07,71.82,72.76,2786415,0
FIG.US,D,20250822,000000,73.7642,78,72.41,77.3,4151861,0
FIG.US,D,20250825,000000,74.56,75.7,69.61,70.4,6761607,0
FIG.US,D,20250826,000000,70.94,72.2,69.3,70.13,3355410,0
FIG.US,D,20250827,000000,70.5,71.68,68.522,69.88,3915326,0
FIG.US,D,20250828,000000,70.19,72.11,69.31,71.26,3137962,0
FIG.US,D,20250829,000000,70.61,71.4399,68.9,70.28,3420015,0
FIG.US,D,20250902,000000,68.73,68.96,64.5501,65.57,8027796,0
FIG.US,D,20250903,000000,66.7,68.59,65.54,68.13,12276058,0
FIG.US,D,20250904,000000,55.8,57.35,53.2,54.56,29316438,0
FIG.US,D,20250905,000000,52.38,54.96,50.49,54.86,20813802,0
FIG.US,D,20250908,000000,54.17,55.32,52.4,52.47,9662785,0
FIG.US,D,20250909,000000,52.45,53.615,51.43,53.32,7845422,0
FIG.US,D,20250910,000000,53.61,55.21,50.815,51.06,9614213,0
FIG.US,D,20250911,000000,51.04,56.32,51.04,55.96,13224340,0
FIG.US,D,20250912,000000,56.06,56.3,53,53.07,8610960,0
FIG.US,D,20250915,000000,54.67,55.55,52.3,54.12,8938762,0
FIG.US,D,20250916,000000,54.19,55,52.22,53.67,5707469,0
FIG.US,D,20250917,000000,53.72,57.49,53.31,54.78,11400911,0
FIG.US,D,20250918,000000,55.33,58.88,54.663,58.41,12053096,0
FIG.US,D,20250919,000000,59.25,59.49,55.24,56.81,10658524,0
FIG.US,D,20250922,000000,56.685,59.6891,55.3629,58.79,9769227,0
FIG.US,D,20250923,000000,59.59,59.59,56.89,58.13,7677250,0
FIG.US,D,20250924,000000,57.4548,57.7,54.8,55.21,9373614,0
FIG.US,D,20250925,000000,53.88,55.12,52.45,54.39,6701476,0
FIG.US,D,20250926,000000,54,54.39,52.13,52.91,7584527,0
FIG.US,D,20250929,000000,54.08,54.3,52.64,53.15,5645674,0
FIG.US,D,20250930,000000,53.57,54.5,51.34,51.87,7998420,0
FIG.US,D,20251001,000000,51.43,52.29,49.53,50.3,11446288,0
FIG.US,D,20251002,000000,51.25,52.45,51.12,51.91,6991124,0
FIG.US,D,20251003,000000,52.5,56.09,52.33,53.04,11308971,0
FIG.US,D,20251006,000000,53.46,61.75,51.1,56.96,28006335,0
FIG.US,D,20251007,000000,61.6,64.17,58.78,60.84,25145752,0
FIG.US,D,20251008,000000,63.2964,71.48,62.52,71.08,27356464,0
FIG.US,D,20251009,000000,70.1,70.79,67.1481,67.94,11430471,0
FIG.US,D,20251010,000000,69.67,70.4,60.76,61.06,16558790,0
FIG.US,D,20251013,000000,62.995,65.47,61.36,64.28,8221799,0
FIG.US,D,20251014,000000,61.97,62.75,60.4911,60.82,7166674,0
FIG.US,D,20251015,000000,62.22,65.5,60.88,63.82,10656803,0
FIG.US,D,20251016,000000,65.15,67.68,57.43,57.79,16694307,0
FIG.US,D,20251017,000000,57,57.9873,54.1,56.84,7529095,0
FIG.US,D,20251020,000000,58.065,58.58,54,55.71,7895555,0
FIG.US,D,20251021,000000,55.95,57.2499,54.92,55.71,5368193,0
FIG.US,D,20251022,000000,54.72,54.85,51.1,52.81,8750192,0
FIG.US,D,20251023,000000,53.3,53.68,52,53.35,3545840,0
FIG.US,D,20251024,000000,54.5,55.48,53,53.36,4439751,0
FIG.US,D,20251027,000000,54.48,55.27,52.73,53.14,4333207,0
FIG.US,D,20251028,000000,54.12,54.75,51.82,51.89,4810107,0
FIG.US,D,20251029,000000,52.1,52.64,50.206,50.81,5824525,0
FIG.US,D,20251030,000000,50.07,50.42,48.68,48.84,6417380,0
FIG.US,D,20251031,000000,48.47,50.3,46.88,49.84,8198981,0
FIG.US,D,20251103,000000,49.95,50.04,47.43,48.17,8654474,0
FIG.US,D,20251104,000000,46.35,48.69,45.44,45.81,7701246,0
FIG.US,D,20251105,000000,46.115,46.54,43.8,44.01,13930933,0
