<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HEDG.US,D,20251013,000000,28.835,29.4,28.75,28.8325,117763,0
HEDG.US,D,20251014,000000,28.59,28.87,28.59,28.7882,189720,0
HEDG.US,D,20251015,000000,28.943,28.95,28.67,28.78,155787,0
HEDG.US,D,20251016,000000,28.9086,28.93,28.651,28.688,71440,0
HEDG.US,D,20251017,000000,28.74,28.8688,28.6401,28.8459,76096,0
HEDG.US,D,20251020,000000,28.933,29.0499,28.82,28.9374,180938,0
HEDG.US,D,20251021,000000,29,29.03,28.88,28.9706,137206,0
HEDG.US,D,20251022,000000,28.97,29.05,28.7114,28.932,58025,0
HEDG.US,D,20251023,000000,28.8601,29.0899,28.8601,29.045,47633,0
HEDG.US,D,20251024,000000,29.1562,29.1584,28.9819,29.0544,7681,0
HEDG.US,D,20251027,000000,29.125,29.24,29.05,29.15,7155,0
HEDG.US,D,20251028,000000,29.24,29.2681,29.096,29.145,10985,0
HEDG.US,D,20251029,000000,29.1915,29.2799,29.0701,29.1378,193913,0
HEDG.US,D,20251030,000000,29.12,29.16,29.0525,29.1335,5367,0
HEDG.US,D,20251031,000000,29.2181,29.22,29,29.12,20784,0
HEDG.US,D,20251103,000000,29.17,29.2299,29.02,29.155,18349,0
HEDG.US,D,20251104,000000,29.073,29.18,28.9735,29.0514,151234,0
HEDG.US,D,20251105,000000,29.0815,29.2,29.0201,29.17,120293,0
