<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MPL.US,D,20251021,000000,18.1304,18.33,15.45,15.8296,88463,0
MPL.US,D,20251022,000000,15.19,15.6,12.5,13.99,357163,0
MPL.US,D,20251023,000000,14.29,14.29,13.2508,13.39,164321,0
MPL.US,D,20251024,000000,14.01,14.96,13.8,14.21,265355,0
MPL.US,D,20251027,000000,12.82,13,10.91,11.76,522030,0
MPL.US,D,20251028,000000,12.09,12.9388,11.45,11.45,354930,0
MPL.US,D,20251029,000000,12,12.16,11.2401,11.61,243763,0
MPL.US,D,20251030,000000,12.45,12.5,11.2,11.87,581456,0
MPL.US,D,20251031,000000,12,12,10.634,11.23,553358,0
MPL.US,D,20251103,000000,10.9,10.9,9.11,9.26,388219,0
MPL.US,D,20251104,000000,8.62,9.16,8.12,8.37,375969,0
MPL.US,D,20251105,000000,8.45,8.57,8,8.36,126353,0
