<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NPB.US,D,20250214,000000,14.7,14.7,14.5,14.5,2706961,0
NPB.US,D,20250218,000000,14.51,14.75,14.5,14.59,182819,0
NPB.US,D,20250219,000000,14.51,14.57,14.25,14.54,236246,0
NPB.US,D,20250220,000000,14.52,14.98,14.3,14.6,214461,0
NPB.US,D,20250221,000000,14.72,14.72,14.43,14.48,213256,0
NPB.US,D,20250224,000000,14.51,14.625,14.25,14.39,231701,0
NPB.US,D,20250225,000000,14.405,14.48,14.31,14.35,106192,0
NPB.US,D,20250226,000000,14.35,14.43,14.25,14.35,40249,0
NPB.US,D,20250227,000000,14.35,14.48,14.35,14.41,62979,0
NPB.US,D,20250228,000000,14.43,14.54,14.25,14.5,97468,0
NPB.US,D,20250303,000000,14.29,14.5,14.05,14.43,71328,0
NPB.US,D,20250304,000000,14.29,14.29,13.5,14.17,106189,0
NPB.US,D,20250305,000000,13.79,14.285,13.79,14.1,61013,0
NPB.US,D,20250306,000000,13.9,14.165,13.7,13.89,83595,0
NPB.US,D,20250307,000000,13.94,14.29,13.7758,14.01,73698,0
NPB.US,D,20250310,000000,13.975,14.11,13.55,13.63,140360,0
NPB.US,D,20250311,000000,13.685,13.875,13.685,13.75,109394,0
NPB.US,D,20250312,000000,13.75,14.16,13.685,13.89,141596,0
NPB.US,D,20250313,000000,13.72,14.22,13.51,14.17,103625,0
NPB.US,D,20250314,000000,14.22,14.235,13.72,13.89,94137,0
NPB.US,D,20250317,000000,13.875,14.71,13.7918,14.64,200586,0
NPB.US,D,20250318,000000,14.4,14.77,14.11,14.4,151001,0
NPB.US,D,20250319,000000,13.89,14.48,13.66,14.24,82122,0
NPB.US,D,20250320,000000,14.36,14.825,14.26,14.49,148393,0
NPB.US,D,20250321,000000,14.41,14.66,14.41,14.5,734883,0
NPB.US,D,20250324,000000,14.54,14.54,14.2872,14.46,42417,0
NPB.US,D,20250325,000000,14.57,14.61,14.3275,14.58,78562,0
NPB.US,D,20250326,000000,14.685,14.73,14.275,14.29,56363,0
NPB.US,D,20250327,000000,14.2246,14.63,14.13,14.57,71041,0
NPB.US,D,20250328,000000,14.54,14.65,14.36,14.55,109320,0
NPB.US,D,20250331,000000,14.495,14.63,14.42,14.44,107276,0
NPB.US,D,20250401,000000,14.52,14.59,14.205,14.51,78455,0
NPB.US,D,20250402,000000,14.25,14.57,14.24,14.49,110446,0
NPB.US,D,20250403,000000,14.39,14.39,13.77,13.77,136206,0
NPB.US,D,20250404,000000,13.275,13.43,12.66,12.9,172336,0
NPB.US,D,20250407,000000,12.92,13.1,12.43,12.81,85904,0
NPB.US,D,20250408,000000,13.135,13.18,12.73,12.85,71136,0
NPB.US,D,20250409,000000,12.67,13.755,12.55,13.63,71739,0
NPB.US,D,20250410,000000,13.4,13.42,12.6,12.85,63335,0
NPB.US,D,20250411,000000,13.0469,13.0469,12.605,12.71,75683,0
NPB.US,D,20250414,000000,12.73,12.81,12.13,12.29,193854,0
NPB.US,D,20250415,000000,12.25,12.33,12.08,12.28,97733,0
NPB.US,D,20250416,000000,12.12,12.365,11.64,11.87,297814,0
NPB.US,D,20250417,000000,11.84,12.02,11.43,11.75,836391,0
NPB.US,D,20250421,000000,11.7,13.17,11.595,13.13,337516,0
NPB.US,D,20250422,000000,13.07,13.2499,12.76,12.99,115884,0
NPB.US,D,20250423,000000,13.375,14.11,13.33,13.65,99321,0
NPB.US,D,20250424,000000,13.47,13.95,13.47,13.94,110641,0
NPB.US,D,20250425,000000,13.76,14.19,13.71,14.04,57845,0
NPB.US,D,20250428,000000,14.17,14.17,13.8,13.95,38160,0
NPB.US,D,20250429,000000,13.865,14.16,13.81,14,86955,0
NPB.US,D,20250430,000000,14,14,13.61,13.75,69555,0
NPB.US,D,20250501,000000,13.69,14.13,13.51,13.62,76227,0
NPB.US,D,20250502,000000,14,14.05,13.76,14.01,62998,0
NPB.US,D,20250505,000000,13.761,14.03,13.74,13.74,44690,0
NPB.US,D,20250506,000000,13.75,13.77,13.49,13.51,58398,0
NPB.US,D,20250507,000000,13.66,13.66,13.4,13.47,31931,0
NPB.US,D,20250508,000000,13.51,13.73,13.46,13.59,32279,0
NPB.US,D,20250509,000000,13.68,13.75,13.43,13.73,69037,0
NPB.US,D,20250512,000000,13.98,14.2,13.86,14.2,69944,0
NPB.US,D,20250513,000000,14.25,14.295,14.115,14.16,69410,0
NPB.US,D,20250514,000000,14.17,14.29,14.09,14.11,54160,0
NPB.US,D,20250515,000000,14.1,14.18,13.95,14.01,44261,0
NPB.US,D,20250516,000000,13.884,14.09,13.884,13.97,29595,0
NPB.US,D,20250519,000000,13.97,14.04,13.66,14.02,60030,0
NPB.US,D,20250520,000000,13.97,14.05,13.88,13.92,27897,0
NPB.US,D,20250521,000000,13.865,13.885,13.575,13.66,35348,0
NPB.US,D,20250522,000000,13.66,13.66,13.42,13.5,46205,0
NPB.US,D,20250523,000000,13.415,13.5,13.36,13.4,67599,0
NPB.US,D,20250527,000000,13.67,13.67,13.41,13.5,106165,0
NPB.US,D,20250528,000000,13.495,13.645,13.32,13.54,75722,0
NPB.US,D,20250529,000000,13.633,13.633,13.305,13.38,23486,0
NPB.US,D,20250530,000000,13.325,13.445,13.13,13.14,84996,0
NPB.US,D,20250602,000000,13.14,13.18,12.52,12.98,63250,0
NPB.US,D,20250603,000000,13.065,13.25,12.97,13.16,31215,0
NPB.US,D,20250604,000000,13.12,13.24,13.025,13.08,27869,0
NPB.US,D,20250605,000000,12.88,13.105,12.86,12.99,37053,0
NPB.US,D,20250606,000000,13.11,13.25,12.95,13.18,50694,0
NPB.US,D,20250609,000000,13.18,13.31,13.18,13.23,44574,0
NPB.US,D,20250610,000000,13.28,13.555,13.28,13.44,68830,0
NPB.US,D,20250611,000000,13.5,13.51,13.25,13.34,380852,0
NPB.US,D,20250612,000000,13.2,13.59,13.19,13.52,53162,0
NPB.US,D,20250613,000000,13.415,13.43,12.93,12.93,47426,0
NPB.US,D,20250616,000000,13.045,13.19,12.8765,12.96,51574,0
NPB.US,D,20250617,000000,12.86,13.14,12.86,12.89,126888,0
NPB.US,D,20250618,000000,12.985,13.27,12.905,13.01,127626,0
NPB.US,D,20250620,000000,13.135,13.16,12.955,13.07,136962,0
NPB.US,D,20250623,000000,13.8516,13.8516,12.95,13.47,136302,0
NPB.US,D,20250624,000000,13.5,13.775,13.29,13.67,144667,0
NPB.US,D,20250625,000000,13.5944,13.695,13.4822,13.5,64323,0
NPB.US,D,20250626,000000,13.655,14.16,13.525,14.12,179884,0
NPB.US,D,20250627,000000,14.01,14.3,13.805,14.18,1824195,0
NPB.US,D,20250630,000000,14.115,14.22,13.62,13.71,156381,0
NPB.US,D,20250701,000000,13.645,14.3225,13.5401,14.06,130128,0
NPB.US,D,20250702,000000,14.01,14.39,13.87,14.28,145203,0
NPB.US,D,20250703,000000,14.405,14.75,14.4,14.73,142492,0
NPB.US,D,20250707,000000,14.665,14.86,14.52,14.78,134467,0
NPB.US,D,20250708,000000,14.78,15.45,14.68,15.23,369990,0
NPB.US,D,20250709,000000,15.3995,15.5,15.015,15.16,187755,0
NPB.US,D,20250710,000000,15.23,15.4,15.02,15.13,153002,0
NPB.US,D,20250711,000000,14.98,15.3,14.72,14.76,71480,0
NPB.US,D,20250714,000000,14.76,15.11,14.62,15.1,83639,0
NPB.US,D,20250715,000000,15.095,15.095,14.511,14.58,162907,0
NPB.US,D,20250716,000000,14.48,14.56,13.665,14.49,146624,0
NPB.US,D,20250717,000000,14.54,15.015,14.42,14.99,130704,0
NPB.US,D,20250718,000000,14.97,15.16,14.8,14.92,74555,0
NPB.US,D,20250721,000000,14.62,15.12,14.62,14.95,57632,0
NPB.US,D,20250722,000000,14.8,15.02,14.7,14.96,180755,0
NPB.US,D,20250723,000000,14.73,15.205,14.11,14.98,203653,0
NPB.US,D,20250724,000000,14.8101,15.09,14.5101,14.65,94058,0
NPB.US,D,20250725,000000,14.5,14.66,14.25,14.58,69578,0
NPB.US,D,20250728,000000,14.655,15.12,14.57,15.1,115957,0
NPB.US,D,20250729,000000,15.218,15.27,14.62,14.84,307840,0
NPB.US,D,20250730,000000,14.96,14.97,14.72,14.83,131219,0
NPB.US,D,20250731,000000,14.63,14.8,14.5,14.68,110574,0
NPB.US,D,20250801,000000,14.53,14.6,14.275,14.5,280291,0
NPB.US,D,20250804,000000,14.65,15.075,14.42,14.94,115407,0
NPB.US,D,20250805,000000,15.03,15.13,14.655,15.03,187526,0
NPB.US,D,20250806,000000,15.045,15.225,14.78,14.79,103497,0
NPB.US,D,20250807,000000,14.875,14.955,14.49,14.53,104238,0
NPB.US,D,20250808,000000,14.58,14.85,14.5,14.85,91415,0
NPB.US,D,20250811,000000,14.885,14.95,14.685,14.94,63704,0
NPB.US,D,20250812,000000,14.9,15.66,14.9,15.63,197433,0
NPB.US,D,20250813,000000,15.62,16.1,15.62,16.09,199457,0
NPB.US,D,20250814,000000,16.105,16.35,15.98,16.35,220555,0
NPB.US,D,20250815,000000,16.335,16.52,16.04,16.19,308312,0
NPB.US,D,20250818,000000,16.21,16.585,16.172,16.24,294844,0
NPB.US,D,20250819,000000,16.275,16.59,16.26,16.57,154976,0
NPB.US,D,20250820,000000,16.54,16.65,16.41,16.62,165492,0
NPB.US,D,20250821,000000,16.69,16.69,16.405,16.56,78200,0
NPB.US,D,20250822,000000,16.53,17.37,16.51,17.17,285529,0
NPB.US,D,20250825,000000,17.17,17.35,17.08,17.22,191178,0
NPB.US,D,20250826,000000,17.3,17.74,17.22,17.72,251166,0
NPB.US,D,20250827,000000,17.78,17.849,17.64,17.77,162829,0
NPB.US,D,20250828,000000,17.73,17.94,17.39,17.7,133284,0
NPB.US,D,20250829,000000,17.85,17.9,17.56,17.82,156465,0
NPB.US,D,20250902,000000,17.625,18.09,17.44,18,265382,0
NPB.US,D,20250903,000000,18.08,18.16,17.78,18.08,145469,0
NPB.US,D,20250904,000000,18.12,18.7,18.09,18.44,124002,0
NPB.US,D,20250905,000000,18.48,18.67,18.08,18.65,166463,0
NPB.US,D,20250908,000000,18.75,18.78,17.54,18,256914,0
NPB.US,D,20250909,000000,18.02,18.12,17.91,18.02,121428,0
NPB.US,D,20250910,000000,18.02,18.15,17.99,18.13,72762,0
NPB.US,D,20250911,000000,18.315,18.47,18.09,18.45,162735,0
NPB.US,D,20250912,000000,18.4,18.46,17.8915,18.17,186499,0
NPB.US,D,20250915,000000,18.39,18.52,17.79,18.52,213757,0
NPB.US,D,20250916,000000,18.525,18.55,18.18,18.22,191499,0
NPB.US,D,20250917,000000,18.185,18.735,18.15,18.31,255645,0
NPB.US,D,20250918,000000,18.33,18.67,18.21,18.54,282122,0
NPB.US,D,20250919,000000,18.54,18.855,18.04,18.48,375577,0
NPB.US,D,20250922,000000,18.435,18.53,18.1,18.25,280677,0
NPB.US,D,20250923,000000,18.255,18.56,18.03,18.21,253437,0
NPB.US,D,20250924,000000,18.245,18.36,17.555,17.76,111188,0
NPB.US,D,20250925,000000,17.485,17.89,17.485,17.7,70462,0
NPB.US,D,20250926,000000,17.59,18.01,17.59,17.9,110533,0
NPB.US,D,20250929,000000,17.81,17.94,17.14,17.19,56107,0
NPB.US,D,20250930,000000,17.21,17.37,17.0041,17.08,123881,0
NPB.US,D,20251001,000000,16.89,17.25,16.73,17.24,159791,0
NPB.US,D,20251002,000000,17.1,17.4,17,17.39,97951,0
NPB.US,D,20251003,000000,17.6,17.76,17.405,17.52,109618,0
NPB.US,D,20251006,000000,17.14,17.97,17.14,17.85,75992,0
NPB.US,D,20251007,000000,17.626,18.11,16.65,17.51,115035,0
NPB.US,D,20251008,000000,17.64,18.05,17.4,17.56,81362,0
NPB.US,D,20251009,000000,17.465,17.745,17.18,17.4,77812,0
NPB.US,D,20251010,000000,17.37,17.5,16.58,16.65,115062,0
NPB.US,D,20251013,000000,17,17.03,16.6,17.02,100315,0
NPB.US,D,20251014,000000,16.97,17.8003,16.3,17.59,162868,0
NPB.US,D,20251015,000000,17.54,17.67,17.23,17.41,73414,0
