<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NSCI.US,D,20250924,000000,25.03,25.03,25.03,25.03,300100,0
NSCI.US,D,20250925,000000,25.04,25.05,25.04,25.05,395017,0
NSCI.US,D,20250926,000000,25.01,25.02,25.0041,25.015,401172,0
NSCI.US,D,20250930,000000,25.05,25.07,25.05,25.055,150307,0
NSCI.US,D,20251002,000000,25.1,25.1193,25.1,25.105,81062,0
NSCI.US,D,20251006,000000,25.105,25.1197,25.105,25.105,200725,0
NSCI.US,D,20251007,000000,25.11,25.11,25.09,25.11,150378,0
NSCI.US,D,20251008,000000,25.19,25.1902,25.19,25.1902,549,0
NSCI.US,D,20251009,000000,25.115,25.115,25.11,25.11,531,0
NSCI.US,D,20251010,000000,25.14,25.14,25.13,25.13,747,0
NSCI.US,D,20251014,000000,25.1795,25.18,25.1795,25.18,220,0
NSCI.US,D,20251015,000000,25.18,25.18,25.175,25.175,200010,0
NSCI.US,D,20251016,000000,25.18,25.185,25.18,25.185,160000,0
NSCI.US,D,20251017,000000,25.2,25.2,25.2,25.2,214,0
NSCI.US,D,20251023,000000,25.22,25.22,25.215,25.215,200009,0
NSCI.US,D,20251027,000000,25.21,25.22,25.21,25.2101,50183,0
NSCI.US,D,20251028,000000,25.2,25.2,25.2,25.2,200156,0
NSCI.US,D,20251104,000000,25.08,25.09,25.08,25.09,330037,0
