<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCFI.US,D,20250327,000000,25.07,25.0728,25.07,25.0728,250,0
PCFI.US,D,20250328,000000,25.07,25.23,25.0255,25.07,10982,0
PCFI.US,D,20250402,000000,24.84,24.84,24.8312,24.8312,180,0
PCFI.US,D,20250407,000000,24.3499,24.3499,24.02,24.19,4290,0
PCFI.US,D,20250408,000000,24.31,24.31,24.2682,24.2682,106,0
PCFI.US,D,20250409,000000,24.6815,25.02,24.6815,25.02,2036,0
PCFI.US,D,20250410,000000,24.21,24.57,24.205,24.205,722,0
PCFI.US,D,20250414,000000,24.31,24.39,24.31,24.39,102,0
PCFI.US,D,20250422,000000,24.45,24.5342,24.4483,24.4483,452,0
PCFI.US,D,20250423,000000,24.59,24.595,24.41,24.595,1349,0
PCFI.US,D,20250428,000000,24.64,24.7045,24.59,24.7045,303,0
PCFI.US,D,20250501,000000,24.59,24.6,24.5522,24.5522,865,0
PCFI.US,D,20250512,000000,24.8339,24.8914,24.8339,24.8914,444,0
PCFI.US,D,20250530,000000,24.81,24.81,24.7556,24.7556,420,0
PCFI.US,D,20250602,000000,24.79,24.79,24.79,24.79,270,0
PCFI.US,D,20250603,000000,24.81,24.81,24.81,24.81,199,0
PCFI.US,D,20250604,000000,24.81,24.99,24.81,24.83,849,0
PCFI.US,D,20250606,000000,24.8507,24.86,24.8507,24.86,1047,0
PCFI.US,D,20250609,000000,24.83,24.866,24.8299,24.865,1439,0
PCFI.US,D,20250610,000000,24.83,24.83,24.83,24.83,120,0
PCFI.US,D,20250611,000000,24.82,24.82,24.77,24.77,101,0
PCFI.US,D,20250618,000000,24.7595,25.02,24.7595,24.77,3719,0
PCFI.US,D,20250626,000000,24.95,25.15,24.89,25.05,4469,0
PCFI.US,D,20250627,000000,25.17,25.17,25.06,25.06,2205,0
PCFI.US,D,20250701,000000,24.74,24.75,24.74,24.75,1446,0
PCFI.US,D,20250708,000000,24.7,24.875,24.6925,24.7,1811,0
PCFI.US,D,20250710,000000,24.77,24.77,24.77,24.77,164,0
PCFI.US,D,20250714,000000,24.74,24.7967,24.74,24.74,1998,0
PCFI.US,D,20250716,000000,24.87,24.87,24.87,24.87,116,0
PCFI.US,D,20250717,000000,24.8,24.8,24.8,24.8,829,0
PCFI.US,D,20250718,000000,24.7,25.03,24.7,24.8611,10024,0
PCFI.US,D,20250721,000000,24.87,24.89,24.87,24.89,1131,0
PCFI.US,D,20250722,000000,24.86,24.9,24.8599,24.8984,1001,0
PCFI.US,D,20250724,000000,25.06,25.17,24.94,25.01,6047,0
PCFI.US,D,20250725,000000,24.85,25.9,24.85,25.11,3096,0
PCFI.US,D,20250729,000000,24.74,24.8699,24.74,24.8,352,0
PCFI.US,D,20250730,000000,24.83,24.83,24.815,24.815,251,0
PCFI.US,D,20250801,000000,24.62,24.62,24.59,24.59,388,0
PCFI.US,D,20250806,000000,24.66,24.66,24.63,24.63,1002,0
PCFI.US,D,20250807,000000,24.69,24.91,24.6462,24.7215,1214,0
PCFI.US,D,20250811,000000,24.69,24.72,24.69,24.72,862,0
PCFI.US,D,20250812,000000,24.68,24.91,24.68,24.91,2359,0
PCFI.US,D,20250818,000000,24.6324,24.6324,24.6098,24.6098,300,0
PCFI.US,D,20250821,000000,24.66,24.66,24.645,24.645,203,0
PCFI.US,D,20250822,000000,24.7,24.71,24.67,24.67,988,0
PCFI.US,D,20250826,000000,24.73,24.73,24.73,24.73,215,0
PCFI.US,D,20250827,000000,24.78,25.33,24.7799,24.8611,2715,0
PCFI.US,D,20250828,000000,24.73,24.77,24.73,24.77,29741,0
PCFI.US,D,20250829,000000,24.59,24.59,24.59,24.59,440,0
PCFI.US,D,20250902,000000,24.57,24.6196,24.57,24.6196,527,0
PCFI.US,D,20250911,000000,24.53,24.54,24.51,24.51,1225,0
PCFI.US,D,20250916,000000,24.57,24.57,24.57,24.57,141,0
PCFI.US,D,20250922,000000,24.42,24.42,24.36,24.3953,13018,0
PCFI.US,D,20251001,000000,24.3,24.36,24.21,24.36,1112,0
PCFI.US,D,20251003,000000,24.19,24.33,24.19,24.33,713,0
PCFI.US,D,20251006,000000,24.2,24.2498,24.2,24.2498,213,0
PCFI.US,D,20251007,000000,24.2799,24.28,24.22,24.255,1225,0
PCFI.US,D,20251008,000000,24.28,24.31,24.2506,24.26,2071,0
PCFI.US,D,20251010,000000,24.055,24.0551,24.01,24.045,666,0
PCFI.US,D,20251014,000000,24.12,24.12,24.12,24.12,536,0
PCFI.US,D,20251016,000000,24.09,24.12,24.09,24.12,820,0
PCFI.US,D,20251017,000000,24.17,24.195,24.17,24.195,2542,0
PCFI.US,D,20251020,000000,24.21,24.47,24.2099,24.21,470,0
PCFI.US,D,20251022,000000,24.16,24.19,24.1599,24.19,251,0
PCFI.US,D,20251023,000000,24.16,24.1715,24.16,24.1715,4145,0
PCFI.US,D,20251024,000000,24.21,24.42,24.21,24.3445,9264,0
PCFI.US,D,20251027,000000,24.28,24.32,24.28,24.3151,1189,0
PCFI.US,D,20251028,000000,24.5,24.5,24.3967,24.3967,3689,0
PCFI.US,D,20251029,000000,24.205,24.32,24.195,24.247,6048,0
PCFI.US,D,20251030,000000,24.1625,24.32,24.14,24.205,2791,0
PCFI.US,D,20251031,000000,24.06,24.73,24.06,24.145,11393,0
PCFI.US,D,20251103,000000,24.04,24.12,23.9702,24.108,1916,0
PCFI.US,D,20251104,000000,24.09,24.09,24.0595,24.0595,496,0
PCFI.US,D,20251105,000000,24.08,24.08,24,24,888,0
