<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QUIZ.US,D,20250819,000000,25.0627,25.0627,25.0546,25.0546,223,0
QUIZ.US,D,20250821,000000,25.05,25.05,25.04,25.045,700,0
QUIZ.US,D,20250825,000000,25.15,25.15,25.0689,25.0689,597,0
QUIZ.US,D,20250826,000000,24.8169,24.8317,24.8169,24.8317,339,0
QUIZ.US,D,20250903,000000,24.57,24.57,24.55,24.565,477,0
QUIZ.US,D,20250905,000000,24.86,24.86,24.8278,24.8278,425,0
QUIZ.US,D,20250908,000000,25.09,25.09,25.0601,25.0601,383,0
QUIZ.US,D,20250910,000000,25.13,25.13,25.09,25.09,342,0
QUIZ.US,D,20250917,000000,25.28,25.28,25.2208,25.2208,169,0
QUIZ.US,D,20250918,000000,25.3,25.3,25.3,25.3,174,0
QUIZ.US,D,20250930,000000,25.18,28.16,25.18,25.235,835332,0
QUIZ.US,D,20251001,000000,26.36,26.63,24.75,25.5542,299675,0
QUIZ.US,D,20251002,000000,25.66,25.66,25.38,25.53,83133,0
QUIZ.US,D,20251003,000000,25.79,25.84,25.72,25.77,89330,0
QUIZ.US,D,20251006,000000,25.81,25.86,25.8,25.84,10891,0
QUIZ.US,D,20251007,000000,25.6544,25.68,25.53,25.5672,23536,0
QUIZ.US,D,20251008,000000,25.655,25.74,25.61,25.67,10647,0
QUIZ.US,D,20251009,000000,26.94,26.94,25.445,25.4808,7354,0
QUIZ.US,D,20251010,000000,25.33,25.39,24.92,24.92,109873,0
QUIZ.US,D,20251013,000000,25.26,25.32,25.13,25.2,6468,0
QUIZ.US,D,20251014,000000,25.16,25.39,25.1599,25.35,146290,0
QUIZ.US,D,20251015,000000,25.47,25.47,25.305,25.3617,9437,0
QUIZ.US,D,20251016,000000,25.61,25.69,25.5,25.57,10412,0
QUIZ.US,D,20251017,000000,25.43,25.62,25.39,25.5675,94768,0
QUIZ.US,D,20251020,000000,25.64,25.87,25.64,25.8264,68316,0
QUIZ.US,D,20251021,000000,27.1,27.1,25.44,25.5519,51988,0
QUIZ.US,D,20251022,000000,25.62,26.3216,25.49,25.5966,45000,0
QUIZ.US,D,20251023,000000,25.64,26.35,25.6031,25.6681,19368,0
QUIZ.US,D,20251024,000000,25.7,25.93,25.68,25.7099,22493,0
QUIZ.US,D,20251027,000000,25.86,25.98,25.84,25.98,30686,0
QUIZ.US,D,20251028,000000,25.98,26.03,25.95,25.97,6066,0
QUIZ.US,D,20251029,000000,25.94,26.26,25.75,25.83,34624,0
QUIZ.US,D,20251030,000000,25.59,26.08,25.59,25.78,47780,0
QUIZ.US,D,20251031,000000,25.7,25.74,25.6208,25.72,5862,0
QUIZ.US,D,20251103,000000,25.65,25.723,25.6305,25.6883,5134,0
QUIZ.US,D,20251104,000000,25.54,25.58,25.4444,25.4444,18647,0
QUIZ.US,D,20251105,000000,25.5322,25.68,25.51,25.615,20106,0
