<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SGRT.US,D,20250820,000000,19.75,19.9984,19.66,19.9984,161052,0
SGRT.US,D,20250821,000000,20.04,20.0506,19.945,20.0506,2490,0
SGRT.US,D,20250822,000000,20.4596,20.46,20.4062,20.407,5959,0
SGRT.US,D,20250825,000000,20.3,20.4499,20.3,20.3984,11987,0
SGRT.US,D,20250826,000000,20.57,20.6982,20.5699,20.6982,3626,0
SGRT.US,D,20250827,000000,20.625,20.6449,20.57,20.5784,3449,0
SGRT.US,D,20250828,000000,20.775,20.87,20.775,20.8667,1987,0
SGRT.US,D,20250829,000000,20.69,20.69,20.57,20.6352,999,0
SGRT.US,D,20250902,000000,20.25,20.5569,20.25,20.5569,2145,0
SGRT.US,D,20250903,000000,20.709,20.7946,20.52,20.6136,19475,0
SGRT.US,D,20250904,000000,20.59,20.8182,20.59,20.8182,2360,0
SGRT.US,D,20250905,000000,20.76,20.76,20.7334,20.7334,358,0
SGRT.US,D,20250908,000000,21.19,21.35,21.19,21.25,2664,0
SGRT.US,D,20250909,000000,21.3499,21.5212,21.3155,21.5212,24136,0
SGRT.US,D,20250910,000000,21.941,22,21.87,21.9584,200424,0
SGRT.US,D,20250911,000000,22.029,22.095,21.96,22.023,7517,0
SGRT.US,D,20250912,000000,22.07,22.22,22.03,22.1784,15399,0
SGRT.US,D,20250915,000000,22.2001,22.35,22.2001,22.3357,4387,0
SGRT.US,D,20250916,000000,22.42,22.43,22.1787,22.3547,2178,0
SGRT.US,D,20250917,000000,22.32,22.36,22.045,22.3461,4257,0
SGRT.US,D,20250918,000000,22.64,22.73,22.42,22.6912,7651,0
SGRT.US,D,20250919,000000,22.9,23.05,22.71,23.0289,10563,0
SGRT.US,D,20250922,000000,23.039,23.05,22.908,23.048,55929,0
SGRT.US,D,20250923,000000,23.19,23.33,23.1341,23.1941,14647,0
SGRT.US,D,20250924,000000,23.2096,23.26,22.99,22.996,4702,0
SGRT.US,D,20250925,000000,23.01,23.01,22.79,22.9064,15994,0
SGRT.US,D,20250926,000000,22.94,23.0664,22.85,23.0586,14023,0
SGRT.US,D,20250929,000000,23.45,23.6125,23.44,23.46,58960,0
SGRT.US,D,20250930,000000,23.51,23.5512,23.3,23.5512,29773,0
SGRT.US,D,20251001,000000,23.47,23.76,23.47,23.7329,16265,0
SGRT.US,D,20251002,000000,23.9017,24.02,23.69,23.8459,36300,0
SGRT.US,D,20251003,000000,23.89,23.89,23.55,23.5821,36601,0
SGRT.US,D,20251006,000000,24.68,24.69,24.0378,24.0378,13659,0
SGRT.US,D,20251007,000000,24.5259,24.54,24.07,24.2291,33487,0
SGRT.US,D,20251008,000000,24.58,24.99,24.58,24.9801,31314,0
SGRT.US,D,20251009,000000,24.891,24.891,24.4655,24.75,44807,0
SGRT.US,D,20251010,000000,24.633,24.78,23.55,23.55,14724,0
SGRT.US,D,20251013,000000,24.23,24.3,24.07,24.3,24159,0
SGRT.US,D,20251014,000000,24,24.62,23.7207,24.31,228431,0
SGRT.US,D,20251015,000000,24.8,25.04,24.6699,24.89,20870,0
SGRT.US,D,20251016,000000,25.26,25.4951,24.86,24.9835,16385,0
SGRT.US,D,20251017,000000,24.74,24.8894,24.375,24.6739,20182,0
SGRT.US,D,20251020,000000,24.821,25.09,24.821,24.988,9328,0
SGRT.US,D,20251021,000000,24.52,24.57,24.4392,24.47,33531,0
SGRT.US,D,20251022,000000,24.64,24.69,23.7464,24.1484,39173,0
SGRT.US,D,20251023,000000,24.461,24.83,24.11,24.769,4063,0
SGRT.US,D,20251024,000000,25.33,25.55,25.3299,25.4746,30774,0
SGRT.US,D,20251027,000000,25.83,25.9,25.62,25.8935,39115,0
SGRT.US,D,20251028,000000,25.76,26.01,25.74,25.926,22159,0
SGRT.US,D,20251029,000000,26.3233,26.52,26.1,26.42,63237,0
SGRT.US,D,20251030,000000,25.95,26.42,25.91,25.95,18422,0
SGRT.US,D,20251031,000000,26.247,26.4899,25.9816,26.1205,10655,0
SGRT.US,D,20251103,000000,26.4,26.44,25.94,26.21,8661,0
SGRT.US,D,20251104,000000,25.19,25.682,25.08,25.1523,22068,0
SGRT.US,D,20251105,000000,25.21,25.86,25.21,25.71,16170,0
