<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TEXU.US,D,20251001,000000,24.5,24.935,24.5,24.9335,794,0
TEXU.US,D,20251002,000000,25.454,25.48,24.61,24.6241,2146,0
TEXU.US,D,20251003,000000,25.05,25.05,24.97,24.97,343,0
TEXU.US,D,20251006,000000,24.948,24.9633,24.948,24.9633,450,0
TEXU.US,D,20251007,000000,24.8,25.0793,24.52,25.0793,709,0
TEXU.US,D,20251008,000000,24.9603,24.9603,24.7976,24.7976,178,0
TEXU.US,D,20251009,000000,24.71,24.71,24.3991,24.3991,211,0
TEXU.US,D,20251010,000000,24.1464,24.1464,23.2253,23.2253,633,0
TEXU.US,D,20251013,000000,23.59,23.7282,23.52,23.7282,2879,0
TEXU.US,D,20251014,000000,23.28,23.66,23.28,23.6543,421,0
TEXU.US,D,20251015,000000,23.56,23.6564,23.56,23.6564,430,0
TEXU.US,D,20251020,000000,22.71,23.6133,22.71,23.6133,1105,0
TEXU.US,D,20251021,000000,23.62,23.62,23.3954,23.3954,1037,0
TEXU.US,D,20251022,000000,23.44,23.7457,22.98,23.7457,1605,0
TEXU.US,D,20251023,000000,24.34,24.49,23.7661,23.7661,3554,0
TEXU.US,D,20251024,000000,23.76,23.76,23.0864,23.0864,1992,0
TEXU.US,D,20251027,000000,23.3028,23.33,23.19,23.233,1984,0
TEXU.US,D,20251028,000000,23.04,23.11,22.812,22.812,2277,0
TEXU.US,D,20251029,000000,23.01,23.14,22.9685,22.9685,1551,0
TEXU.US,D,20251030,000000,23.08,23.23,22.8053,22.8053,1155,0
TEXU.US,D,20251031,000000,23.03,23.2429,23,23.2429,1801,0
TEXU.US,D,20251103,000000,23.12,23.13,23.0575,23.0575,1269,0
TEXU.US,D,20251104,000000,22.63,22.67,22.4874,22.4874,1381,0
TEXU.US,D,20251105,000000,22.67,22.85,22.67,22.85,1585,0
