<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WBI.US,D,20250917,000000,25,25.02,22.45,22.83,11627156,0
WBI.US,D,20250918,000000,23.25,23.54,22.5,22.6,2149901,0
WBI.US,D,20250919,000000,22.72,23.8,22.22,23.08,1590750,0
WBI.US,D,20250922,000000,23.12,24.35,22.42,22.55,1050030,0
WBI.US,D,20250923,000000,22.77,23.99,22.62,23.03,1255462,0
WBI.US,D,20250924,000000,23.23,23.8199,22.74,22.91,1011874,0
WBI.US,D,20250925,000000,22.91,23.52,22.69,23.23,857612,0
WBI.US,D,20250926,000000,23.23,25,22.95,24.49,1052508,0
WBI.US,D,20250929,000000,24.42,24.95,24.2,24.52,1908617,0
WBI.US,D,20250930,000000,25,25.8,23.92,25.22,1954518,0
WBI.US,D,20251001,000000,25.15,26,24.9001,25.51,1485493,0
WBI.US,D,20251002,000000,25.7868,25.9573,24.45,25.28,978480,0
WBI.US,D,20251003,000000,25.125,26,25,25.84,1052725,0
WBI.US,D,20251006,000000,26.3629,26.396,25.765,25.96,747885,0
WBI.US,D,20251007,000000,26.1155,27.08,25.62,27.07,615066,0
WBI.US,D,20251008,000000,26.8398,27.12,25.97,26.16,504874,0
WBI.US,D,20251009,000000,26.0215,26.1763,25.38,25.53,535688,0
WBI.US,D,20251010,000000,25.61,25.67,24.11,24.17,833696,0
WBI.US,D,20251013,000000,23.94,25.25,23.51,24.57,674290,0
WBI.US,D,20251014,000000,24.93,26,24.78,25.55,932737,0
WBI.US,D,20251015,000000,25.795,25.96,24.7,25.4,384669,0
WBI.US,D,20251016,000000,25.605,25.605,24.11,24.5,627543,0
WBI.US,D,20251017,000000,24.38,26.3259,23.95,23.99,516663,0
WBI.US,D,20251020,000000,24.28,24.98,23.94,24.97,483493,0
WBI.US,D,20251021,000000,24.7754,24.7754,23.95,24.42,587568,0
WBI.US,D,20251022,000000,24.7756,24.7756,23.52,23.62,555947,0
WBI.US,D,20251023,000000,23.59,24.21,23.2001,24.18,267006,0
WBI.US,D,20251024,000000,24.37,24.58,23.84,24.53,276638,0
WBI.US,D,20251027,000000,24.635,24.9899,23.33,24.26,684179,0
WBI.US,D,20251028,000000,24.225,24.5799,23.9,24.06,222767,0
WBI.US,D,20251029,000000,23.9,24.11,23.53,23.57,343798,0
WBI.US,D,20251030,000000,23.5,24.14,22.98,23.28,639333,0
WBI.US,D,20251031,000000,23.5,24.12,23.01,24,550700,0
WBI.US,D,20251103,000000,23.9864,24.7295,23.5,24.62,340115,0
WBI.US,D,20251104,000000,24.55,24.61,23.86,24.38,427834,0
WBI.US,D,20251105,000000,24.5,24.72,24.17,24.33,445424,0
