<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XLBI.US,D,20250731,000000,24.34,24.34,24.2022,24.2022,420,0
XLBI.US,D,20250804,000000,24.21,24.2265,24.16,24.2265,1343,0
XLBI.US,D,20250805,000000,24.409,24.52,24.4078,24.4078,428,0
XLBI.US,D,20250808,000000,24.44,24.44,24.3871,24.3871,115,0
XLBI.US,D,20250811,000000,24.4,24.4,24.3391,24.3391,191,0
XLBI.US,D,20250812,000000,24.61,24.645,24.61,24.645,151,0
XLBI.US,D,20250813,000000,24.96,25.0248,24.6,25.0248,629,0
XLBI.US,D,20250815,000000,24.82,24.8442,24.82,24.8442,331,0
XLBI.US,D,20250818,000000,24.79,24.79,24.7376,24.7376,975,0
XLBI.US,D,20250821,000000,24.94,24.94,24.91,24.9186,1447,0
XLBI.US,D,20250825,000000,25.27,25.27,25.2329,25.2329,145,0
XLBI.US,D,20250828,000000,25.2784,25.3317,25.2784,25.3317,802,0
XLBI.US,D,20250903,000000,24.82,24.82,24.71,24.7679,1304,0
XLBI.US,D,20250904,000000,24.82,24.8217,24.81,24.8217,1080,0
XLBI.US,D,20250905,000000,25.0327,25.0327,24.85,24.9752,624,0
XLBI.US,D,20250908,000000,24.91,24.9975,24.89,24.9975,887,0
XLBI.US,D,20250909,000000,24.7774,24.7774,24.7131,24.7497,1694,0
XLBI.US,D,20250910,000000,24.8284,24.8284,24.72,24.7931,1857,0
XLBI.US,D,20250911,000000,24.959,25.122,24.959,25.122,4388,0
XLBI.US,D,20250912,000000,25.0994,25.0994,24.97,25.0001,7476,0
XLBI.US,D,20250915,000000,24.969,24.979,24.85,24.8726,1572,0
XLBI.US,D,20250916,000000,24.8386,24.85,24.75,24.8226,1244,0
XLBI.US,D,20250917,000000,24.924,25,24.839,24.885,1261,0
XLBI.US,D,20250918,000000,24.859,24.91,24.8332,24.8598,1788,0
XLBI.US,D,20250919,000000,24.821,24.8854,24.821,24.8854,238,0
XLBI.US,D,20250922,000000,24.71,25.05,24.69,24.8927,8812,0
XLBI.US,D,20250923,000000,24.951,24.9668,24.8167,24.8167,969,0
XLBI.US,D,20250925,000000,24.4106,24.4106,24.2693,24.2693,246,0
XLBI.US,D,20250926,000000,24.3693,24.5081,24.17,24.5081,1406,0
XLBI.US,D,20250929,000000,24.5741,24.5998,24.5741,24.5998,696,0
XLBI.US,D,20251001,000000,24.28,24.28,24.2,24.2246,485,0
XLBI.US,D,20251002,000000,24.48,24.48,24.46,24.4611,559,0
XLBI.US,D,20251003,000000,24.5,24.5205,24.5,24.5205,1331,0
XLBI.US,D,20251006,000000,24.52,24.5601,24.49,24.5189,1438,0
XLBI.US,D,20251007,000000,24.57,24.57,24.35,24.4078,576,0
XLBI.US,D,20251009,000000,24.276,24.2896,24.2128,24.2128,745,0
XLBI.US,D,20251010,000000,24.2724,24.2724,23.747,23.747,670,0
XLBI.US,D,20251013,000000,24.259,24.259,24.1116,24.1116,528,0
XLBI.US,D,20251014,000000,24.42,24.43,24.3438,24.3438,471,0
XLBI.US,D,20251015,000000,24.55,24.555,24.2257,24.2257,762,0
XLBI.US,D,20251016,000000,24.3091,24.3091,24.12,24.1401,815,0
XLBI.US,D,20251017,000000,24.14,24.145,24.11,24.145,721,0
XLBI.US,D,20251020,000000,24.3088,24.4148,24.3088,24.4148,586,0
XLBI.US,D,20251022,000000,24.39,24.39,24.3053,24.3053,122,0
XLBI.US,D,20251024,000000,24.55,24.599,24.4744,24.4744,627,0
XLBI.US,D,20251027,000000,24.43,24.4895,24.43,24.4895,1036,0
XLBI.US,D,20251028,000000,24.51,24.5274,24.51,24.5274,1161,0
XLBI.US,D,20251029,000000,24.115,24.1237,24.115,24.1237,324,0
XLBI.US,D,20251030,000000,23.95,23.95,23.815,23.815,519,0
XLBI.US,D,20251031,000000,23.74,23.74,23.7211,23.7211,1023,0
XLBI.US,D,20251103,000000,23.315,23.402,23.315,23.402,522,0
XLBI.US,D,20251104,000000,23.03,23.199,23.03,23.1421,780,0
XLBI.US,D,20251105,000000,23.329,23.34,23.29,23.34,979,0
