<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XLCI.US,D,20250731,000000,25.07,25.07,24.9803,24.9803,1002,0
XLCI.US,D,20250801,000000,24.8465,24.8465,24.7987,24.7987,407,0
XLCI.US,D,20250813,000000,25.39,25.43,25.32,25.3636,1552,0
XLCI.US,D,20250815,000000,25.54,25.54,25.4305,25.4305,391,0
XLCI.US,D,20250902,000000,25.1,25.1479,25.075,25.1479,1419,0
XLCI.US,D,20250903,000000,25.47,25.47,25.4299,25.4625,805,0
XLCI.US,D,20250904,000000,25.56,25.6291,25.56,25.6291,485,0
XLCI.US,D,20250905,000000,25.69,25.7141,25.6899,25.7141,290,0
XLCI.US,D,20250908,000000,25.7465,25.7465,25.7368,25.7368,637,0
XLCI.US,D,20250909,000000,25.78,25.85,25.78,25.8185,1153,0
XLCI.US,D,20250910,000000,25.76,25.82,25.7528,25.7528,1568,0
XLCI.US,D,20250911,000000,25.9,25.9,25.8855,25.8855,234,0
XLCI.US,D,20250912,000000,25.917,25.932,25.897,25.932,801,0
XLCI.US,D,20250915,000000,25.9801,25.985,25.98,25.985,466,0
XLCI.US,D,20250917,000000,25.97,26.0002,25.97,25.9821,1989,0
XLCI.US,D,20250919,000000,26,26.0943,26,26.0943,276,0
XLCI.US,D,20250922,000000,26.1,26.1,26.0357,26.0357,200,0
XLCI.US,D,20250924,000000,25.845,25.8462,25.845,25.8462,146,0
XLCI.US,D,20250930,000000,26.0218,26.0796,26.0218,26.0796,437,0
XLCI.US,D,20251002,000000,25.36,25.4298,25.36,25.4298,574,0
XLCI.US,D,20251006,000000,25.27,25.4658,25.27,25.4658,445,0
XLCI.US,D,20251009,000000,25.083,25.1114,25.083,25.1114,342,0
XLCI.US,D,20251010,000000,25.28,25.28,24.6418,24.6418,448,0
XLCI.US,D,20251013,000000,24.915,24.915,24.8874,24.8874,268,0
XLCI.US,D,20251014,000000,25.0397,25.0397,25.0088,25.0088,465,0
XLCI.US,D,20251016,000000,25.2324,25.2324,24.9755,24.9755,969,0
XLCI.US,D,20251017,000000,24.96,25.1178,24.96,25.1178,223,0
XLCI.US,D,20251020,000000,25.22,25.3834,25.22,25.3834,456,0
XLCI.US,D,20251022,000000,25.45,25.45,25.3293,25.3293,1060,0
XLCI.US,D,20251023,000000,25.39,25.4,25.2848,25.2848,3008,0
XLCI.US,D,20251030,000000,25.2564,25.2564,25.1583,25.1583,200,0
XLCI.US,D,20251031,000000,25.26,25.26,25.2515,25.2515,1049,0
XLCI.US,D,20251104,000000,24.6799,24.6799,24.622,24.622,1170,0
