<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XLEI.US,D,20250731,000000,25.04,25.04,24.8535,24.8535,357,0
XLEI.US,D,20250801,000000,24.4808,24.5116,24.4808,24.5116,436,0
XLEI.US,D,20250805,000000,24.406,24.5484,24.406,24.5484,575,0
XLEI.US,D,20250806,000000,24.62,24.62,24.3315,24.3315,343,0
XLEI.US,D,20250807,000000,24.429,24.429,24.2235,24.2235,223,0
XLEI.US,D,20250808,000000,24.53,24.53,24.3,24.3756,1165,0
XLEI.US,D,20250811,000000,24.4183,24.4183,24.1893,24.1893,1188,0
XLEI.US,D,20250812,000000,24.451,24.451,24.3367,24.3367,566,0
XLEI.US,D,20250813,000000,24.47,24.5904,24.22,24.5904,1107,0
XLEI.US,D,20250814,000000,24.529,24.5836,24.529,24.5836,194,0
XLEI.US,D,20250815,000000,24.669,24.68,24.54,24.5742,1402,0
XLEI.US,D,20250818,000000,24.57,24.599,24.5337,24.5337,346,0
XLEI.US,D,20250819,000000,24.5,24.5316,24.5,24.5316,365,0
XLEI.US,D,20250820,000000,24.709,24.709,24.69,24.7082,1019,0
XLEI.US,D,20250821,000000,24.85,24.85,24.7929,24.7929,268,0
XLEI.US,D,20250825,000000,25.14,25.1593,25.14,25.1593,656,0
XLEI.US,D,20250826,000000,25.0686,25.1325,25.0686,25.1325,115,0
XLEI.US,D,20250827,000000,25.259,25.259,25.25,25.25,208,0
XLEI.US,D,20250828,000000,25.289,25.3291,25.289,25.3291,256,0
XLEI.US,D,20250902,000000,25,25,24.7484,24.7807,1685,0
XLEI.US,D,20250903,000000,24.8,24.8,24.57,24.611,5003,0
XLEI.US,D,20250904,000000,24.619,24.77,24.619,24.7197,2298,0
XLEI.US,D,20250905,000000,24.58,24.58,24.475,24.531,3231,0
XLEI.US,D,20250908,000000,24.649,24.649,24.5172,24.5684,1746,0
XLEI.US,D,20250909,000000,24.73,24.7727,24.6546,24.6546,8396,0
XLEI.US,D,20250910,000000,24.73,24.8296,24.685,24.8296,3190,0
XLEI.US,D,20250911,000000,24.8,24.89,24.8,24.87,2228,0
XLEI.US,D,20250912,000000,24.929,24.929,24.84,24.865,4904,0
XLEI.US,D,20250915,000000,24.87,25.03,24.85,24.8679,2741,0
XLEI.US,D,20250916,000000,24.979,24.99,24.93,24.969,1927,0
XLEI.US,D,20250917,000000,24.975,25.01,24.9701,25.0061,1933,0
XLEI.US,D,20250918,000000,25.02,25.04,24.86,24.9701,2751,0
XLEI.US,D,20250919,000000,24.76,24.76,24.67,24.7242,4527,0
XLEI.US,D,20250922,000000,24.45,24.8,24.375,24.7528,19050,0
XLEI.US,D,20250923,000000,25.04,25.12,24.74,24.955,3976,0
XLEI.US,D,20250924,000000,25.06,25.36,25.06,25.2101,19629,0
XLEI.US,D,20250925,000000,25.14,25.33,25.14,25.33,9102,0
XLEI.US,D,20250926,000000,25.37,25.56,25.32,25.4758,7756,0
XLEI.US,D,20250929,000000,25.25,25.2884,25.17,25.2301,6224,0
XLEI.US,D,20250930,000000,25.13,25.13,24.9382,25.0838,11270,0
XLEI.US,D,20251001,000000,24.6,24.665,24.49,24.6495,15486,0
XLEI.US,D,20251002,000000,24.68,24.68,24.45,24.4611,1961,0
XLEI.US,D,20251003,000000,24.5708,24.65,24.569,24.5779,3823,0
XLEI.US,D,20251006,000000,24.7125,24.819,24.67,24.7048,8122,0
XLEI.US,D,20251007,000000,24.68,24.7351,24.42,24.7351,6182,0
XLEI.US,D,20251008,000000,24.709,24.709,24.594,24.6508,4017,0
XLEI.US,D,20251009,000000,24.75,24.815,24.3442,24.3694,8121,0
XLEI.US,D,20251010,000000,24.11,24.17,23.6949,23.6949,6818,0
XLEI.US,D,20251013,000000,23.919,23.9953,23.865,23.9953,3676,0
XLEI.US,D,20251014,000000,23.711,24.11,23.711,23.9963,1178,0
XLEI.US,D,20251015,000000,24.1773,24.1773,23.949,23.9699,2897,0
XLEI.US,D,20251016,000000,23.99,23.99,23.66,23.763,4662,0
XLEI.US,D,20251017,000000,23.8505,23.96,23.825,23.9413,2175,0
XLEI.US,D,20251020,000000,24.142,24.22,24.09,24.22,7606,0
XLEI.US,D,20251021,000000,24.29,24.39,24.11,24.15,10361,0
XLEI.US,D,20251022,000000,24.29,24.37,24.17,24.348,7609,0
XLEI.US,D,20251023,000000,24.5725,24.65,24.49,24.5512,9156,0
XLEI.US,D,20251024,000000,24.585,24.595,24.43,24.4335,8501,0
XLEI.US,D,20251027,000000,24.5396,24.57,24.43,24.54,10141,0
XLEI.US,D,20251028,000000,24.42,24.509,24.35,24.37,6413,0
XLEI.US,D,20251029,000000,24.44,24.53,24.411,24.451,6762,0
XLEI.US,D,20251030,000000,24.44,24.59,24.4,24.4,4540,0
XLEI.US,D,20251031,000000,24.49,24.559,24.47,24.55,2723,0
XLEI.US,D,20251103,000000,24.2778,24.6,24.215,24.3699,4197,0
XLEI.US,D,20251104,000000,23.87,24.03,23.82,24,10994,0
XLEI.US,D,20251105,000000,24.065,24.249,24.065,24.09,5454,0
