<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XLYI.US,D,20250804,000000,24.26,24.311,24.26,24.311,115,0
XLYI.US,D,20250805,000000,24.3608,24.3608,24.3487,24.3487,430,0
XLYI.US,D,20250807,000000,24.85,24.85,24.7806,24.7806,108,0
XLYI.US,D,20250808,000000,24.94,24.94,24.86,24.86,527,0
XLYI.US,D,20250811,000000,25.01,25.01,24.905,24.905,799,0
XLYI.US,D,20250813,000000,25.43,25.434,25.24,25.434,1761,0
XLYI.US,D,20250904,000000,25.4914,25.5237,25.4914,25.5237,335,0
XLYI.US,D,20250905,000000,25.59,25.59,25.5303,25.5303,304,0
XLYI.US,D,20250908,000000,25.57,25.57,25.57,25.57,536,0
XLYI.US,D,20250909,000000,25.5499,25.61,25.5499,25.5995,1963,0
XLYI.US,D,20250910,000000,25.5299,25.54,25.4446,25.4446,3101,0
XLYI.US,D,20250911,000000,25.6,25.7035,25.6,25.7035,219,0
XLYI.US,D,20250912,000000,25.77,25.77,25.7468,25.7468,1009,0
XLYI.US,D,20250915,000000,25.77,25.77,25.7669,25.7669,687,0
XLYI.US,D,20250916,000000,25.78,25.8087,25.78,25.8087,243,0
XLYI.US,D,20250918,000000,25.76,25.87,25.7063,25.7063,338,0
XLYI.US,D,20250919,000000,25.92,25.92,25.82,25.8427,925,0
XLYI.US,D,20250922,000000,25.87,25.87,25.7579,25.7579,2052,0
XLYI.US,D,20250924,000000,25.66,25.7082,25.66,25.7082,166,0
XLYI.US,D,20250925,000000,25.49,25.49,25.4265,25.4265,486,0
XLYI.US,D,20250926,000000,25.4648,25.7642,25.42,25.7642,795,0
XLYI.US,D,20250929,000000,25.92,25.92,25.84,25.8747,324,0
XLYI.US,D,20250930,000000,25.76,25.7814,25.76,25.7814,380,0
XLYI.US,D,20251001,000000,25.55,25.6882,25.55,25.6882,213,0
XLYI.US,D,20251003,000000,25.5881,25.5881,25.311,25.3848,3270,0
XLYI.US,D,20251006,000000,25.4184,25.6165,25.4184,25.6165,580,0
XLYI.US,D,20251008,000000,25.18,25.2672,25.18,25.2672,353,0
XLYI.US,D,20251009,000000,25,25.138,25,25.138,559,0
XLYI.US,D,20251010,000000,25.16,25.16,24.4549,24.4549,294,0
XLYI.US,D,20251013,000000,24.72,24.9951,24.72,24.9951,3650,0
XLYI.US,D,20251014,000000,24.69,25.1595,24.69,25.0373,695,0
XLYI.US,D,20251015,000000,25.2,25.2,25.0563,25.0563,213,0
XLYI.US,D,20251016,000000,25.1106,25.1106,24.8483,24.8483,993,0
XLYI.US,D,20251017,000000,24.89,25.0188,24.89,25.0188,456,0
XLYI.US,D,20251020,000000,25.14,25.2791,25.14,25.2791,3770,0
XLYI.US,D,20251021,000000,25.52,25.55,25.5098,25.5098,691,0
XLYI.US,D,20251022,000000,25.3476,25.3476,25.3368,25.3368,408,0
XLYI.US,D,20251023,000000,25.1636,25.4942,25.1636,25.4942,570,0
XLYI.US,D,20251027,000000,25.77,25.78,25.7263,25.7263,2021,0
XLYI.US,D,20251028,000000,25.74,25.74,25.6923,25.6923,790,0
XLYI.US,D,20251029,000000,25.495,25.5476,25.495,25.5476,274,0
XLYI.US,D,20251030,000000,25.38,25.38,25.1651,25.1651,902,0
XLYI.US,D,20251031,000000,25.62,25.68,25.62,25.664,523,0
XLYI.US,D,20251104,000000,25.43,25.43,25.2454,25.2454,1067,0
XLYI.US,D,20251105,000000,25.49,25.51,25.4701,25.488,1728,0
