<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
COYY.US,D,20250731,000000,27.17,27.17,25.5893,25.6633,314438,0
COYY.US,D,20250801,000000,23.86,24.6,22.6,22.68,147589,0
COYY.US,D,20250804,000000,23.31,23.31,22.49,22.8476,140274,0
COYY.US,D,20250805,000000,22.02,22.17,21.3386,21.3386,122915,0
COYY.US,D,20250806,000000,21.31,21.6725,21.0683,21.64,88082,0
COYY.US,D,20250807,000000,22.01,22.57,21.88,22.16,395935,0
COYY.US,D,20250808,000000,21.44,21.6,20.6698,21.39,211504,0
COYY.US,D,20250811,000000,21.61,21.955,21.61,21.69,165541,0
COYY.US,D,20250812,000000,21.9,21.9,21.42,21.86,136398,0
COYY.US,D,20250813,000000,22,22.15,21.83,21.9823,150395,0
COYY.US,D,20250814,000000,21.83,22.11,21.71,22.1,487405,0
COYY.US,D,20250815,000000,21.43,21.43,21.1329,21.3,293976,0
COYY.US,D,20250818,000000,21.2,21.65,20.81,21.56,400057,0
COYY.US,D,20250819,000000,21.61,21.61,20.55,20.59,399976,0
COYY.US,D,20250820,000000,20.72,20.73,20.0647,20.6,202129,0
COYY.US,D,20250821,000000,20.54,20.6327,20.2,20.3,398251,0
COYY.US,D,20250822,000000,19.64,21.19,19.3707,21.09,376165,0
COYY.US,D,20250825,000000,20.81,20.88,20.4,20.43,318645,0
COYY.US,D,20250826,000000,20.46,20.5364,20.12,20.53,354690,0
COYY.US,D,20250827,000000,20.57,20.756,20.46,20.58,310002,0
COYY.US,D,20250828,000000,20.91,21.03,20.4536,20.59,864456,0
COYY.US,D,20250829,000000,19.77,19.79,19.264,19.54,539625,0
COYY.US,D,20250902,000000,19.28,19.685,19,19.4,496294,0
COYY.US,D,20250903,000000,19.49,19.65,19.317,19.38,422719,0
COYY.US,D,20250904,000000,19.45,19.83,19.32,19.8,781571,0
COYY.US,D,20250905,000000,19.48,19.56,18.15,18.83,680004,0
COYY.US,D,20250908,000000,18.88,19.19,18.8187,19.12,290581,0
COYY.US,D,20250909,000000,19.15,19.55,19.15,19.55,272772,0
COYY.US,D,20250910,000000,19.62,19.63,19.45,19.55,275080,0
COYY.US,D,20250911,000000,19.68,19.729,19.5703,19.69,651349,0
COYY.US,D,20250912,000000,19.19,19.19,19.06,19.1,582209,0
COYY.US,D,20250915,000000,19.1,19.28,19.0378,19.27,389403,0
COYY.US,D,20250916,000000,19.35,19.419,19.0635,19.3,311037,0
COYY.US,D,20250917,000000,19.33,19.35,18.5575,19.06,583563,0
COYY.US,D,20250918,000000,19.38,19.85,19.3186,19.83,699041,0
COYY.US,D,20250919,000000,19.3,19.35,19.25,19.33,540631,0
COYY.US,D,20250922,000000,19.01,19.14,18.73,18.96,1048346,0
COYY.US,D,20250923,000000,19.04,19.0592,18.25,18.36,914220,0
COYY.US,D,20250924,000000,18.47,18.6,18.3127,18.36,550559,0
COYY.US,D,20250925,000000,18.25,18.25,17.77,17.81,844384,0
COYY.US,D,20250926,000000,17.4,17.46,17.2,17.31,568233,0
COYY.US,D,20250929,000000,17.5,17.78,17.415,17.78,526789,0
COYY.US,D,20250930,000000,17.75,17.91,17.75,17.91,325396,0
COYY.US,D,20251001,000000,18.1,18.12,17.91,17.96,557994,0
COYY.US,D,20251002,000000,18.01,18.03,17.9,18,1204715,0
COYY.US,D,20251003,000000,17.56,17.56,17.49,17.52,655254,0
COYY.US,D,20251006,000000,17.75,17.79,17.55,17.68,465216,0
COYY.US,D,20251007,000000,17.75,17.75,17.05,17.46,601883,0
COYY.US,D,20251008,000000,17.57,17.97,17.52,17.93,471327,0
COYY.US,D,20251009,000000,17.91,18.17,17.86,18.12,724232,0
COYY.US,D,20251010,000000,17.72,17.8066,15.7501,15.89,1468701,0
COYY.US,D,20251013,000000,16.07,16.07,15.41,15.79,884589,0
COYY.US,D,20251014,000000,15.42,15.69,15.105,15.32,427144,0
COYY.US,D,20251015,000000,15.51,15.52,15,15.1,560191,0
COYY.US,D,20251016,000000,15.13,15.23,14.75,14.82,739706,0
COYY.US,D,20251017,000000,14.08,14.22,13.7237,14.13,555856,0
COYY.US,D,20251020,000000,14.17,14.49,14.17,14.35,426022,0
COYY.US,D,20251021,000000,14.315,14.38,14.14,14.23,358112,0
COYY.US,D,20251022,000000,14.12,14.15,13.35,13.6,583471,0
COYY.US,D,20251023,000000,13.74,13.96,13.5304,13.72,548437,0
COYY.US,D,20251024,000000,13.83,14.3728,13.83,14.35,500132,0
COYY.US,D,20251027,000000,14.47,14.61,14.36,14.46,335001,0
COYY.US,D,20251028,000000,14.49,14.5789,14.3167,14.37,266048,0
COYY.US,D,20251029,000000,14.42,14.43,14.14,14.26,248742,0
COYY.US,D,20251030,000000,14.15,14.1796,13.85,13.86,771665,0
COYY.US,D,20251031,000000,13.4,14.515,13.35,13.7,489076,0
COYY.US,D,20251103,000000,13.66,13.66,13.2105,13.34,613812,0
COYY.US,D,20251104,000000,13.05,13.16,12.7653,12.81,465529,0
COYY.US,D,20251105,000000,12.93,13.045,12.7797,12.93,337691,0
