<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CSCS.US,D,20250626,000000,24.885,24.885,24.885,24.885,1,0
CSCS.US,D,20250627,000000,24.605,24.605,24.605,24.605,1,0
CSCS.US,D,20250701,000000,24.4631,24.4631,24.4631,24.4631,7,0
CSCS.US,D,20250702,000000,24.5841,24.5841,24.5841,24.5841,7,0
CSCS.US,D,20250703,000000,24.805,24.805,24.805,24.805,5,0
CSCS.US,D,20250707,000000,24.76,24.76,24.501,24.55,1649,0
CSCS.US,D,20250710,000000,24.67,24.67,24.61,24.61,135,0
CSCS.US,D,20250714,000000,25.08,25.08,24.945,24.945,1005,0
CSCS.US,D,20250717,000000,24.81,24.81,24.775,24.775,301,0
CSCS.US,D,20250730,000000,24.75,24.877,24.75,24.877,1401,0
CSCS.US,D,20250731,000000,24.9303,24.9428,24.9303,24.9428,88,0
CSCS.US,D,20250805,000000,25.13,25.15,25.13,25.15,135,0
CSCS.US,D,20250806,000000,24.83,24.83,24.525,24.525,103,0
CSCS.US,D,20250811,000000,23.9,24.035,23.9,24.035,661,0
CSCS.US,D,20250813,000000,24.1299,24.1299,24.1174,24.1174,3837,0
CSCS.US,D,20250814,000000,24.291,24.483,24.291,24.483,1125,0
CSCS.US,D,20250815,000000,25.27,25.62,25.27,25.62,602,0
CSCS.US,D,20250819,000000,25.5,25.5,25.34,25.34,1746,0
CSCS.US,D,20250826,000000,25.0599,25.0599,24.7887,24.7887,177,0
CSCS.US,D,20250905,000000,25.32,25.4229,25.32,25.4229,101,0
CSCS.US,D,20250918,000000,24.8948,24.8948,24.76,24.76,344,0
CSCS.US,D,20251002,000000,24.6395,24.699,24.6395,24.6958,1416,0
CSCS.US,D,20251003,000000,24.54,24.725,24.54,24.725,827,0
CSCS.US,D,20251014,000000,25.14,25.14,24.43,24.43,1669,0
CSCS.US,D,20251015,000000,24.2,24.2,24.1967,24.1967,124,0
CSCS.US,D,20251029,000000,22.93,23.59,22.93,23.59,1002,0
CSCS.US,D,20251031,000000,23.08,23.08,23.005,23.005,153,0
