<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GLDY.US,D,20250402,000000,20.15,20.16,20.01,20.1058,11019,0
GLDY.US,D,20250403,000000,20.09,20.1886,19.99,20.15,6507,0
GLDY.US,D,20250404,000000,19.94,19.94,19.6,19.7126,5675,0
GLDY.US,D,20250407,000000,19.66,19.679,19.2551,19.3909,2281,0
GLDY.US,D,20250408,000000,19.6,19.63,19.45,19.475,12514,0
GLDY.US,D,20250409,000000,19.51,19.67,19.5,19.585,19625,0
GLDY.US,D,20250410,000000,19.91,20,19.851,19.905,7619,0
GLDY.US,D,20250411,000000,19.94,20.1,19.92,20.08,10161,0
GLDY.US,D,20250414,000000,19.81,20.04,19.81,20.04,1815,0
GLDY.US,D,20250415,000000,20.04,20.19,20.04,20.14,6676,0
GLDY.US,D,20250416,000000,20.21,20.28,20.2035,20.205,874,0
GLDY.US,D,20250417,000000,20.34,20.4,20.16,20.3406,2051,0
GLDY.US,D,20250421,000000,20.53,20.54,20.42,20.52,4235,0
GLDY.US,D,20250422,000000,20.66,20.66,20.23,20.331,2166,0
GLDY.US,D,20250423,000000,19.95,19.95,19.67,19.93,3195,0
GLDY.US,D,20250424,000000,19.98,20.05,19.9652,20.0478,1009,0
GLDY.US,D,20250425,000000,19.913,20.1,19.913,20.1,1361,0
GLDY.US,D,20250428,000000,19.93,20.69,19.93,20.23,4078,0
GLDY.US,D,20250429,000000,20.15,20.22,20.15,20.213,1705,0
GLDY.US,D,20250430,000000,20.1355,20.2,20.09,20.125,3897,0
GLDY.US,D,20250501,000000,20.61,20.61,19.09,19.1678,3047,0
GLDY.US,D,20250502,000000,19.32,19.33,19.1901,19.245,5738,0
GLDY.US,D,20250505,000000,19.52,19.52,19.37,19.435,2165,0
GLDY.US,D,20250506,000000,19.633,19.655,19.633,19.655,1118,0
GLDY.US,D,20250507,000000,19.55,19.63,19.44,19.4856,2661,0
GLDY.US,D,20250508,000000,19.48,19.48,19.08,19.08,4149,0
GLDY.US,D,20250509,000000,19.39,19.39,19.32,19.32,572,0
GLDY.US,D,20250512,000000,18.81,18.81,18.6,18.73,5270,0
GLDY.US,D,20250513,000000,18.82,18.82,18.72,18.78,1688,0
GLDY.US,D,20250514,000000,18.53,18.57,18.41,18.4588,7277,0
GLDY.US,D,20250515,000000,18.6001,18.66,18.6001,18.62,685,0
GLDY.US,D,20250516,000000,18.57,18.6188,18.41,18.6188,1745,0
GLDY.US,D,20250519,000000,18.73,18.79,18.73,18.79,6604,0
GLDY.US,D,20250520,000000,18.85,18.99,18.85,18.99,1421,0
GLDY.US,D,20250521,000000,19,19.13,19,19.12,2356,0
GLDY.US,D,20250522,000000,19.04,19.07,18.96,19.015,2763,0
GLDY.US,D,20250523,000000,19.35,19.35,19.22,19.255,3159,0
GLDY.US,D,20250527,000000,19.11,19.15,18.97,19.055,7641,0
GLDY.US,D,20250528,000000,19.08,19.17,19.01,19.17,2611,0
GLDY.US,D,20250529,000000,19.12,19.24,19.12,19.225,1804,0
GLDY.US,D,20250530,000000,19.21,19.22,19,19.16,18811,0
GLDY.US,D,20250602,000000,18.29,18.29,18.15,18.27,31601,0
GLDY.US,D,20250603,000000,18.27,18.28,18.0901,18.25,17192,0
GLDY.US,D,20250604,000000,18.29,18.4,18.16,18.39,12519,0
GLDY.US,D,20250605,000000,18.4,18.4,18.26,18.3007,5462,0
GLDY.US,D,20250606,000000,18.226,18.2792,18.12,18.16,9943,0
GLDY.US,D,20250609,000000,18.16,18.28,18.14,18.28,9422,0
GLDY.US,D,20250610,000000,18.36,18.36,18.25,18.32,2501,0
GLDY.US,D,20250611,000000,18.37,18.41,18.26,18.4,19092,0
GLDY.US,D,20250612,000000,18.56,18.56,18.45,18.47,9767,0
GLDY.US,D,20250613,000000,18.62,18.7,18.62,18.62,1498,0
GLDY.US,D,20250616,000000,18.68,18.68,18.46,18.46,6336,0
GLDY.US,D,20250617,000000,18.61,18.61,18.46,18.5,7871,0
GLDY.US,D,20250618,000000,18.52,18.53,18.33,18.33,9013,0
GLDY.US,D,20250620,000000,18.4,18.48,18.3684,18.46,3026,0
GLDY.US,D,20250623,000000,18.55,18.57,18.48,18.54,6415,0
GLDY.US,D,20250624,000000,18.22,18.33,18.1,18.33,14793,0
GLDY.US,D,20250625,000000,18.27,18.38,18.22,18.355,5441,0
GLDY.US,D,20250626,000000,18.18,18.27,18.11,18.25,3065,0
GLDY.US,D,20250627,000000,17.94,17.99,17.9,17.98,11911,0
GLDY.US,D,20250630,000000,18.03,18.03,17.975,18.02,6583,0
GLDY.US,D,20250701,000000,18.19,18.19,18.04,18.17,7401,0
GLDY.US,D,20250702,000000,18.17,18.25,18.1,18.25,11472,0
GLDY.US,D,20250703,000000,17.97,18.02,17.92,17.99,18868,0
GLDY.US,D,20250707,000000,17.91,18.03,17.8,18.03,7766,0
GLDY.US,D,20250708,000000,17.98,17.98,17.81,17.9,14819,0
GLDY.US,D,20250709,000000,17.89,18.015,17.875,18.01,15671,0
GLDY.US,D,20250710,000000,17.89,17.91,17.84,17.91,5660,0
GLDY.US,D,20250711,000000,17.98,17.98,17.9103,17.97,3816,0
GLDY.US,D,20250714,000000,17.96,17.98,17.92,17.95,7400,0
GLDY.US,D,20250715,000000,17.97,18,17.85,17.91,13896,0
GLDY.US,D,20250716,000000,17.91,17.99,17.8113,17.955,10665,0
GLDY.US,D,20250717,000000,17.655,17.8,17.53,17.735,19417,0
GLDY.US,D,20250718,000000,17.79,17.87,17.7701,17.81,21521,0
GLDY.US,D,20250721,000000,17.96,17.96,17.81,17.9203,16956,0
GLDY.US,D,20250722,000000,18,18.02,17.93,18.0197,23501,0
GLDY.US,D,20250723,000000,18.03,18.055,17.82,17.92,34275,0
GLDY.US,D,20250724,000000,17.71,17.75,17.66,17.7201,17068,0
GLDY.US,D,20250725,000000,17.64,17.64,17.5109,17.59,15296,0
GLDY.US,D,20250728,000000,17.58,17.58,17.36,17.5114,14702,0
GLDY.US,D,20250729,000000,17.52,17.57,17.47,17.5253,9982,0
GLDY.US,D,20250730,000000,17.5,17.5,17.31,17.3202,16109,0
GLDY.US,D,20250731,000000,17.2176,17.255,17.1405,17.25,11656,0
GLDY.US,D,20250801,000000,17.3,17.3499,17.2113,17.27,10733,0
GLDY.US,D,20250804,000000,17.4,17.43,17.3192,17.39,18928,0
GLDY.US,D,20250805,000000,17.43,17.485,17.37,17.465,12007,0
GLDY.US,D,20250806,000000,17.45,17.4999,17.379,17.44,10527,0
GLDY.US,D,20250807,000000,17.38,17.41,17.29,17.365,13469,0
GLDY.US,D,20250808,000000,17.41,17.45,17.32,17.375,10560,0
GLDY.US,D,20250811,000000,17.26,17.3,17.152,17.24,22644,0
GLDY.US,D,20250812,000000,17.24,17.31,17.16,17.2233,17946,0
GLDY.US,D,20250813,000000,17.3,17.35,17.24,17.2994,7215,0
GLDY.US,D,20250814,000000,17.19,17.1935,17.0908,17.17,22261,0
GLDY.US,D,20250815,000000,17.18,17.2099,17.0814,17.11,9164,0
