<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IONX.US,D,20250312,000000,24.59,27.41,22.0001,26.6231,130638,0
IONX.US,D,20250313,000000,26.5,28.46,23.65,25.64,263250,0
IONX.US,D,20250314,000000,27.9,34.579,27.9,34.27,536902,0
IONX.US,D,20250317,000000,34,35.54,31.6319,34.01,576365,0
IONX.US,D,20250318,000000,30.43,32.594,27.82,27.85,335849,0
IONX.US,D,20250319,000000,30.09,31.165,26.75,29.35,186714,0
IONX.US,D,20250320,000000,29.4,32.18,22.5574,24.01,384308,0
IONX.US,D,20250321,000000,23.19,27.24,23.19,26.16,265732,0
IONX.US,D,20250324,000000,28.79,35.8,28.57,35.36,605013,0
IONX.US,D,20250325,000000,34.71,35.4,32.5,33.9,256781,0
IONX.US,D,20250326,000000,37.22,39.8,31.52,31.94,611295,0
IONX.US,D,20250327,000000,30,32.8283,28.67,28.97,272852,0
IONX.US,D,20250328,000000,28.6,28.68,24.6507,27,213605,0
IONX.US,D,20250331,000000,23.64,27.4394,23.34,25.03,176687,0
IONX.US,D,20250401,000000,29.97,30.76,25.4101,27.52,500899,0
IONX.US,D,20250402,000000,26.82,33.786,26.7718,31.99,902329,0
IONX.US,D,20250403,000000,26.56,28.76,25.6,27.41,486092,0
IONX.US,D,20250404,000000,25.5,26.27,18.27,21.31,813708,0
IONX.US,D,20250407,000000,18.96,28.02,17.4097,25.38,867998,0
IONX.US,D,20250408,000000,28.48,29.62,20.845,22.06,751267,0
IONX.US,D,20250409,000000,23.61,33.015,22.46,32.67,949555,0
IONX.US,D,20250410,000000,30,33.34,28.22,31.5,437739,0
IONX.US,D,20250411,000000,32.5,34.8313,30.55,32.04,499615,0
IONX.US,D,20250414,000000,36,37.38,28.8,30.17,512202,0
IONX.US,D,20250415,000000,30.55,31.7249,28.54,30.43,225291,0
IONX.US,D,20250416,000000,28.41,30.085,26.55,28.26,223074,0
IONX.US,D,20250417,000000,29.16,31.23,28.07,31.02,350886,0
IONX.US,D,20250421,000000,29.22,29.46,25.5,26.79,249270,0
IONX.US,D,20250422,000000,27.94,31.0742,26.7,30.11,237306,0
IONX.US,D,20250423,000000,34.15,35.58,31.91,33,368256,0
IONX.US,D,20250424,000000,33.78,39.95,33.78,36.88,382283,0
IONX.US,D,20250425,000000,37.33,43.3685,35.3809,38.28,529733,0
IONX.US,D,20250428,000000,39.7,40.98,34.02,37.66,410738,0
IONX.US,D,20250429,000000,38.63,38.84,35.13,36.05,152184,0
IONX.US,D,20250430,000000,32.79,34.604,31.64,34.38,198358,0
IONX.US,D,20250501,000000,36.45,36.6699,33.867,34.05,258753,0
IONX.US,D,20250502,000000,35.05,44.17,35.05,43.1,666041,0
IONX.US,D,20250505,000000,40.86,42.5,39.5083,39.83,283636,0
IONX.US,D,20250506,000000,36.365,39.12,35.11,38.91,212073,0
IONX.US,D,20250507,000000,37.345,38.59,36.67,38.13,217633,0
IONX.US,D,20250508,000000,44.12,49.43,35.5,45.28,1192706,0
IONX.US,D,20250509,000000,44.32,47.35,40,43.27,772023,0
IONX.US,D,20250512,000000,48.95,50.75,45.4,47.96,736827,0
IONX.US,D,20250513,000000,47.3,51.5,46.37,48.8,612789,0
IONX.US,D,20250514,000000,51.05,54.88,47.59,49.3,640389,0
IONX.US,D,20250515,000000,47.92,52.22,45.99,47,417304,0
IONX.US,D,20250516,000000,49.5,54.2639,48.08,53.87,627761,0
IONX.US,D,20250519,000000,49.45,54.23,47.37,54.22,507841,0
IONX.US,D,20250520,000000,56.9,56.9,51.45,54.86,516667,0
IONX.US,D,20250521,000000,54.3,58.77,48.8277,49.24,647307,0
IONX.US,D,20250522,000000,50.41,94.07,49.99,85.255,3327935,0
