<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MST.US,D,20250502,000000,21.13,22.045,20.8,21.3284,156780,0
MST.US,D,20250505,000000,20.35,21.04,19.36,20.5293,367708,0
MST.US,D,20250506,000000,19.86,20.65,19.78,20.46,311199,0
MST.US,D,20250507,000000,21.02,21.4,20.7424,21.11,226127,0
MST.US,D,20250508,000000,22.46,23.52,22.17,22.93,247526,0
MST.US,D,20250509,000000,23.33,24.23,22.0692,22.97,638951,0
MST.US,D,20250512,000000,23.44,23.44,21.49,21.85,838709,0
MST.US,D,20250513,000000,22.55,23.5,21.76,23.48,553387,0
MST.US,D,20250514,000000,23.33,23.8325,22.41,22.99,306552,0
MST.US,D,20250515,000000,22.57,22.7781,20.75,21.12,413050,0
MST.US,D,20250516,000000,21.35,22.0294,20.2,21.33,348726,0
MST.US,D,20250519,000000,20.8,22.465,20.7,22.4,330145,0
MST.US,D,20250520,000000,22.44,22.7499,21.82,22.73,654499,0
MST.US,D,20250521,000000,22.17,22.86,20.41,21.07,716526,0
MST.US,D,20250522,000000,22.08,23.05,20.8026,20.91,468470,0
MST.US,D,20250523,000000,20.13,20.13,17.5788,17.915,999877,0
MST.US,D,20250527,000000,18.76,18.87,17.35,18.09,774027,0
MST.US,D,20250528,000000,17.56,17.58,16.5421,17.11,475304,0
MST.US,D,20250529,000000,17.65,17.94,16.96,17.61,498677,0
MST.US,D,20250530,000000,17.57,17.7878,16.6237,17.56,462584,0
MST.US,D,20250602,000000,17.41,18.2,17.3918,17.79,302135,0
MST.US,D,20250603,000000,18.36,19.17,17.77,18.9,838657,0
MST.US,D,20250604,000000,18.6,18.6,17.83,18.06,361548,0
MST.US,D,20250605,000000,18.47,18.5012,16.8501,17.21,512865,0
MST.US,D,20250606,000000,17.89,18.23,17.31,17.68,486164,0
MST.US,D,20250609,000000,18.3,19.27,18,19.12,714231,0
MST.US,D,20250610,000000,19.27,19.27,18.49,19.04,898815,0
MST.US,D,20250611,000000,18.8,18.84,17.9941,18.44,505499,0
MST.US,D,20250612,000000,17.86,18.75,17.4315,17.9,478483,0
MST.US,D,20250613,000000,17.54,18.2865,17.13,18.25,890521,0
MST.US,D,20250616,000000,18.45,18.54,17.7473,18.09,437165,0
MST.US,D,20250617,000000,17.6,17.8,16.87,17.59,553837,0
MST.US,D,20250618,000000,17.01,17.22,16.665,16.8,580916,0
MST.US,D,20250620,000000,17.1,17.29,16.45,16.81,720554,0
MST.US,D,20250623,000000,16.21,16.85,15.91,16.64,815707,0
MST.US,D,20250624,000000,17.17,17.9383,16.95,17.44,635586,0
MST.US,D,20250625,000000,17.75,18.1,17.41,18.01,529574,0
MST.US,D,20250626,000000,17.85,18.2622,17.7385,17.93,435448,0
MST.US,D,20250627,000000,17.82,18.57,17.67,17.72,492224,0
MST.US,D,20250630,000000,18,19.29,17.595,19.12,623756,0
MST.US,D,20250701,000000,18.39,18.555,16.446,16.45,1437358,0
MST.US,D,20250702,000000,16.89,18.55,16.73,18.37,951735,0
MST.US,D,20250703,000000,18.27,19.01,18.26,18.42,882716,0
MST.US,D,20250707,000000,18.22,18.45,17.7,17.72,592085,0
MST.US,D,20250708,000000,18.05,18.2,17.54,17.85,645525,0
MST.US,D,20250709,000000,17.87,18.9478,17.48,18.86,845237,0
MST.US,D,20250710,000000,18.7,19.45,18.605,19.43,911026,0
MST.US,D,20250711,000000,19.99,20.46,19.5,20.19,1185187,0
MST.US,D,20250714,000000,21.1,21.8,20.6556,21.46,927123,0
MST.US,D,20250715,000000,21.01,21.85,20.6,20.72,1135329,0
MST.US,D,20250716,000000,20.86,21.53,20.634,21.43,727090,0
MST.US,D,20250717,000000,21.1,21.4599,20.74,21.12,535870,0
MST.US,D,20250718,000000,21.19,21.29,18.55,18.64,1394551,0
MST.US,D,20250721,000000,19.25,19.7,18.8276,18.93,569407,0
MST.US,D,20250722,000000,19.16,19.5,17.82,18.97,984479,0
MST.US,D,20250723,000000,18.41,18.4973,17.01,17.61,978266,0
MST.US,D,20250724,000000,17.75,18.14,17.06,17.78,690019,0
MST.US,D,20250725,000000,17,17.4199,16.7686,17.05,791541,0
MST.US,D,20250728,000000,17.84,17.85,16.85,16.86,647114,0
MST.US,D,20250729,000000,17.11,17.13,15.8,16.16,1306149,0
MST.US,D,20250730,000000,16.07,16.64,15.77,16,614338,0
MST.US,D,20250731,000000,16.3,17.11,16.13,16.55,591084,0
MST.US,D,20250801,000000,15.58,15.68,13.54,13.62,1462461,0
MST.US,D,20250804,000000,14.07,15.0699,13.6,15.04,1017079,0
MST.US,D,20250805,000000,14.71,14.99,14.06,14.23,688207,0
MST.US,D,20250806,000000,13.99,14.6,13.88,14.54,619506,0
MST.US,D,20250807,000000,14.81,15.73,14.8036,15.53,697497,0
MST.US,D,20250808,000000,15.32,15.8245,14.85,15.24,1047695,0
MST.US,D,20250811,000000,15.8,16.36,15.5,15.59,572362,0
MST.US,D,20250812,000000,15.57,15.62,14.9,15.18,329112,0
MST.US,D,20250813,000000,15.19,15.28,14.24,14.69,515518,0
MST.US,D,20250814,000000,13.98,14.03,12.9,13.48,1068878,0
MST.US,D,20250815,000000,13.4,13.4,12.5118,12.95,992144,0
MST.US,D,20250818,000000,12.54,12.9899,12.3674,12.75,509071,0
MST.US,D,20250819,000000,12.75,12.79,10.785,11.01,1022232,0
MST.US,D,20250820,000000,10.97,11.34,10.1107,11.31,715035,0
MST.US,D,20250821,000000,11.02,11.22,10.69,10.89,284818,0
MST.US,D,20250822,000000,10.75,12.13,10.55,12.11,703695,0
MST.US,D,20250825,000000,11.35,11.69,10.98,11.2,449331,0
MST.US,D,20250826,000000,11.11,11.7499,11.06,11.7,448491,0
MST.US,D,20250827,000000,11.43,11.5355,10.97,11.01,312618,0
