<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NOWL.US,D,20250716,000000,25.11,25.27,25.05,25.2514,1261,0
NOWL.US,D,20250717,000000,25.0284,25.15,24.78,24.8611,2379,0
NOWL.US,D,20250718,000000,24.87,25.0155,24.54,25.0155,11408,0
NOWL.US,D,20250721,000000,25.1392,25.38,24.812,24.9659,30146,0
NOWL.US,D,20250722,000000,25.56,25.56,24.9115,25.0613,10571,0
NOWL.US,D,20250723,000000,24.5377,25.0599,24.5377,24.756,75891,0
NOWL.US,D,20250724,000000,28.72,29.0087,26.04,26.8725,82706,0
NOWL.US,D,20250725,000000,27.37,27.37,25,25.1853,42712,0
NOWL.US,D,20250728,000000,25.9,26.56,25.76,26.3,29319,0
NOWL.US,D,20250729,000000,26.76,27.15,25.95,26.4401,30106,0
NOWL.US,D,20250730,000000,26.73,26.73,25.406,25.6423,22999,0
NOWL.US,D,20250731,000000,25.2,25.2,23.57,23.7898,30610,0
NOWL.US,D,20250801,000000,22.68,22.9384,22.275,22.3128,21868,0
NOWL.US,D,20250804,000000,23.495,23.495,22.5,22.7616,5887,0
NOWL.US,D,20250805,000000,23.15,23.15,21.8425,21.8425,6730,0
NOWL.US,D,20250806,000000,22.1,22.1956,21.8764,22.1956,14232,0
NOWL.US,D,20250807,000000,22.369,22.6586,19.925,20.5,56049,0
NOWL.US,D,20250808,000000,20.6483,20.76,19.77,20.3329,29840,0
NOWL.US,D,20250811,000000,20.43,20.6,19.33,19.7,32102,0
NOWL.US,D,20250812,000000,19.41,19.59,18.87,19.3929,34571,0
NOWL.US,D,20250813,000000,19.61,19.98,19,19.8647,70264,0
NOWL.US,D,20250814,000000,19.67,19.75,19.08,19.265,33296,0
NOWL.US,D,20250815,000000,19.4948,19.98,19.28,19.9399,61134,0
NOWL.US,D,20250818,000000,20.19,21.1096,20.01,21.1096,105569,0
NOWL.US,D,20250819,000000,21.41,21.42,20.601,20.8694,122083,0
NOWL.US,D,20250820,000000,20.56,21.38,20.56,21.0931,43907,0
NOWL.US,D,20250821,000000,20.77,20.77,20.2501,20.4945,12363,0
NOWL.US,D,20250822,000000,20.0658,21.3686,20.0658,20.835,44560,0
NOWL.US,D,20250825,000000,21.3,21.3,20.4478,20.5469,36097,0
NOWL.US,D,20250826,000000,20.27,20.4182,19.41,19.8741,69358,0
NOWL.US,D,20250827,000000,20.25,21,20.25,21,51702,0
NOWL.US,D,20250828,000000,21.18,23.03,20.95,22.7728,132832,0
NOWL.US,D,20250829,000000,22.7529,22.9225,21.88,22.1511,51613,0
NOWL.US,D,20250902,000000,21.66,21.95,21.2017,21.9037,28542,0
NOWL.US,D,20250903,000000,21.9,22.3,21.5,22.3,23284,0
NOWL.US,D,20250904,000000,21.58,21.58,20.29,21.2155,58174,0
NOWL.US,D,20250905,000000,21.69,22.0299,21.341,21.9,13296,0
NOWL.US,D,20250908,000000,21.9,23.4,21.9,23.01,48463,0
NOWL.US,D,20250909,000000,23.72,23.72,22.62,22.9824,13229,0
NOWL.US,D,20250910,000000,23.4781,23.4781,22.2394,22.61,29105,0
NOWL.US,D,20250911,000000,22.31,23.22,22.31,23.1343,13092,0
NOWL.US,D,20250912,000000,23.22,23.22,22.5117,22.65,22779,0
NOWL.US,D,20250915,000000,22.8826,23.96,22.69,23.4605,58812,0
NOWL.US,D,20250916,000000,23.14,23.178,22.6,22.735,21583,0
NOWL.US,D,20250917,000000,23.3,23.9057,22.96,23.6433,26809,0
NOWL.US,D,20250918,000000,24.15,24.191,23.22,23.405,31106,0
NOWL.US,D,20250919,000000,23.51,24.3388,23.51,24.1874,33377,0
NOWL.US,D,20250922,000000,24.39,24.39,22.63,23.415,35728,0
NOWL.US,D,20250923,000000,23.78,23.78,22.4001,22.4959,48083,0
NOWL.US,D,20250924,000000,23.98,24.6,22.6429,22.86,60824,0
NOWL.US,D,20250925,000000,22,22.25,21.79,22.23,58359,0
NOWL.US,D,20250926,000000,21.81,22.88,21.81,22.86,36179,0
NOWL.US,D,20250929,000000,23.37,23.6899,23.0137,23.0137,27836,0
NOWL.US,D,20250930,000000,23.06,23.06,21.34,22.04,23349,0
NOWL.US,D,20251001,000000,21.63,22.68,20.68,21.585,32299,0
NOWL.US,D,20251002,000000,22.03,22.03,21,21.5342,32089,0
NOWL.US,D,20251003,000000,22,22,21.43,21.7,25083,0
NOWL.US,D,20251006,000000,21.32,22.4,20.85,21.655,30913,0
NOWL.US,D,20251007,000000,21.6318,21.6318,20.75,21.35,32835,0
NOWL.US,D,20251008,000000,21.56,21.95,21.41,21.6525,12772,0
NOWL.US,D,20251009,000000,21,22.0043,20.76,21.83,35804,0
NOWL.US,D,20251010,000000,22.07,22.24,20.44,20.4845,56831,0
NOWL.US,D,20251013,000000,20.71,22.1799,20.71,22.0689,28690,0
NOWL.US,D,20251014,000000,21.39,22,20.9508,21.5205,9320,0
NOWL.US,D,20251015,000000,22.34,22.34,21,21.3,37702,0
NOWL.US,D,20251016,000000,22,22.2319,20.3187,20.88,37340,0
NOWL.US,D,20251017,000000,20.64,21.21,20.64,21.0102,18320,0
NOWL.US,D,20251020,000000,21.35,21.8,21.27,21.69,31354,0
NOWL.US,D,20251021,000000,21.875,23,21.5768,22.8129,29619,0
NOWL.US,D,20251022,000000,22.498,23.2066,22.1905,22.718,37815,0
NOWL.US,D,20251023,000000,22.76,22.76,22.1,22.7363,8239,0
NOWL.US,D,20251024,000000,22.74,22.8,21.94,22.1617,39754,0
NOWL.US,D,20251027,000000,23.38,23.38,22.68,23.1615,101331,0
NOWL.US,D,20251028,000000,23.51,23.55,22.6,22.861,112928,0
NOWL.US,D,20251029,000000,22.85,22.85,21.31,21.6,300655,0
NOWL.US,D,20251030,000000,22.19,23.7021,20.4101,22.6,211657,0
NOWL.US,D,20251031,000000,22.7,22.7,20.98,21.6701,57947,0
NOWL.US,D,20251103,000000,21.99,21.99,20.0662,21.2719,58352,0
NOWL.US,D,20251104,000000,20.99,21.05,19.3,20.3,41272,0
NOWL.US,D,20251105,000000,19.75,20.3865,19.46,19.97,30238,0
