<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PDDL.US,D,20250717,000000,28.17,28.17,27.7311,27.7311,693,0
PDDL.US,D,20250718,000000,28.56,28.56,28.2252,28.2252,854,0
PDDL.US,D,20250721,000000,29.23,29.839,29.14,29.6943,1885,0
PDDL.US,D,20250722,000000,30.739,31.56,30.739,31.3664,3574,0
PDDL.US,D,20250723,000000,34,34.569,33.16,33.3763,5777,0
PDDL.US,D,20250724,000000,33.57,33.57,32.66,33.1237,4440,0
PDDL.US,D,20250725,000000,33.1,33.27,33.1,33.1633,1727,0
PDDL.US,D,20250728,000000,34.25,34.25,32.15,32.2588,2466,0
PDDL.US,D,20250729,000000,32.09,32.09,31.4299,31.4299,880,0
PDDL.US,D,20250730,000000,31.48,31.48,30.1434,30.1434,948,0
PDDL.US,D,20250731,000000,30.75,30.75,30.3688,30.3688,161,0
PDDL.US,D,20250801,000000,29.35,29.405,28.525,28.525,755,0
PDDL.US,D,20250805,000000,30.36,30.37,29.824,29.824,350,0
PDDL.US,D,20250806,000000,30.32,30.5725,30.32,30.5725,648,0
PDDL.US,D,20250807,000000,31.418,31.418,30.8163,30.8163,1372,0
PDDL.US,D,20250808,000000,30.54,30.7378,30.54,30.7378,216,0
PDDL.US,D,20250811,000000,29.761,30.0004,29.761,30.0004,435,0
PDDL.US,D,20250812,000000,30.13,31.9829,30.01,31.9829,1874,0
PDDL.US,D,20250813,000000,32.81,32.81,31.8,32.1033,6306,0
PDDL.US,D,20250814,000000,31.039,31.039,31.0334,31.0334,481,0
PDDL.US,D,20250815,000000,32.33,33.4499,32.33,33.225,8558,0
PDDL.US,D,20250818,000000,33.74,33.74,32.8501,32.9528,3892,0
PDDL.US,D,20250819,000000,33.75,33.7691,32.23,33.2827,15128,0
PDDL.US,D,20250820,000000,33.24,34.13,32.6768,32.6768,2183,0
PDDL.US,D,20250821,000000,33.66,35.4171,33.66,35.4171,10298,0
PDDL.US,D,20250822,000000,38.09,38.45,37.19,37.8681,54834,0
PDDL.US,D,20250825,000000,37.6,41.4591,36.3,38.4447,175876,0
PDDL.US,D,20250826,000000,39,41.089,35.25,35.8026,58149,0
PDDL.US,D,20250827,000000,34.42,34.7895,33.51,34.7895,11401,0
PDDL.US,D,20250828,000000,34.78,34.81,34.21,34.734,13586,0
PDDL.US,D,20250829,000000,34.74,34.74,33.41,33.72,15715,0
PDDL.US,D,20250902,000000,32.97,34.5,32.97,34.37,7131,0
PDDL.US,D,20250903,000000,34.16,36,33.53,35.9742,17005,0
PDDL.US,D,20250904,000000,35.51,36.3241,35.17,35.613,22284,0
PDDL.US,D,20250905,000000,36.48,36.48,35.85,36.0427,12341,0
