<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QALT.US,D,20250825,000000,17.04,25.16,17.04,24.99,6804,0
QALT.US,D,20250826,000000,24.95,25.02,24.9,24.935,11761,0
QALT.US,D,20250827,000000,24.88,25.01,24.8704,24.9307,10921,0
QALT.US,D,20250828,000000,24.94,24.95,24.9,24.9398,8309,0
QALT.US,D,20250829,000000,24.84,24.9,24.83,24.8896,30083,0
QALT.US,D,20250902,000000,24.76,24.8386,24.7578,24.8386,4790,0
QALT.US,D,20250903,000000,24.84,24.85,24.78,24.8163,5954,0
QALT.US,D,20250904,000000,24.81,24.94,24.81,24.9356,12000,0
QALT.US,D,20250905,000000,24.93,25.02,24.9,24.9522,7888,0
QALT.US,D,20250908,000000,25.03,25.03,24.97,25.0184,4765,0
QALT.US,D,20250909,000000,25.04,25.07,25.03,25.07,11225,0
QALT.US,D,20250910,000000,25.21,25.21,25.07,25.105,5001,0
QALT.US,D,20250911,000000,25.21,25.26,25.21,25.2447,4905,0
QALT.US,D,20250912,000000,25.21,25.25,25.21,25.2334,11037,0
QALT.US,D,20250915,000000,25.23,25.326,25.23,25.3132,10052,0
QALT.US,D,20250916,000000,25.31,25.33,25.26,25.3071,8845,0
QALT.US,D,20250917,000000,25.45,25.45,25.28,25.3049,13874,0
QALT.US,D,20250918,000000,25.38,25.43,25.336,25.4044,6538,0
QALT.US,D,20250919,000000,25.35,25.4,25.35,25.3854,7604,0
QALT.US,D,20250922,000000,25.38,25.42,25.36,25.4185,9725,0
QALT.US,D,20250923,000000,25.43,25.47,25.36,25.3873,7350,0
QALT.US,D,20250924,000000,25.43,25.45,25.35,25.37,16339,0
QALT.US,D,20250925,000000,25.25,25.36,25.25,25.315,7173,0
QALT.US,D,20250926,000000,25.29,25.34,25.24,25.3389,9888,0
QALT.US,D,20250929,000000,25.41,25.42,25.34,25.355,13219,0
QALT.US,D,20250930,000000,25.35,25.4,25.35,25.385,10634,0
QALT.US,D,20251001,000000,25.45,25.4722,25.38,25.4722,9538,0
QALT.US,D,20251002,000000,25.55,25.55,25.45,25.495,11646,0
QALT.US,D,20251003,000000,25.59,25.63,25.5494,25.5494,8057,0
QALT.US,D,20251006,000000,25.77,25.81,25.73,25.7752,6902,0
QALT.US,D,20251007,000000,25.82,25.82,25.68,25.7102,7779,0
QALT.US,D,20251008,000000,25.71,25.875,25.71,25.875,10704,0
QALT.US,D,20251009,000000,25.87,25.87,25.7275,25.735,5358,0
QALT.US,D,20251010,000000,25.73,25.73,25.1151,25.1151,6449,0
QALT.US,D,20251013,000000,25.49,25.5835,25.48,25.55,9811,0
QALT.US,D,20251014,000000,25.39,25.5565,25.38,25.5197,10450,0
QALT.US,D,20251015,000000,25.52,25.68,25.51,25.575,27739,0
QALT.US,D,20251016,000000,25.79,25.79,25.58,25.6171,18104,0
QALT.US,D,20251017,000000,25.54,25.62,25.54,25.615,9787,0
QALT.US,D,20251020,000000,25.61,25.82,25.61,25.7997,43183,0
QALT.US,D,20251021,000000,25.83,25.85,25.8,25.8158,7304,0
QALT.US,D,20251022,000000,25.84,25.84,25.65,25.7504,13559,0
QALT.US,D,20251023,000000,25.79,25.87,25.79,25.8378,8272,0
QALT.US,D,20251024,000000,25.83,26,25.83,25.9597,20907,0
QALT.US,D,20251027,000000,25.96,26.12,25.96,26.1175,8749,0
QALT.US,D,20251028,000000,26.06,26.1,26.02,26.0612,7280,0
QALT.US,D,20251029,000000,26.1,26.12,26.01,26.0291,9115,0
QALT.US,D,20251030,000000,26.02,26.05,25.96,25.965,12162,0
QALT.US,D,20251031,000000,25.96,25.98,25.9,25.9602,13663,0
QALT.US,D,20251103,000000,25.99,26.03,25.96,26.0035,13026,0
QALT.US,D,20251104,000000,25.82,25.89,25.8,25.8,10472,0
QALT.US,D,20251105,000000,25.83,25.92,25.82,25.89,17743,0
